bowling-pins-row pass 1024.0 [] [] None
bowling-pins-three pass 1024.0 [] [] None
canoe-paddler pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 6, 'distance': 8.0, 'origin': (19.0, 24.0), 'point': (19.0, 32.0)}
handshake pass 9.0 [] [] {'kind': 'line', 'source': 3, 'target': 17, 'distance': 9.0, 'origin': (38.0, 24.5), 'point': (29.0, 24.5)}
horse-rider pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 14, 'distance': 8.0, 'origin': (16.0, 22.5), 'point': (8.0, 22.5)}
horse-skijoring pass 8.0 [] [] {'kind': 'line', 'source': 6, 'target': 12, 'distance': 8.0, 'origin': (24.0, 28.0), 'point': (24.0, 36.0)}
horseback-rider pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 12, 'distance': 8.0, 'origin': (16.0, 22.5), 'point': (8.0, 22.5)}
i-love-you-hand-sign pass 8.0 [] [] {'kind': 'line', 'source': 1, 'target': 3, 'distance': 8.0, 'origin': (6.0, 22.0), 'point': (14.0, 22.0)}
inline-skater pass 8.244400332002293 [] [] {'kind': 'line', 'source': 6, 'target': 1, 'distance': 8.244400332002293, 'origin': (8.625, 28.25), 'point': (13.990384615384615, 21.990384615384617)}
karate-fighting-stance pass 8.057692307692308 [] [] {'kind': 'line', 'source': 0, 'target': 7, 'distance': 8.057692307692308, 'origin': (20.25, 24.0), 'point': (20.25, 32.05769230769231)}
kite-skier pass 8.0 [] [] {'kind': 'line', 'source': 2, 'target': 5, 'distance': 8.0, 'origin': (15.5, 26.0), 'point': (15.5, 34.0)}
linux-mint-logo pass 8.0 [] [] {'kind': 'line', 'source': 4, 'target': 8, 'distance': 8.0, 'origin': (16.0, 24.0), 'point': (24.0, 24.0)}
linux-mint-logo-circle pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 4, 'distance': 8.0, 'origin': (16.0, 24.0), 'point': (24.0, 24.0)}
long-sporting-rifle pass 14.70782104868019 [] [] {'kind': 'line', 'source': 0, 'target': 2, 'distance': 14.70782104868019, 'origin': (8.0, 36.0), 'point': (18.4, 25.6)}
microsoft-dynamics-logo pass 8.94427190999916 [] [] {'kind': 'line', 'source': 1, 'target': 6, 'distance': 8.94427190999916, 'origin': (28.0, 34.0), 'point': (24.0, 26.0)}
occupant-side-airbag pass 9.16358039897218 [] [] {'kind': 'line', 'source': 1, 'target': 4, 'distance': 9.16358039897218, 'origin': (14.0, 19.25), 'point': (18.856687898089174, 27.020700636942678)}
overlapping-clapping-hands pass 8.0 [] [] {'kind': 'line', 'source': 1, 'target': 3, 'distance': 8.0, 'origin': (6.0, 24.0), 'point': (14.0, 24.0)}
person-beside-bed pass 10.0 [] [] {'kind': 'line', 'source': 8, 'target': 10, 'distance': 10.0, 'origin': (19.5, 32.0), 'point': (19.5, 42.0)}
person-kicking-ball pass 9.013878188659971 [] [] {'kind': 'line', 'source': 7, 'target': 4, 'distance': 9.013878188659971, 'origin': (25.0, 37.5), 'point': (17.5, 32.5)}
person-mopping review 8.0 [] ['internal-spacing [rear-leg / body-section-1]: rear-leg-1 and body-3 have 1.36 units of ink clearance over 6.7082 units; requires 4; review required'] {'kind': 'line', 'source': 6, 'target': 7, 'distance': 8.0, 'origin': (11.0, 34.0), 'point': (11.0, 42.0)}
person-slipping pass 8.105543329210168 [] [] {'kind': 'line', 'source': 2, 'target': 4, 'distance': 8.105543329210168, 'origin': (9.5, 28.75), 'point': (7.801652892561983, 36.675619834710744)}
person-slipping-backward pass 8.962829092523387 [] [] {'kind': 'line', 'source': 7, 'target': 1, 'distance': 8.962829092523387, 'origin': (7.0, 36.25), 'point': (14.78191489361702, 40.6968085106383)}
person-tripping-over-rock pass 9.502470439019762 [] [] {'kind': 'line', 'source': 4, 'target': 2, 'distance': 9.502470439019762, 'origin': (19.5, 31.25), 'point': (25.583333333333332, 23.950000000000003)}
pool-jump pass 8.0 [] [] {'kind': 'line', 'source': 2, 'target': 5, 'distance': 8.0, 'origin': (22.25, 32.0), 'point': (22.25, 40.0)}
praying-hands pass 8.0 [] [] {'kind': 'line', 'source': 1, 'target': 3, 'distance': 8.0, 'origin': (16.0, 29.5), 'point': (24.0, 29.5)}
protester-carrying-flag pass 26.0 [] [] {'kind': 'line', 'source': 0, 'target': 7, 'distance': 26.0, 'origin': (21.5, 30.0), 'point': (21.5, 4.0)}
racing-cyclist pass 12.0 [] [] {'kind': 'line', 'source': 1, 'target': 4, 'distance': 12.0, 'origin': (24.0, 30.5), 'point': (36.0, 30.5)}
react-logo pass 19.677398201998148 [] [] {'kind': 'line', 'source': 0, 'target': 3, 'distance': 19.677398201998148, 'origin': (16.5, 16.75), 'point': (25.299999999999997, 34.349999999999994)}
ribbon-gymnast-circle pass 1024.0 [] [] None
seated-meditation-curved-arms pass 1024.0 [] [] None
seated-prayer-pose pass 1024.0 [] [] None
shaka-hand-sign pass 9.27467149013915 [] [] {'kind': 'line', 'source': 2, 'target': 0, 'distance': 9.27467149013915, 'origin': (20.5, 17.0), 'point': (13.375, 22.9375)}
skier-chairlift pass 8.5320755856721 [] [] {'kind': 'line', 'source': 6, 'target': 0, 'distance': 8.5320755856721, 'origin': (29.25, 40.5), 'point': (28.51086956521739, 32.0)}
skipping-athlete-raised-knee pass 8.363798479160053 [] [] {'kind': 'line', 'source': 4, 'target': 2, 'distance': 8.363798479160053, 'origin': (25.5, 30.25), 'point': (26.875, 22.0)}
snapping-fingers pass 8.609025210942562 [] [] {'kind': 'line', 'source': 3, 'target': 6, 'distance': 8.609025210942562, 'origin': (24.625, 23.25), 'point': (31.238636363636363, 28.761363636363637)}
snowboarder-balancing pass 8.529462826644544 [] [] {'kind': 'line', 'source': 4, 'target': 2, 'distance': 8.529462826644544, 'origin': (24.0, 32.5), 'point': (24.708333333333332, 24.0)}
sprinter-starting-block pass 26.85 [] [] {'kind': 'line', 'source': 2, 'target': 4, 'distance': 26.85, 'origin': (39.0, 26.75), 'point': (12.149999999999999, 26.75)}
stacked-hands pass 8.068536494522094 [] [] {'kind': 'line', 'source': 1, 'target': 8, 'distance': 8.068536494522094, 'origin': (30.0, 21.0), 'point': (34.276315789473685, 14.157894736842106)}
stationary-bike-rider pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 5, 'distance': 8.0, 'origin': (18.0, 28.0), 'point': (18.0, 36.0)}
stooped-walking-person pass 8.497058314499201 [] [] {'kind': 'line', 'source': 1, 'target': 3, 'distance': 8.497058314499201, 'origin': (30.5, 26.75), 'point': (26.7, 34.35)}
sumo-wrestler pass 8.0 [] [] {'kind': 'line', 'source': 1, 'target': 3, 'distance': 8.0, 'origin': (19.0, 33.0), 'point': (19.0, 25.0)}
surfer-beside-breaking-wave pass 8.0 [] [] {'kind': 'line', 'source': 3, 'target': 5, 'distance': 8.0, 'origin': (11.75, 34.0), 'point': (11.75, 42.0)}
surfer-on-board pass 14.882352941176471 [] [] {'kind': 'line', 'source': 1, 'target': 5, 'distance': 14.882352941176471, 'origin': (17.5, 22.0), 'point': (17.5, 36.88235294117647)}
tennis-player pass 1024.0 [] [] None
two-figures-raised-arm pass 20.0 [] [] {'kind': 'line', 'source': 0, 'target': 6, 'distance': 20.0, 'origin': (17.0, 27.0), 'point': (37.0, 27.0)}
vomiting-face pass 12.0 [] [] {'kind': 'line', 'source': 4, 'target': 6, 'distance': 12.0, 'origin': (20.0, 30.0), 'point': (20.0, 42.0)}
walking-stick-figure-with-raised-knee pass 8.834602295811104 [] [] {'kind': 'line', 'source': 6, 'target': 2, 'distance': 8.834602295811104, 'origin': (27.25, 32.875), 'point': (30.221398305084747, 24.555084745762713)}
water-skier pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 5, 'distance': 8.0, 'origin': (16.0, 32.0), 'point': (16.0, 40.0)}
water-skier-holding-tow-line pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 5, 'distance': 8.0, 'origin': (12.0, 32.0), 'point': (12.0, 40.0)}
wedding-cake-with-couple-topper pass 8.0 [] [] {'kind': 'line', 'source': 0, 'target': 2, 'distance': 8.0, 'origin': (12.0, 22.0), 'point': (20.0, 22.0)}
wedding-car-with-heart-balloon pass 11.0 [] [] {'kind': 'line', 'source': 3, 'target': 9, 'distance': 11.0, 'origin': (15.0, 28.0), 'point': (15.0, 39.0)}
