airmail -> airmail-v2 4 [0.0, 0.0]
comment-box -> comment-box-v2 1 [0.0, 0.0]
comment-box-chat -> comment-box-chat-v2 1 [0.0, 0.0]
common-file-book -> common-file-book-v2 4 [0.0, 0.0]
common-file-bookmark -> common-file-bookmark-v2 1 [0.0, 0.0]
common-file-empty -> common-file-empty-v2 1 [0.0, 0.0]
connector-to-another-page -> connector-to-another-page-v2 1 [0.0, 0.0]
controls-rewind -> controls-rewind-v2 1 [0.0, 0.0]
controls-stop -> controls-stop-v2 3 [0.0, 0.0]
cross-a941f1ed -> cross-a941f1ed-v2 1 [0.0, 0.0]
curly-brackets -> curly-brackets-v2 3 [0.0, 0.0]
cursor-dcdcb7b9 -> cursor-dcdcb7b9-v2 1 [0.0, 0.13333333333333333]
cursor-interface-essential -> cursor-interface-essential-v2 1 [0.0, 0.13333333333333333]
cursor-target -> cursor-target-v2 2 [0.0, 0.0]
delay -> delay-v2 1 [0.0, 0.0]
diamond-shape-bf86e9b1 -> diamond-shape-bf86e9b1-v2 8 [0.0, 0.0]
diamond-shape-design -> diamond-shape-design-v2 8 [0.0, 0.0]
diamonds-card -> diamonds-card-v2 1 [0.0, 0.0]
dice -> dice-v2 11 [0.0, 0.0]
dice-empty -> dice-empty-v2 4 [0.0, 0.0]
diode -> diode-v2 1 [0.0, 0.0]
diving-block-weight -> diving-block-weight-v2 2 [0.0, 0.0]
dna -> dna-v2 1 [0.0, 0.0]
document-files -> document-files-v2 1 [0.0, 0.0]
door-right-hand-closed -> door-right-hand-closed-v2 1 [0.0, 0.0]
drawer -> drawer-v2 1 [0.0, 0.0]
dressing-hanger -> dressing-hanger-v2 1 [0.17647058823529413, 0.396078431372549]
drop-bottle -> drop-bottle-v2 2 [0.0, 0.0]
e-mail -> e-mail-v2 1 [0.0, 0.0]
e-mail-symbol -> e-mail-symbol-v2 6 [0.0, 0.0]
earth-c71b55db -> earth-c71b55db-v2 2 [0.0, 0.0]
electronics-capacitor -> electronics-capacitor-v2 3 [0.0, 0.0]
element-reallity-kit-1 -> element-reallity-kit-1-v2 1 [0.0, 0.0]
email-action-read -> email-action-read-v2 6 [0.0, 0.0]
email-action-unread-emails -> email-action-unread-emails-v2 8 [0.0, 0.0]
empty-house -> empty-house-v2 3 [0.0, 0.0]
envelope-sealed -> envelope-sealed-v2 5 [0.0, 0.0]
expand-2 -> expand-2-v2 1 [0.0, 0.0]
expand-6 -> expand-6-v2 2 [0.0, 0.0]
expand-diagonal-3 -> expand-diagonal-3-v2 1 [0.0, 0.0]
expand-horizontal-3 -> expand-horizontal-3-v2 2 [0.0, 0.0]
facet -> facet-v2 2 [0.0, 0.0]
fall-down-large-head -> fall-down-large-head-v2 1 [0.0, 0.0]
fat-liquid-drop-drinks -> fat-liquid-drop-drinks-v2 1 [0.0, 0.0]
file-emails -> file-emails-v2 3 [0.0, 0.0]
fire-flame-curved -> fire-flame-curved-v2 2 [0.0, 0.0]
flash-a1503607 -> flash-a1503607-v2 1 [0.0, 0.00392156862745098]
flask -> flask-v2 1 [0.0, 0.0]
focal-of-expansion -> focal-of-expansion-v2 2 [0.0, 0.0]
focus-cross -> focus-cross-v2 2 [0.0, 0.0]
focus-frame -> focus-frame-v2 4 [0.0, 0.0]
focus-square -> focus-square-v2 4 [0.0, 0.0]
folder -> folder-v2 1 [0.0, 0.0]
folder-ddd2bcfe -> folder-ddd2bcfe-v2 1 [0.0, 0.0]
folder-empty -> folder-empty-v2 1 [0.0, 0.0]
folder-empty-folders -> folder-empty-folders-v2 2 [0.0, 0.0]
folder-folders -> folder-folders-v2 1 [0.0, 0.0]
folding-package -> folding-package-v2 1 [0.0, 0.0]
folding-pocket-knife-cba37bed -> folding-pocket-knife-cba37bed-v2 1 [0.0, 0.0]
fork -> fork-v2 1 [0.0, 0.0]
four-square-grid -> four-square-grid-v2 3 [0.0, 0.0]
funnel -> funnel-v2 1 [0.0, 0.0]
gas -> gas-v2 2 [0.0, 0.0]
gas-symbol -> gas-symbol-v2 3 [0.0, 0.0]
german-shepherd -> german-shepherd-v2 1 [0.0, 0.0]
globe-symbol -> globe-symbol-v2 2 [0.0, 0.0]
glue -> glue-v2 4 [0.0, 0.0]
gmo-food-lab-bag -> gmo-food-lab-bag-v2 5 [0.0, 0.0]
gold -> gold-v2 2 [0.0, 0.0]
grater -> grater-v2 3 [0.0, 0.0]
grid-dot -> grid-dot-v2 3 [0.0, 0.0]
handmade-bag -> handmade-bag-v2 6 [0.0, 0.0]
helmet -> helmet-v2 6 [0.0, 0.0]
helmet-83968c0b -> helmet-83968c0b-v2 5 [0.0, 0.0]
helmet-97a9265b -> helmet-97a9265b-v2 3 [0.0, 0.0]
helmet-d5b67122 -> helmet-d5b67122-v2 3 [0.0, 0.0]
helmet-protection -> helmet-protection-v2 7 [0.0, 0.0]
hexagon-3b80eece -> hexagon-3b80eece-v2 2 [0.0, 0.0]
hexagon-design -> hexagon-design-v2 1 [0.0, 0.0]
hexagon-shape -> hexagon-shape-v2 4 [0.0, 0.0]
hexagon-shape-design -> hexagon-shape-design-v2 4 [0.0, 0.0]
honey -> honey-v2 1 [0.0, 0.0]
horizontal-rectangle -> horizontal-rectangle-v2 4 [0.0, 0.0]
house-51e8bb01 -> house-51e8bb01-v2 2 [0.0, 0.0]
house-b3b4c5ab -> house-b3b4c5ab-v2 3 [0.0, 0.0]
house-f2c3cd65 -> house-f2c3cd65-v2 4 [0.0, 0.0]
ice-cream -> ice-cream-v2 1 [0.0, 0.0]
ice-snowflake -> ice-snowflake-v2 3 [0.0, 0.0]
increase-indent -> increase-indent-v2 1 [0.0, 0.0]
instagram-logo -> instagram-logo-v2 11 [0.0, 0.0]
iwiw-logo-1 -> iwiw-logo-1-v2 1 [0.0, 0.0]
keyboard-asterisk-interface-essential -> keyboard-asterisk-interface-essential-v2 2 [0.0, 0.0]
keyboard-button -> keyboard-button-v2 14 [0.0, 0.0]
keyhole -> keyhole-v2 1 [0.0, 0.0]
keyhole-square -> keyhole-square-v2 2 [0.0, 0.0]
kickstarter-logo -> kickstarter-logo-v2 3 [0.0, 0.0]
lab-bottle-experiment -> lab-bottle-experiment-v2 2 [0.0, 0.0]
lab-flask-experiment -> lab-flask-experiment-v2 2 [0.0, 0.0]
lab-flask-experiment-29c32bdc -> lab-flask-experiment-29c32bdc-v2 6 [0.0, 0.0]
lab-flask-experiment-science -> lab-flask-experiment-science-v2 6 [0.0, 0.0]
lab-protection-glasses -> lab-protection-glasses-v2 3 [0.0, 0.0]
layers-back -> layers-back-v2 1 [0.0, 0.0]
layers-front -> layers-front-v2 1 [0.0, 0.0]
layout-14 -> layout-14-v2 2 [0.0, 0.0]
layout-15 -> layout-15-v2 1 [0.0, 0.0]
layout-3 -> layout-3-v2 3 [0.0, 0.0]
layout-4 -> layout-4-v2 6 [0.0, 0.0]
layout-6 -> layout-6-v2 1 [0.0, 0.0]
layout-8 -> layout-8-v2 6 [0.0, 0.0]
layout-9 -> layout-9-v2 2 [0.0, 0.0]
layout-four-columns -> layout-four-columns-v2 3 [0.0, 0.0]
layout-four-columns-1 -> layout-four-columns-1-v2 1 [0.0, 0.0]
layout-left -> layout-left-v2 3 [0.0, 0.0]
layout-module -> layout-module-v2 5 [0.0, 0.0]
layout-none -> layout-none-v2 4 [0.0, 0.0]
layout-right -> layout-right-v2 3 [0.0, 0.0]
layout-three-columns -> layout-three-columns-v2 3 [0.0, 0.0]
layout-top -> layout-top-v2 3 [0.0, 0.0]
layout-two-colums -> layout-two-colums-v2 3 [0.0, 0.0]
light-mode-cloudy -> light-mode-cloudy-v2 1 [0.0, 0.0]
lock -> lock-v2 2 [0.0, 0.0]
lock-4a021793 -> lock-4a021793-v2 4 [0.0, 0.0]
lock-7d9783eb -> lock-7d9783eb-v2 2 [0.0, 0.0]
lock-a48f8360 -> lock-a48f8360-v2 2 [0.0, 0.0]
lock-ee9cb073 -> lock-ee9cb073-v2 4 [0.0, 0.0]
logistic-water-proof-package-umbrella -> logistic-water-proof-package-umbrella-v2 1 [0.0, 0.0]
logistic-weight -> logistic-weight-v2 4 [0.0, 0.0]
logout-1 -> logout-1-v2 1 [0.0, 0.0]
love-lollipop -> love-lollipop-v2 1 [0.0, 0.0]
magic-wand -> magic-wand-v2 2 [0.0, 0.0]
mail -> mail-v2 6 [0.0, 0.0]
maltese-cross -> maltese-cross-v2 2 [0.0, 0.0]
massage-bed -> massage-bed-v2 5 [0.0, 0.0]
material-tile -> material-tile-v2 7 [0.0, 0.0]
meeting-camera -> meeting-camera-v2 3 [0.0, 0.0]
megaphone -> megaphone-v2 1 [0.0, 0.0]
megaphone-b6916faa -> megaphone-b6916faa-v2 1 [0.0, 0.0]
meta-quest -> meta-quest-v2 6 [0.0, 0.0]
microphone -> microphone-v2 1 [0.0, 0.0]
microsoft-outlook-logo -> microsoft-outlook-logo-v2 5 [0.0, 0.0]
microsoft-visual-studio-logo -> microsoft-visual-studio-logo-v2 7 [0.0, 0.0]
mindmap-organize -> mindmap-organize-v2 9 [0.0, 0.0]
minus-bold -> minus-bold-v2 4 [0.0, 0.0]
minus-bold-symbol -> minus-bold-symbol-v2 8 [0.0, 0.0]
mobile-phone-control-pause -> mobile-phone-control-pause-v2 9 [0.0, 0.0]
mobile-phone-phones -> mobile-phone-phones-v2 3 [0.0, 0.0]
molecule-d7786532 -> molecule-d7786532-v2 2 [0.0, 0.0]
money-wallet -> money-wallet-v2 1 [0.0, 0.0]
monospaced-text-character -> monospaced-text-character-v2 1 [0.0, 0.0]
mountain -> mountain-v2 1 [0.0, 0.0]
move-right -> move-right-v2 4 [0.0, 0.0]
move-top -> move-top-v2 4 [0.0, 0.0]
nagras-sign -> nagras-sign-v2 1 [0.0, 0.0]
navigation-direction-right -> navigation-direction-right-v2 1 [0.0, 0.0]
network -> network-v2 2 [0.0, 0.0]
night-moon-half -> night-moon-half-v2 1 [0.0, 0.0]
nintendo-switch -> nintendo-switch-v2 5 [0.0, 0.0]
open-eyes -> open-eyes-v2 2 [0.0, 0.0]
openstack-logo -> openstack-logo-v2 5 [0.0, 0.0]
paginate-filter-mail -> paginate-filter-mail-v2 4 [0.0, 0.0]
pathfinder-minus-back -> pathfinder-minus-back-v2 1 [0.0, 0.0]
pathfinder-unite -> pathfinder-unite-v2 1 [0.0, 0.0]
pen-7ee2f930 -> pen-7ee2f930-v2 1 [0.0, 0.0]
phone-box -> phone-box-v2 2 [0.0, 0.0]
phone-flash-light -> phone-flash-light-v2 7 [0.0, 0.0]
photo -> photo-v2 1 [0.0, 0.0]
picker -> picker-v2 1 [0.0, 0.0]
picker-design -> picker-design-v2 1 [0.0, 0.0]
picture-polaroid -> picture-polaroid-v2 3 [0.0, 0.0]
pie-chart-and-square -> pie-chart-and-square-v2 1 [0.0, 0.0]
pin-a0e2619f -> pin-a0e2619f-v2 2 [0.0, 0.0]
pin-interface-essential -> pin-interface-essential-v2 1 [0.0, 0.0]
ping-pong -> ping-pong-v2 1 [0.0, 0.0]
plastic-bag -> plastic-bag-v2 4 [0.0, 0.0]
plates -> plates-v2 5 [0.0, 0.0]
play -> play-v2 2 [0.0, 0.0]
police-badge -> police-badge-v2 2 [0.0, 0.0]
poop -> poop-v2 1 [0.01568627450980392, 0.11372549019607843]
poop-symbol -> poop-symbol-v2 1 [0.01568627450980392, 0.11372549019607843]
pouch-video-games -> pouch-video-games-v2 13 [0.0, 0.0]
presentation-screen -> presentation-screen-v2 3 [0.0, 0.0]
printer -> printer-v2 1 [0.0, 0.0]
psychiatry -> psychiatry-v2 3 [0.0, 0.0]
qq-logo -> qq-logo-v2 2 [0.0, 0.0]
rate -> rate-v2 1 [0.0, 0.0]
rating-half-star -> rating-half-star-v2 1 [0.01568627450980392, 0.08235294117647059]
receipt -> receipt-v2 3 [0.0, 0.0]
rectangle-frame -> rectangle-frame-v2 4 [0.0, 0.0]
rectangle-remove -> rectangle-remove-v2 7 [0.0, 0.0]
rectangle-remove-state -> rectangle-remove-state-v2 7 [0.0, 0.0]
rectangle-shape -> rectangle-shape-v2 3 [0.0, 0.0]
rectangle-two-dots -> rectangle-two-dots-v2 5 [0.0, 0.0]
redo -> redo-v2 1 [0.0, 0.0]
responsive-design-expand -> responsive-design-expand-v2 1 [0.0, 0.0]
robot -> robot-v2 4 [0.0, 0.0]
robot-3b4771f4 -> robot-3b4771f4-v2 1 [0.0, 0.0]
robot-99be828f -> robot-99be828f-v2 3 [0.0, 0.0]
robot-a1bb0d4a -> robot-a1bb0d4a-v2 3 [0.0, 0.0]
robot-artificial-intelligence -> robot-artificial-intelligence-v2 1 [0.0, 0.0]
robot-b90dccbf -> robot-b90dccbf-v2 3 [0.0, 0.0]
robot-e46fb630 -> robot-e46fb630-v2 8 [0.0, 0.0]
rocky-mountain -> rocky-mountain-v2 1 [0.0, 0.0]
rounded-rectangle-shape -> rounded-rectangle-shape-v2 1 [0.0, 0.0]
rounded-rectangle-shape-design -> rounded-rectangle-shape-design-v2 3 [0.0, 0.0]
rtf-format -> rtf-format-v2 2 [0.0, 0.00392156862745098]
samsung -> samsung-v2 3 [0.0, 0.0]
settings-on -> settings-on-v2 1 [0.0, 0.0]
shape-cube -> shape-cube-v2 1 [0.0, 0.0]
shape-peg-top -> shape-peg-top-v2 1 [0.0, 0.0]
shield-3bbd3635 -> shield-3bbd3635-v2 1 [0.0, 0.24705882352941178]
shield-8e1100ca -> shield-8e1100ca-v2 1 [0.0, 0.0]
shield-9d1518e9 -> shield-9d1518e9-v2 1 [0.00784313725490196, 0.37254901960784315]
shield-ba7b0c51 -> shield-ba7b0c51-v2 1 [0.00784313725490196, 0.37254901960784315]
shield-cd9ddfe2 -> shield-cd9ddfe2-v2 2 [0.0, 0.0]
shield-d8e95c74 -> shield-d8e95c74-v2 1 [0.0, 0.24705882352941178]
shield-protection -> shield-protection-v2 1 [0.0, 0.24705882352941178]
shop -> shop-v2 1 [0.0, 0.0]
shop-6f9eafdb -> shop-6f9eafdb-v2 1 [0.0, 0.0]
shop-shopping -> shop-shopping-v2 1 [0.0, 0.0]
shop-sign -> shop-sign-v2 6 [0.0, 0.0]
shopping-bag-shopping -> shopping-bag-shopping-v2 1 [0.0, 0.0]
shottkey-diode -> shottkey-diode-v2 1 [0.0, 0.0]
show-theater -> show-theater-v2 15 [0.0, 0.0]
sidebar-dots-right -> sidebar-dots-right-v2 4 [0.0, 0.0]
sign-badge-badge-maps -> sign-badge-badge-maps-v2 1 [0.0, 0.0]
sign-badge-bubble-message -> sign-badge-bubble-message-v2 1 [0.0, 0.0]
sign-badge-rectangular-round -> sign-badge-rectangular-round-v2 3 [0.0, 0.0]
skull-cb2b2f08 -> skull-cb2b2f08-v2 3 [0.0, 0.0]
skull-interface-essential -> skull-interface-essential-v2 3 [0.0, 0.0]
slot-machine -> slot-machine-v2 4 [0.0, 0.0]
smile -> smile-v2 1 [0.0, 0.0]
snowflake -> snowflake-v2 2 [0.0, 0.0]
snowflake-1 -> snowflake-1-v2 2 [0.0, 0.0]
soap -> soap-v2 12 [0.0, 0.0]
square-brackets -> square-brackets-v2 2 [0.0, 0.0]
square-symbol -> square-symbol-v2 6 [0.0, 0.0]
state-mail -> state-mail-v2 1 [0.0, 0.0]
sub-square-symbol -> sub-square-symbol-v2 5 [0.0, 0.0]
suitcase -> suitcase-v2 7 [0.0, 0.0]
switch-off -> switch-off-v2 6 [0.0, 0.0]
symbol-medical -> symbol-medical-v2 1 [0.0, 0.0]
symbol-non-specific -> symbol-non-specific-v2 6 [0.0, 0.0]
table-row-selected -> table-row-selected-v2 6 [0.0, 0.0]
table-tools -> table-tools-v2 8 [0.0, 0.0]
text-bar -> text-bar-v2 6 [0.0, 0.0]
ticket-entertainment -> ticket-entertainment-v2 2 [0.0, 0.0]
time-clock-six -> time-clock-six-v2 1 [0.0, 0.0]
train -> train-v2 2 [0.0, 0.0]
transit-gateway -> transit-gateway-v2 4 [0.0, 0.0]
trash -> trash-v2 7 [0.0, 0.0]
trash-can-symbol -> trash-can-symbol-v2 2 [0.0, 0.0]
trash-ea5cd0b4 -> trash-ea5cd0b4-v2 7 [0.0, 0.0]
tv-e15847a1 -> tv-e15847a1-v2 2 [0.0, 0.0]
underwear-bikini-bottom -> underwear-bikini-bottom-v2 1 [0.0, 0.0]
unlock-1 -> unlock-1-v2 1 [0.0, 0.0]
upload -> upload-v2 2 [0.0, 0.0]
usb -> usb-v2 1 [0.0, 0.0]
usb-type-c -> usb-type-c-v2 6 [0.0, 0.0]
vectors-anchor-square -> vectors-anchor-square-v2 4 [0.0, 0.0]
vectors-anchor-triangle -> vectors-anchor-triangle-v2 2 [0.0, 0.0]
vertical -> vertical-v2 2 [0.0, 0.0]
vertical-rectangcle -> vertical-rectangcle-v2 6 [0.0, 0.0]
video -> video-v2 2 [0.0, 0.0]
video-cba8c0da -> video-cba8c0da-v2 6 [0.0, 0.0]
video-cross -> video-cross-v2 2 [0.0, 0.0]
video-e80765f4 -> video-e80765f4-v2 2 [0.0, 0.0]
video-symbol -> video-symbol-v2 1 [0.0, 0.0]
virtual-coin-crypto-ethereum -> virtual-coin-crypto-ethereum-v2 3 [0.0, 0.0]
virtual-coin-crypto-holo -> virtual-coin-crypto-holo-v2 2 [0.0, 0.0]
virtual-coin-crypto-neo -> virtual-coin-crypto-neo-v2 1 [0.0, 0.0]
virtual-shopping-fashion-fitting -> virtual-shopping-fashion-fitting-v2 1 [0.0, 0.0]
volume-control-low -> volume-control-low-v2 4 [0.0, 0.0]
vote -> vote-v2 6 [0.0, 0.0]
vr-headset-video-games -> vr-headset-video-games-v2 2 [0.0, 0.0]
warehouse -> warehouse-v2 2 [0.0, 0.0]
warehouse-shipping -> warehouse-shipping-v2 2 [0.0, 0.0]
warehouse-storage -> warehouse-storage-v2 2 [0.0, 0.0]
warp-arc -> warp-arc-v2 1 [0.0, 0.0]
warp-arc-upper -> warp-arc-upper-v2 3 [0.0, 0.0]
warp-arch -> warp-arch-v2 2 [0.0, 0.0]
warp-shell-lower -> warp-shell-lower-v2 1 [0.0, 0.0]
warp-squeeze -> warp-squeeze-v2 3 [0.0, 0.0]
water-glass-half-full -> water-glass-half-full-v2 3 [0.0, 0.0]
waveform -> waveform-v2 1 [0.0, 0.0]
weights -> weights-v2 1 [0.0, 0.0]
wifi-weak -> wifi-weak-v2 1 [0.0, 0.0]
window-closed -> window-closed-v2 3 [0.0, 0.0]
wireless-access -> wireless-access-v2 1 [0.0, 0.0]
workflow-data-table -> workflow-data-table-v2 6 [0.0, 0.0]
workflow-data-table-1 -> workflow-data-table-1-v2 2 [0.0, 0.0]
workflow-data-table-1-business -> workflow-data-table-1-business-v2 2 [0.0, 0.0]
wristband -> wristband-v2 3 [0.0, 0.0]
Cleaned 330
