icon_id,current_status,existing_internal_review,maximum_narrow_run,minimum_sampled_ink_gap,file
arrow-rectangle-left-84253ba9,review,False,2.9981,-3.7378,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/arrow_rectangle_left_84253ba9_1f79_5e64_9fcc_510a1fc2dc89.py
arrow-thick-down-3,pass,True,6.2396,3.3474,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/arrow_thick_down_3_4c495be8_9a08_470b_bacc_5efd7480755f.py
artillery-field-gun,fail,True,5.7456,1.6204,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/artillery_field_gun_472cd9f4_5cc8_4752_9e89_ec6fa6da408b.py
astrology-moon,pass,True,11.9907,-1.8515,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/astrology_moon_6dd077fd_c745_464e_9bfc_be53b27bf22e.py
au,pass,True,7.9875,0.7084,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/au_9e32ea71_47a5_4017_9550_316b71c862e7.py
awd-text-label,fail,True,29.6438,-2.7977,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/awd_text_label_971034e0_d3cc_5cee_b6c3_07b486f7f0d4.py
azadi-tower,fail,True,17.9958,1.9646,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/azadi_tower_81874dae_f4c4_5f40_b5ac_1f2d6e5e8e3a.py
b4,pass,False,14.7462,-2.1944,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/b4_8220eff5_889a_4ed4_abe8_9cb5b3c749d9.py
baby-bib,pass,False,4.249,-2.7768,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/baby_bib_bd070373_fb79_5ffe_a5ec_6c7fdf08861b.py
baby-carrier,fail,True,5.5,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/baby_carrier_b76427bd_d7be_45fb_81dd_7ac9435b08cb.py
baby-figure,fail,True,11.7297,1.6569,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/baby_figure_8e4bd3c6_f290_4652_9dfa_4a17d82dca3d.py
baby-onesie,pass,False,4.2477,1.4126,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/baby_onesie_8ed514c7_2c36_54a9_8ae4_a874afb8b2f1.py
baby-potty,fail,False,16.9944,1.852,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/baby_potty_5b4d2b50_1b9c_4414_9e32_19d3aa7a41d9.py
bag,pass,False,4.492,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bag_0f5b2ebf_9ca8_4f74_bcf3_e9448134158b.py
bag-44d13a4d,pass,False,5.4998,1.6256,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bag_44d13a4d_0f14_45d6_b151_8ea1e0eb4903.py
bag-bf5296da,pass,False,4.492,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bag_bf5296da_9358_4863_98b8_b6dd1fe60594.py
bandaged-index-finger,fail,False,3.2467,1.8538,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bandaged_index_finger_806acf8e_3fa3_5523_a16c_605e6d202d8b.py
bar-graph-rising,fail,True,26.5,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bar_graph_rising_9eac7172_d6a3_4992_aaad_dd1cdbd21c70.py
bark,fail,True,5.241,-3.9399,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bark_319e2aa3_098e_5a2f_a08e_fb155dc163cb.py
bath-duck,fail,True,2.7453,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bath_duck_d9436e90_0356_54eb_8425_ffed5abc09e1.py
bathrobe,pass,True,9.9907,-2.4639,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bathrobe_923e2f6e_dba3_5d20_9662_6b8d78e7b8fc.py
be-text-u,pass,True,9.2427,1.1361,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/be_text_u_f17d3767_756e_40e4_a1d9_8b2fc618d58d.py
bee-with-swept-wings,pass,False,2.7319,2.3317,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bee_fd5c49b2_4949_56b0_a8ef_f3d6f0eb4149.py
bikini,pass,False,2.9881,1.4246,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bikini_16f32997_2f4f_492a_88cb_a0d3992154a2.py
binary-digits,pass,False,2.2303,1.3132,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/binary_digits_abff6337_b854_552e_afe3_b89605887cad.py
binoculars,pass,True,6.9886,-3.6363,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/binoculars_c302c027_d345_469d_98e7_0e924b296946.py
bipod-mortar,pass,False,4.969,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bipod_mortar_ee17620e_81ef_4b79_88d8_0ce13c726c44.py
bird-flock,fail,True,5.7299,-2.0546,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/wild_bird_flock_b7c1e75f_5c89_447a_8fb6_cc3765f450b1.py
bird-in-flight,fail,True,3.9946,0.5821,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/wild_bird_hunt_cc0d19d9_4136_5987_afa8_f2b8cb1ad36b.py
blank-arched-gravestone,fail,True,21.0,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/blank_arched_gravestone_89ecb25c_cc68_5f0c_b9c3_4268031daba4.py
boat-engine-1,fail,True,7.2187,1.3714,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/boat_engine_1_8628f907_a81e_4a5c_8744_e254e02cde48.py
bobble-hat-with-panelled-cuff-v2,fail,False,5.4806,1.3513,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bobble_hat_with_panelled_cuff_v2_9cfcd350_1501_5764_acc6_14be28804728.py
borobudur-stupas,pass,False,2.2435,3.0144,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/borobudur_stupas_d71bacf5_c9e7_496b_a225_6ba756b83ef7.py
bowling-pins-row,pass,True,18.9768,0.0352,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bowling_pins_row_d972c303_2754_4efe_82ae_c0b2f535370b.py
bowling-pins-three,pass,True,14.9464,0.3703,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/bowling_pins_three_012843f4_1e2d_4bd4_8797_27a0f5f0fd46.py
breaking-flood-wave-v2,fail,False,13.7049,-2.1684,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/breaking_flood_wave_v2_7a1a0ce3_79eb_409e_ad6e_9f651fe83216.py
brick-firewall,pass,False,6.9936,0.5987,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/brick_firewall_31873389_9f53_4271_a274_ace8612680cd.py
brightness-half-disc-sun,pass,False,6.4682,1.1963,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/brightness_half_disc_sun_1f15b907_4008_5d37_802a_a4bd5dab0293.py
broad-leaf-seedling-in-rimmed-pot,fail,True,17.0,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/broad_leaf_seedling_in_rimmed_pot_2afcf43c_09b9_5de1_9777_49c4ecd3a602.py
broadcast-van-dish,pass,True,10.489,1.5533,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/broadcast_van_dish_493ede0a_6fdc_424e_ac62_2775797bcb36.py
burning-crashed-aircraft,fail,True,11.4816,-0.3414,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/burning_crashed_aircraft_81f5c526_61a1_4426_afae_2fec80a31cb2.py
button-syncing,fail,False,2.9952,-0.5634,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/button_syncing_18f9d573_e7b3_5500_9011_0bd7ffb6dcc0.py
cactus-in-rimmed-pot,fail,True,18.9671,1.0105,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cactus_in_rimmed_pot_5b8fbfc9_7597_5fd2_b24f_701fd84d868c.py
cactus-in-rimmed-pot-v2,fail,True,23.7113,-0.0008,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cactus_in_rimmed_pot_v2_5b8fbfc9_7597_5fd2_b24f_701fd84d868c.py
cactus-in-rimmed-pot-v3,fail,True,18.9653,1.0106,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cactus_in_rimmed_pot_v3_5b8fbfc9_7597_5fd2_b24f_701fd84d868c.py
cactus-in-rounded-pot,fail,True,18.9671,1.0105,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cactus_in_rounded_pot_9ca14b29_db60_5c73_9981_f223340be7a7.py
cactus-in-rounded-pot-v2,fail,True,23.7113,-0.0008,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cactus_in_rounded_pot_v2_9ca14b29_db60_5c73_9981_f223340be7a7.py
calendly-logo,pass,False,89.4989,2.8178,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/calendly_logo_bacfa429_a6b0_4633_9b16_4de2c0ffebf1.py
camera-with-side-viewfinder,pass,True,7.9874,0.8378,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/camera_with_side_viewfinder_6c55c909_3271_5e46_afc3_1df1e5139a05.py
candle-with-heart-flame,pass,False,2.2464,3.0168,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/candle_with_heart_flame_38fd3f15_701d_4404_8da0_af7c79ef4dd2.py
cannon-block-carriage,fail,True,2.4958,2.3246,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cannon_block_carriage_63675998_808b_5a45_8289_50d26d3668d5.py
canoe-paddles,pass,True,3.248,2.4287,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/canoe_paddles_481229e1_4318_5a89_838e_674d0da6757e.py
car-5e6ba5b0,pass,False,4.4875,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/car_5e6ba5b0_525c_42f8_9b38_33b843bfe31b.py
car-9e5f3201,pass,False,4.4875,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/car_9e5f3201_71ac_4e37_97ac_b3416198d4da.py
car-eaa7f06c,pass,False,4.4875,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/car_eaa7f06c_57de_4d21_aaa7_d89d24b33193.py
car-engine,fail,True,7.7388,3.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/car_engine_7777de7c_ac76_5fa1_bf54_b74113e66d6e.py
car-skidding,fail,False,2.7388,1.5851,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/car_skidding_9ba9924a_41d3_4ed9_93c5_d475f8bd2fd2.py
card,review,True,4.9976,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/card_006f0542_de8b_4cfd_9623_f45ac4159bfd.py
card-a525cc8f,pass,True,4.9968,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/card_a525cc8f_6e57_4f1c_931a_9f1999e26316.py
card-b42901ee,review,True,4.9968,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/card_b42901ee_f812_48ee_a415_b6ce160f17ba.py
card-business,review,True,4.9968,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/card_25403358_b062_4eab_b82c_65ebffb2f3e3.py
castle-tower-with-drawbridge,pass,False,4.0,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/castle_tower_with_drawbridge_9e15ee5a_21d1_4d1c_9609_af576142b12f.py
castle-tower-with-pennant-v3,pass,False,12.2237,-2.1371,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/castle_tower_with_pennant_v3_033da33f_ea2d_58ce_a57c_5cffb7818dd9.py
castle-tower-with-pennant-v4,fail,True,8.5,0.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/castle_tower_with_pennant_v4.py
castle-with-gate-tower-v2,fail,True,2.9964,0.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/castle_with_gate_tower_v2_437c1e1f_16fd_515d_8ae3_fa2eab4a2640.py
cauldron,pass,False,2.2488,1.8576,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cauldron_e709f0a8_cd5c_4a9b_8b47_1734cea8a46a.py
ce-text-u,pass,False,8.2288,1.4979,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/ce_text_u_c8302404_8bb0_4abd_ad0a_69790af88bfe.py
ceiling-ball-chandelier-retro,pass,False,2.2278,1.5387,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/ceiling_ball_chandelier_retro_0cc06589_edbd_54c6_b5a3_4644d3190fe9.py
chart,pass,True,5.9924,2.479,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/chart_e6769cc6_7edd_4638_9a68_d793ea0c3ccc.py
cheerful,fail,True,10.7215,-3.9686,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cheerful_c7cf76c8_ffda_5a5f_b891_db7de9398c9c.py
children-on-seesaw,pass,False,2.0,-4.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/children_on_seesaw_e5a65a59_3ada_4acf_99fb_4a0e4440ea37.py
chili-peppers-three,pass,False,29.7236,-1.2527,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/chili_peppers_three_928dd597_914b_4e96_8b61_a0c0fab4c55c.py
chili-peppers-two,pass,False,16.9623,-0.7367,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/chili_peppers_two_2d596f49_a091_4ed3_be42_188e0442128e.py
circle-messages-bubble,pass,False,2.9992,0.5787,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/circle_messages_bubble_5f97107e_f15e_42cb_ae76_2769af6c5f64.py
clapping-hands,pass,True,4.231,2.5042,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/clapping_hands_085a3a88_5033_45ba_96f4_cd5dce804e8d.py
classical-piano,pass,True,5.2456,3.3682,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/classical_piano_a53bd27a_5806_5a97_81ac_1e6b26e8a953.py
classical-statue-bust,fail,True,7.7436,0.4737,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/classical_statue_bust_1bafc453_5bc6_415b_bdab_800770f2d87b.py
cloud-display-globe,fail,True,32.4736,1.2474,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cloud_display_globe_f66072f8_69df_452b_b63d_912a999c4271.py
cloud-fog,pass,False,7.246,1.2084,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cloud_fog_d794c5d7_5f98_458b_b2a6_90d94b5e81f5.py
cloud-layered-fog,pass,False,7.246,1.2084,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cloud_layered_fog_289d9f56_5e4d_4925_a01e_49529c2a1885.py
cobra-head,fail,True,11.7396,-2.4761,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cobra_head_side_722cb33f_03cc_5935_ab1a_86a1ade0a234.py
cockatoo,fail,True,3.4947,2.3446,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/parrot_9442c76e_74c3_56b2_8dda_349c7fd38db5.py
cockatoo-v2,fail,True,7.994,-3.3078,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cockatoo_v2_9442c76e_74c3_56b2_8dda_349c7fd38db5.py
cog,fail,True,3.7483,1.8058,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cog_1e82d117_570c_41ee_9217_7031427f5fea.py
cog-54edfc1d,fail,True,3.7483,1.8058,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cog_54edfc1d_eb55_4021_bd83_56ed412b706f.py
cog-cbadf384,fail,True,2.2484,1.8363,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cog_cbadf384_f227_495e_8017_d7e7ebdf0faa.py
coiled-snake,fail,True,56.6845,0.9699,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/reptile_snake_bd9f57fc_780e_5c9d_8047_c776f0b4d870.py
coiled-snake-v2,fail,True,56.6845,0.9699,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/coiled_snake_v2_bd9f57fc_780e_5c9d_8047_c776f0b4d870.py
cold-face-frozen,fail,True,18.4387,1.8504,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cold_face_frozen_ef715132_dcbb_446d_bc2d_8f47ae0978bf.py
cologne-cathedral,pass,True,2.4957,2.3251,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cologne_cathedral_07f608bf_07ea_53df_b369_c2c46c926459.py
column-with-open-book,fail,True,7.9782,1.8513,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/column_with_open_book_5dd33c32_a4a4_49c4_9f2f_9e1e0c52c018.py
columned-gateway-monument-v2,fail,True,4.5,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/columned_gateway_monument_v2_f5545026_1358_597f_aaa3_329be27f951e.py
combination-wrench,pass,False,6.9987,-1.6901,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/combination_wrench_6815e7b6_0564_47d2_baed_c1024c9effd1.py
contactless-card-payment-dollar,pass,True,6.219,1.5833,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/contactless_card_payment_dollar_83b7c65e_14e9_4428_b2e6_57332f20611f.py
contrast-star-badge,pass,False,7.4979,2.0806,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/contrast_star_badge_e5243c60_cfbb_42ad_8319_7d11d5997e34.py
crenellated-castle-tower,fail,True,2.75,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crenellated_castle_tower_b638c75c_e761_5d73_8e35_dbb30e06a28e.py
crescent-and-star,pass,False,8.2293,0.7174,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crescent_and_star_2b50a53e_8870_4fae_af80_8f5306467bd1.py
crescent-head-wrench,pass,True,11.4958,0.4833,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crescent_head_wrench_47ad292e_443e_5fb5_a71a_0d263bd6ed9e.py
crescent-moon,fail,False,11.9849,-3.5511,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crescent_moon_1f947813_75bf_523b_bb36_5f6abbd3d57b.py
crested-penguin,fail,True,2.9975,0.4116,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/penguin_crested_b013a26e_4b3d_4d2f_a975_ca81de5ad6ce.py
crib-mobile,fail,False,10.7054,1.5948,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crib_mobile_98dc90c1_4206_5d40_b53b_07eca24686a7.py
cricket,fail,True,12.2195,0.8047,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/insect_cricket_body_f676f8b4_b6a7_4e6b_ab0e_87feab8269f5.py
crocodile-in-water,fail,True,2.7463,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/reptile_crocodile_water_ca6a591c_ff28_52f1_afee_3a6b95328acd.py
crocodile-in-water-v2,fail,True,2.7476,2.0,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crocodile_in_water_v2.py
croissant-and-coffee,pass,False,4.2402,2.1239,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/croissant_and_coffee_15142e4e_b0bd_491b_8e9e_d5620b4c6f6c.py
crossed-cutlass,pass,False,27.4505,0.1168,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crossed_cutlass_0ef35f0a_e6c2_5cd6_861a_50bf28d6a460.py
crossed-double-wrenches-v2,pass,True,8.9975,1.1969,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crossed_double_wrenches_v2_d68d86b3_b7c8_5a2f_985f_8c6137c58cca.py
crouching-windsurfer,pass,False,2.493,2.9094,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/crouching_windsurfer_da1dc22a_d712_50d8_b7bf_bb9850b68366.py
cs-text-u,pass,False,3.7459,2.3672,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cs_text_u_9c2ec6b1_ebb1_498d_ab11_45b453e4546a.py
cuffless-thumbs-up,pass,False,2.2494,2.9744,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cuffless_thumbs_up_c0076a7e_cfe2_459e_9680_ec515e78c5df.py
cup,pass,False,2.2476,0.0014,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/cup_db8ea339_df43_4389_a7c4_43da211daa67.py
curled-finger-thumbs-up,pass,True,6.739,3.0375,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/curled_finger_thumbs_up_fc83794c_c4dc_4f7e_884b_9c85a97943ce.py
curled-raccoon-v2,fail,True,28.9813,0.783,/Applications/Workspaces/pictographic/claude_skills/icon_set/model/icons/solo/curled_raccoon_v2.py
