id,concept,old_categories,new_categories,reason,linked_profiles
468beab8-6edf-4e7f-9ee2-0f23f5c3b360,Heartbeat Pulse Signal Symbol,sports state other,sports state other primitives-generate,other-generate,SOLO48 SUB32
47328ef1-9ad8-5380-b5a0-6e63403a63d7,Empty Rounded Speech Bubble,chat other,chat other primitives-generate,other-generate,SOLO48
484cb3fb-0065-4ca7-ac5f-156d807d114c,Infinity Symbol Balaclava,state other,state other primitives-generate,other-generate,SOLO48 SUB32
49c7ba4a-3465-4f47-bc5e-ebc126adebb0,Single Roasted Coffee Bean,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SYMBOL32
49e8644a-0ad0-4afd-af3d-44a58e035850,Minimalist Cat Face,pets state other,pets state other primitives-generate,other-generate,SOLO48 SUB32
4a672a0c-7986-4e33-83d3-278b80db497b,Simple User Profile Avatar,other,other primitives-generate,other-generate,SOLO48
44b2a4ad-3075-45bc-ae41-282c60bd7d93,LB Weight Symbol,symbol state other,symbol state other primitives-generate,other-generate,TEXT28 TEXT32
45b57bc3-2d5a-4c61-8124-17fd022cfe21,Female Person Icon,other,other primitives-generate,other-generate,
4a06d69f-2edd-4b80-be80-a8b144c9e4ee,Japanese Yen Currency Symbol,symbol other,symbol other primitives-generate,other-generate,SOLO48 SYMBOL32
4a47df00-a455-41d9-84a4-6416eb861ee6,Three Leaf Sprout,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32
45efdc96-5aab-49eb-ac68-b0e1ceb428c9,Smartphone Security Key,other,other primitives-generate,other-generate,SOLO48 SYMBOL32
46cfdeb4-afd1-4e8a-bdcd-54952c7a1dab,House with Water Drop,other,other primitives-generate,other-generate,SOLO48
47d2e77c-7d13-4e49-a9d3-b0ee7dd5fe74,Global Network Computer Monitor,other,other primitives-generate,other-generate,SOLO48
47fbaf51-c642-47a0-83d1-b705351e64ba,Spiral Bound Notebook,other,other primitives-generate,other-generate,SOLO48
48042cfb-02f3-5fbd-b3d2-694663a8c5e3,Chess Knight Piece,other,other primitives-generate,other-generate,SOLO48
48638845-8ed3-40d9-b091-9b8e634fd759,Square Parking Area Sign,other,other primitives-generate,other-generate,SOLO48
49b4a1e0-42a5-42a0-917b-1ab0956b857f,Euro Currency Message Bubble,other state,other state primitives-generate,other-generate,SOLO48 SUB32
4a625cc1-8989-433b-89db-ddf1b6a98ffe,Ascending Commercial Airplane,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32
49781b64-ccc2-5e53-93f8-360efdda93fc,Simple Closed Book,content other,content other primitives-generate,other-generate,SOLO48
4afa620e-cc29-4f25-8973-3319072adbc9,3G Mobile Network Connection,text state other,text state other primitives-generate,other-generate,
4b19d2ae-09dc-47b4-a0c9-296d290510c0,Simple Right Pointing Leaf,other,other primitives-generate,other-generate,SOLO48
4b1cd37d-5708-4e57-8dac-f3311354f4bc,Vertical Electrical Power Outlet,other,other primitives-generate,other-generate,SOLO48
4b380f58-586b-45bc-8749-b86c9b2f3e5c,Simplified Ichthys Fish Symbol,animals state other,animals state other primitives-generate,other-generate,SOLO48
4b4b156b-56c7-45c1-80c4-fb442761ed90,Front View Ceramic Bathroom Toilet,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
4b8a1949-3e5f-4bab-9f8a-db37b07f0bc0,Location Navigation Arrow,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
4bb6ca79-8e91-43b5-a232-986e4b45c150,Oval Soap Bar,other,other primitives-generate,other-generate,SOLO48
4be97868-555f-551a-b0aa-71a9aa960994,Split View Window Interface,apps other,apps other primitives-generate,other-generate,SOLO48
4c0cf10b-bbbf-4ff4-9951-91713cc6ef28,Password Input Field,other,other primitives-generate,other-generate,SOLO48
4c261fc0-0d1c-4e30-abc1-c55587b5e470,Retail Product Price Tag,other,other primitives-generate,other-generate,SOLO48
4c398c0b-71ae-4681-a50b-2dd50dab7c0f,Simple Diagonal Writing Pencil,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
4c57be23-fe0b-4cb8-b06e-9aed4bc5f3aa,Medical Case with Capsule Pill,other,other primitives-generate,other-generate,SOLO48
4d77908b-9f0a-416f-bab9-3143aecf95b6,Clockwise Refresh Arrow,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48 SUB32
4db84a45-4c16-4769-b6b7-4205d0a42357,Blank Office Clipboard,container other,container other primitives-generate,other-generate,SOLO48
4dfb2fe8-1589-4417-bd9c-f41f41f96d93,User Account Profile Portrait,other,other primitives-generate,other-generate,CONTAINER64
4e457d2e-149f-4085-a06c-b3f6cb685191,Text Wrap Right Layout,symbol other,symbol other primitives-generate,other-generate,SOLO48 SYMBOL32
4e67f929-3e9f-4fd3-aaec-bcd922b880c6,Whole Raw Potato,food state other,food state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
4e6c72ac-9782-4bd5-a7c1-7d22f0de49cc,First Aid Medical Cross,health other,health other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
4eb87d01-c899-416e-bc96-396611363e1e,LPG Fuel Text,symbol other,symbol other primitives-generate,other-generate,TEXT28 TEXT32
4f1c032b-ccc9-5ff8-ab8e-5cdd92d8148d,Infinity Loop Symbol,other,other primitives-generate,other-generate,SOLO48
50c9d08d-facc-4f2d-8e34-dc7e97caef61,User Search Magnifying Glass,other,other primitives-generate,other-generate,SOLO48
51708702-7e6d-4c86-a7b2-875a6bd53a13,Horizontal Three Dots More Options,symbol other,symbol other primitives-generate,other-generate,SOLO48
51c183ae-e9f1-4c96-aa28-8c9a5bc9585e,Manual Rubber Stamp,combination other,combination other primitives-generate,other-generate,SOLO48
5237809e-84ca-4d2d-bd80-dd045d692a17,Philippine Peso Symbol in Circle,other,other primitives-generate,other-generate,SOLO48
52524fee-82eb-4342-93ba-4c710b3efdd0,Skull and Crossbones Danger Circle,state other,state other primitives-generate,other-generate,SOLO48 SUB32
52a489db-01e7-4af3-9fa0-bcb731eeb236,Closed Padlock with Center Dot,state other,state other primitives-generate,other-generate,SOLO48
537c9790-95ad-4207-bed6-e5d11691c98f,Portrait of a Woman,other,other primitives-generate,other-generate,SOLO48
4d690ae6-a7e2-4292-9b6f-aeed1f355d7b,Empty Rounded Square Shape,container other,container other primitives-generate,other-generate,SOLO48
4e3029e6-492a-4d27-9967-817241fd3463,Simple Hollow Circle Shape,other,other primitives-generate,other-generate,SOLO48
4ea86669-dd94-4c67-81eb-5997c3e0caf5,Security Access Key Symbol,other,other primitives-generate,other-generate,SOLO48
50975b69-f22d-4f20-89b0-a7cc46117539,User Profile Circle,state other,state other primitives-generate,other-generate,SOLO48 SUB32
51747961-07f5-47d7-97cb-f171e1557aa1,MPG File Format Text,text state other,text state other primitives-generate,other-generate,TEXT_NATIVE_V2
5178166e-bac1-49a8-a6de-9ef7d95312d6,Global World Globe Symbol,maps other,maps other primitives-generate,other-generate,SOLO48
53a2b4a3-1baf-47dc-a7f6-5760e32d3d59,Kip Unit Measurement Symbol,money state other,money state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
4e07c108-ee65-49d8-8b3f-7e814c8e1cc5,Winking Face Sticker,other,other primitives-generate,other-generate,SOLO48
4fe0a6bc-2115-4dc8-acaf-745d96ceef9a,Add Location Map Pin,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32
4fed86c8-339a-58f8-8d09-3b8778a24cc4,Sputnik Space Satellite,other,other primitives-generate,other-generate,SOLO48
50118f35-5541-4d2d-9d74-c57099d07377,Sealed Letter Envelope,other,other primitives-generate,other-generate,SOLO48
50a01dd3-b726-55d0-b0d4-16caac8a6cb6,Tarot Card with Mystical Eye,other,other primitives-generate,other-generate,SYMBOL32
513a80b0-c23c-4732-baf6-7285d2bcbb03,Fahrenheit Temperature Degree Square,combination other,combination other primitives-generate,other-generate,SOLO48
52093ce8-9f15-5ca2-8b57-8fb10859386a,Desktop Computer Monitor,computers other,computers other primitives-generate,other-generate,
537f61ca-8ecd-4e15-bb46-ac683be40ccd,First Place Winner Podium,rating state other,rating state other primitives-generate,other-generate,CONTAINER64 SUB32
538b3965-823e-4cae-9f66-b095b6b07e9b,Share Action Icon,other,other primitives-generate,other-generate,SOLO48
5393b57b-1ff9-4e16-b855-128e09e91ba7,Baby Face with Single Hair Curl,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32
54325bec-9e76-47f3-ae84-9ced16fe0a3a,Wireless Mobile Yuan Payment,state other,state other primitives-generate,other-generate,SOLO48 SUB32
4f00181e-9f16-4ce7-b529-18053abcaa47,Euro Currency Coin,state other,state other primitives-generate,other-generate,SOLO48 SUB32
4f01697c-7a7c-5f15-ba3c-1c84fae8cb35,Open Book with Text,content other,content other primitives-generate,other-generate,SOLO48
4f8e2fe8-7ce0-4a78-8f6d-47387d8649e8,Diagonal Writing Pencil,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
4ffa6c0d-9134-5a35-a135-73fe4d06cbe2,Double Pane Window,building other,building other primitives-generate,other-generate,SOLO48
500267df-8bce-44e8-a3f7-89f2ab1be4c0,Crowned Security Shield,container other,container other primitives-generate,other-generate,SOLO48
5082511a-c4d5-4f3c-be72-f61c5ef1ad0b,M4V Video Format,text state other,text state other primitives-generate,other-generate,TEXT_NATIVE_V2
5176b9a1-98b4-47fe-a6d4-d7ca9385e6bf,Open Entrance Doorway,other,other primitives-generate,other-generate,SOLO48
51dcd939-bf74-4e07-8d2a-7009bab5f793,Automotive Car Battery Unit,transportation other,transportation other primitives-generate,other-generate,CONTAINER64 SOLO48
52860099-ee8d-46b2-84ff-237a2c5f681c,Geometric Animal Paw Print,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
52c708f4-a507-499a-ba67-b97481d798ed,Mobile Online Storefront,other,other primitives-generate,other-generate,SOLO48
5366a0b9-f863-4852-85a2-7d10874e511a,Simple File Folder,container other,container other primitives-generate,other-generate,SOLO48
52be666d-64a9-45bd-befb-a58dead7c51f,Simple Digital Photography Camera,video other,video other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
52cd86bc-bba7-4a12-8eae-e78fbf4ca2ec,Circular Skull Symbol,other,other primitives-generate,other-generate,SOLO48
53e82e45-ef3e-43ae-b6e0-83e2e67c469d,Upward Growth Trend,state other,state other primitives-generate,other-generate,SOLO48 SUB32
0e453f0c-f93f-44b5-be89-28ecbc5f97cb,Minimalist Two Wheeled Bicycle,other,other primitives-generate,other-generate,SOLO48
0ef08051-f8cf-452c-9504-27f2eb99eb1b,Document with Clock Symbol,combination other,combination other primitives-generate,other-generate,SOLO48
0fc5aeb5-baa0-42bb-a180-2f30f8dd6260,Simple House with Door,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48
11778f43-e4ae-47e0-a607-32a2e3ab7086,Simple Number Twenty,text state other,text state other primitives-generate,other-generate,TEXT28 TEXT32
11dc98cc-8ce7-4d7d-859a-a6914439a9c9,Modern Smartphone Device,phones other,phones other primitives-generate,other-generate,SOLO48
123c6022-8b42-4761-afec-650d7403b43e,Glass of Water,other,other primitives-generate,other-generate,SOLO48
12ebee8e-06fd-4841-9b3c-2731a29e3bf2,Simple Upward Pointing Chevron Symbol,other,other primitives-generate,other-generate,SOLO48
149fd072-7297-49b0-9b3a-91b9a790ffa6,Calendar with Handwritten Note,other container-combination,other container-combination,skipped-combination-other,
149fd072-7297-49b0-9f5d-d6b035d1779c,Simple Square Calendar Organizer,interface-essential other,interface-essential other primitives-generate,other-generate,CONTAINER64 SOLO48
15fc1905-26f1-420c-9167-f58df5f29604,Medicine Search Magnifying Glass,other state,other state primitives-generate,other-generate,SOLO48 SUB32
16a68778-68d4-5f6b-9ce5-e5182435ed96,Beamed Eighth Notes,music state other,music state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
0eca8bb8-75fe-4501-aa58-53ce337798cc,Open Laptop Computer,computers other,computers other primitives-generate,other-generate,SOLO48 SUB32
0ede8d22-cb57-4794-b361-c89627ccda77,Web Browser with Euro Symbol,other,other primitives-generate,other-generate,SOLO48
0ef09a66-6578-497b-817b-f821ad82e177,Mobile Fingerprint Scan,other,other primitives-generate,other-generate,SOLO48
0f0a99d8-5904-46c1-950e-8134fc37ff93,Angled Pointer Indicator,state other,state other primitives-generate,other-generate,SOLO48
0f5b2ebf-9ca8-4f74-bcf3-e9448134158b,Retail Shopping Bag,photography other,photography other primitives-generate,other-generate,SOLO48 SYMBOL32
0fc7f807-680d-4e95-81e5-b189561e0157,Low Volume Speaker,symbol other,symbol other primitives-generate,other-generate,SOLO48 SYMBOL32
10290e98-0137-48f2-92b6-b7ba707eaffa,Target Crosshair Symbol,container other,container other primitives-generate,other-generate,SOLO48
108b3cfe-84c6-493f-af52-2432d0b107d3,Educational Open Reading Book,content other,content other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
114ddaa5-c570-4bb4-b10e-88469985798b,Pocket Wallet with Snap Button,other,other primitives-generate,other-generate,SOLO48
11cb9f08-b025-4d80-9263-81694d1f2f6b,Single Medicine Healthcare Capsule,health other,health other primitives-generate,other-generate,SOLO48 SUB32
1421392c-5884-4c7e-bf5c-1082165dfba9,Open Book for Reading,content state other,content state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
146cf53e-79f5-4e4e-b1a7-9dd29ba2bf90,Computer Monitor with Code,other,other primitives-generate,other-generate,SOLO48
149a83e6-5647-53e7-9abb-0cbcc041df3b,Sleek Modern Bullet Train,transportation other,transportation other primitives-generate,other-generate,SOLO48
150d4701-3c3f-45a7-a26d-8c580a891da1,Browser Window with Dollar Sign,other,other primitives-generate,other-generate,SOLO48
164d9e51-fa44-4293-94e6-d83af50f3387,Single Nature Leaf,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
16fab0f1-c276-44ba-b511-20bece067710,Rising Heat Vapor,state other,state other primitives-generate,other-generate,SOLO48
178a7f8b-b409-43c7-b028-ccf3729eca6c,User Account Profile Circle,state other,state other primitives-generate,other-generate,SOLO48 SUB32
0f4ecb94-3a73-4380-95f8-a8bd0a7bf26d,Unrolled Architectural Blueprint,container other,container other primitives-generate,other-generate,SOLO48
1157517b-90dd-480d-990d-dd252676e00e,Natural Organic Plant Leaf,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
149e1bb4-7caa-4573-92e8-c2528ea99ca1,HTML Text Label,state other,state other primitives-generate,other-generate,TEXT_NATIVE_V2
14f14edb-1e9b-4c1b-8d51-fdc673e57a3f,Monitor with Dollar Sign Symbol,other,other primitives-generate,other-generate,
15a300e5-b82d-4912-8a2a-869d03bdf837,Person Digging with Shovel,symbol other,symbol other primitives-generate,other-generate,SOLO48 SYMBOL32
1662b0c8-beaa-4c50-8471-473b904880c2,Circular Target Symbol,other,other primitives-generate,other-generate,SOLO48
167726ad-1712-4c93-9811-de2ccde29469,Waste Bin with Lid Handle,other,other primitives-generate,other-generate,SOLO48
1701ca48-aa5b-4e61-a6fd-9be91a706783,Classic Telephone Handset,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
172aa006-1394-4ef9-880b-ee637d510981,Search Magnifying Glass,container other,container other primitives-generate,other-generate,SOLO48
177bdc8f-a349-4eb2-9256-4dda4aaf2d56,Smart Home Light Bulb,other,other primitives-generate,other-generate,SOLO48
130ae17c-e9b2-44fc-bcbf-03cd5a3dc1d9,Smartwatch with Yuan Sign,combination,combination primitives,added-primitives,SOLO48
1412debb-e1a1-4a8a-86dc-2219a8295392,Rounded Vertical Rectangle,container other,container other primitives-generate,other-generate,SOLO48
14a4d481-c5b0-4f7a-ae4d-c10f639e6242,Folded Paper Map,other,other primitives-generate,other-generate,SOLO48
14b5dacf-2ae7-4b43-b032-7129b3d49037,Calendar with Math Equation,other,other primitives-generate,other-generate,SOLO48
1651603f-bfb9-458c-8d4f-d01b057f84fa,Smartphone with Letter A,other,other primitives-generate,other-generate,SOLO48
16791ce0-2910-4e3b-82ee-8dcb1834e398,Yen Currency Message Bubble,state other,state other primitives-generate,other-generate,SOLO48 SUB32
17f53de2-7f28-4023-80ae-484c48ce0e0e,Pull Down Projection Screen,office other,office other primitives-generate,other-generate,CONTAINER64 SOLO48
181755f1-a8ab-4d25-8475-ebcf6885f0c8,Modern Computer Monitor Display,computers other,computers other primitives-generate,other-generate,SOLO48 SYMBOL32
13ea825f-ae04-4150-a4b6-56b3bed9dc5d,Smartphone with Telephone Handset,other,other primitives-generate,other-generate,SOLO48
16cb7b74-99b7-409b-8d47-d6931e6ae496,Porous Cleaning Sponge,other,other primitives-generate,other-generate,SOLO48
177907f1-39d3-4a44-8620-daeadcba4d32,Rectangular Sign Board,container other,container other primitives-generate,other-generate,SOLO48
17b906a6-bcf5-4724-81ac-c48ea8d535e9,Medical Injection Syringe,other,other primitives-generate,other-generate,SOLO48
1888dd76-ccb6-47f9-8b09-93820a0e4fb5,Diagonal Down Right Arrow,symbol other,symbol other primitives-generate,other-generate,SOLO48
160c5423-2171-44a3-b5aa-55e80961b5a6,Square Selection Bounding Box,other,other primitives-generate,other-generate,
162eae61-5c7a-4f66-b659-3f2fbd11c0a5,Animal Paw Print,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
16b19145-212f-42bd-b9b5-ab0936754a35,Television Skip Backward,other,other primitives-generate,other-generate,SOLO48
355bf0b1-d1a1-4408-b75a-628f1ed00e52,Virtual Private Network Text,symbol state other,symbol state other primitives-generate,other-generate,TEXT28 TEXT32
35786485-a3d0-4f1c-8bb6-3eaad7429935,Cosmetic Face Cream Jar,other,other primitives-generate,other-generate,SOLO48
35820950-4e21-49b7-a67d-b15356efda77,Financial Dollar Sign Document,state other,state other primitives-generate,other-generate,SOLO48 SUB32
3591871b-5aae-4c39-9571-b421f21c9a22,Simple Closed Book,content other,content other primitives-generate,other-generate,SOLO48 SUB32
35927974-2629-44d6-b1c5-b8e9cce40d6f,Vertical Temperature Measurement Gauge,other,other primitives-generate,other-generate,SOLO48
359d205e-3e65-4681-9176-4cc7661ec8be,Simple Residential House Building,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48
3640f2f0-b0c0-4dbd-9d92-86762ff6cfbb,House with Music Note,other,other primitives-generate,other-generate,SOLO48
36431152-eb7f-4823-8544-b6247731eddd,Closed Mail Envelope,other,other primitives-generate,other-generate,SOLO48
3648786c-989b-4daf-b5c8-46f46ae599ce,Bug on Computer Monitor,other,other primitives-generate,other-generate,SOLO48
37012d29-357d-4e7a-9788-4fe102b86097,Capital Letter A,text state other,text state other primitives-generate,other-generate,TEXT_NATIVE_V2
370378c0-d2de-4d4e-9b33-871759456e68,Descending Sort Order,other,other primitives-generate,other-generate,SOLO48
378dbc4a-8e49-4c92-8de6-23be0bf1d811,Medical Health Protection Shield,symbol state other,symbol state other primitives-generate,other-generate,SOLO48 SUB32 SYMBOL32
37d06a72-3489-49e9-931d-b10559d99ab1,Notification Alert Bell Symbol,other,other primitives-generate,other-generate,SOLO48
39150a1e-77de-4299-ad47-aea402520e87,Airplane Taking Off,travel state other,travel state other primitives-generate,other-generate,SOLO48 SYMBOL32
3965b3cb-3cad-4439-8fe1-ea32aefe85a5,Circular Down Right Arrow,state other,state other primitives-generate,other-generate,SOLO48 SUB32
3a3e4d85-115c-4ccb-82d1-46fd45222b3a,Web Browser User Profile,other,other primitives-generate,other-generate,SOLO48
3ac51a01-49f8-4fab-833e-bfbdf004114a,Presentation Board on Stand,container other,container other primitives-generate,other-generate,SOLO48
3b9c17de-e4c7-4dc7-b1db-c7eec31bf6cb,Fuel Station Pump,other,other primitives-generate,other-generate,SOLO48
3babae3c-79d9-4dd4-88a4-d7c89f6a58bf,Uncle Sam Top Hat,school-learning other,school-learning other primitives-generate,other-generate,SOLO48
3c216074-a57a-436c-81d8-30276fe1614e,Vertical DNA Double Helix,state other,state other primitives-generate,other-generate,SOLO48 SUB32
3cdc9209-2156-4816-9bd6-25aa15afe55c,Rounded Capital Letter M,text state other,text state other primitives-generate,other-generate,TEXT28 TEXT32
3d9513c5-e2aa-45af-831e-e2cf0d02a644,Simple Kitchen Food Bowl,other,other primitives-generate,other-generate,SOLO48
3ebbbe60-66ff-4346-a1c8-9367527d9ea9,Mobile Wireless Pound Payment,state other,state other primitives-generate,other-generate,SOLO48 SUB32
3f07e720-0288-4625-8e49-dc8240a8d97e,Clipboard with Document Notes,other,other primitives-generate,other-generate,SOLO48
3679e6b1-f8a5-4ea0-a14d-1131e2498789,Java Programming Language Text,symbol state other,symbol state other primitives-generate,other-generate,TEXT_NATIVE_V2
36b5ce8c-0ffe-4bbc-9abc-5d99e806b0d9,Euro Financial Document,state other,state other primitives-generate,other-generate,SOLO48 SUB32
36c6f3f6-93b3-4f6e-9154-f50531f5e543,Spicy Hot Chili Pepper,other,other primitives-generate,other-generate,SOLO48
37149c15-c3c1-44b7-b2c0-328541d9789b,Circular Speech Bubble,container other,container other primitives-generate,other-generate,SOLO48
374885d3-0df3-4239-bb81-0f1c062cd2fb,Number Fifteen Icon,symbol other,symbol other primitives-generate,other-generate,TEXT28 TEXT32
383a7153-4d4a-4a2e-8f3c-9d6a06472686,Location Marker Pin,container other,container other primitives-generate,other-generate,SOLO48
386cb547-821f-4d23-a0b8-bb7f43205473,Secure Closed Padlock,interface-essential other,interface-essential other primitives-generate,other-generate,SOLO48 SUB32
38ba2a2e-533c-4f13-8799-64c05185a0e7,Two Point Five Meter Height Limit,transportation other,transportation other primitives-generate,other-generate,TEXT_COMPOSITION
39d9b59d-b486-46dc-a1c2-fc9c1e8cedef,Smart Watch with Yuan Sign,combination other,combination other primitives-generate,other-generate,
