original,role,icon,shared,pairs,status,model,counterpart
arrow-bottom-symbol-sub32-v3,side,arrow-bottom-symbol-sub32-v3,True,2,pass,../../model/icons/sub/arrow_bottom_symbol_sub32_v3_0ae4f1cf_6b9f_48d8_bd6d_83d0f2255432.py,arrow-bottom-symbol-sub32-v3-symbol
arrow-bottom-symbol-sub32-v3,symbol,arrow-bottom-symbol-sub32-v3-symbol,True,2,pass,../../model/icons/symbol/arrow_bottom_symbol_sub32_v3_symbol_0ae4f1cf_6b9f_48d8_bd6d_83d0f2255432.py,arrow-bottom-symbol-sub32-v3
arrow-counterclockwise-around-circle-sub32,side,arrow-counterclockwise-around-circle-sub32,False,2,fail,../../model/icons/sub/arrow_counterclockwise_around_circle_sub32_dd05972e_63bf_5995_a2f2_388ee81ff8fb.py,
arrow-cursor-batch-020-15-sub32,side,arrow-cursor-batch-020-15-sub32,False,2,fail,../../model/icons/sub/arrow_cursor_batch_020_15_sub32_1b142e96_a7ca_4d29_b690_c751a7da7802.py,
arrow-cursor-with-thin-tail-sub32,side,arrow-cursor-with-thin-tail-sub32,False,1,pass,../../model/icons/sub/arrow_cursor_with_thin_tail_sub32_7f4d8a65_c3a8_4ed5_b469_5c78e5161427.py,
arrow-dot-corner-down-left-sub32,symbol,arrow-dot-corner-down-left-sub32,False,1,pass,../../model/icons/symbol/arrow_dot_corner_down_left_sub32_27692f9d_0668_4fe8_a00a_2837cdaa955d.py,
arrow-dot-corner-down-right-sub32,symbol,arrow-dot-corner-down-right-sub32,False,1,pass,../../model/icons/symbol/arrow_dot_corner_down_right_sub32_b0ee0bce_9dff_4369_b871_ae3f695a7663.py,
arrow-dot-down-sub32,symbol,arrow-dot-down-sub32,False,1,fail,../../model/icons/symbol/arrow_dot_down_sub32_9588b781_0809_45f9_a576_99a58685fcba.py,
arrow-dot-left-sub32,symbol,arrow-dot-left-sub32,False,1,fail,../../model/icons/symbol/arrow_dot_left_sub32_2ebf9acc_12df_4295_afb7_797830fc7f91.py,
arrow-dot-up-sub32,symbol,arrow-dot-up-sub32,False,1,fail,../../model/icons/symbol/arrow_dot_up_sub32_76c32561_c42c_4de0_b32b_c4e51a1e90ca.py,
arrow-down-arrows-sub32-v2,side,arrow-down-arrows-sub32-v2,True,3,pass,../../model/icons/sub/arrow_down_arrows_sub32_v2_ef18ef0e_e836_4934_9efb_25902b8f8869.py,arrow-down-arrows-sub32-v2-symbol
arrow-down-arrows-sub32-v2,symbol,arrow-down-arrows-sub32-v2-symbol,True,11,pass,../../model/icons/symbol/arrow_down_arrows_sub32_v2_symbol_ef18ef0e_e836_4934_9efb_25902b8f8869.py,arrow-down-arrows-sub32-v2
arrow-down-left-state-48,side,arrow-down-left-state-48,False,2,pass,../../model/icons/sub/arrow_down_left_state_48_05712fab_9325_43d9_b772_0f0ccf3bbfe6.py,
arrow-down-left-state-48-v2,side,arrow-down-left-state-48-v2,False,2,unknown,../../model/icons/sub/arrow_down_left_state_48_v2_05712fab_9325_43d9_b772_0f0ccf3bbfe6.py,
arrow-down-left-symbol-sub32,side,arrow-down-left-symbol-sub32,True,1,pass,../../model/icons/sub/arrow_down_left_symbol_sub32_bc7210f9_98c5_477d_a124_bfde36e44a35.py,arrow-down-left-symbol-sub32-symbol
arrow-down-left-symbol-sub32,symbol,arrow-down-left-symbol-sub32-symbol,True,2,pass,../../model/icons/symbol/arrow_down_left_symbol_sub32_symbol_bc7210f9_98c5_477d_a124_bfde36e44a35.py,arrow-down-left-symbol-sub32
arrow-down-right-state-175,side,arrow-down-right-state-175,False,1,pass,../../model/icons/sub/arrow_down_right_state_175_22b19b8b_2dbf_4961_8544_e875b0c1ab8a.py,
arrow-down-right-state-175-v2,side,arrow-down-right-state-175-v2,False,1,unknown,../../model/icons/sub/arrow_down_right_state_175_v2_22b19b8b_2dbf_4961_8544_e875b0c1ab8a.py,
arrow-left-1-sub32-v2,symbol,arrow-left-1-sub32-v2,False,2,pass,../../model/icons/symbol/arrow_left_1_sub32_v2_1724d56f_6d29_4d0b_aa79_92bca3adccb9.py,
arrow-left-arrows-sub32-v2,side,arrow-left-arrows-sub32-v2,True,2,pass,../../model/icons/sub/arrow_left_arrows_sub32_v2_583713b2_971b_4291_9cf1_6d5603710ebd.py,arrow-left-arrows-sub32-v2-symbol
arrow-left-arrows-sub32-v2,symbol,arrow-left-arrows-sub32-v2-symbol,True,3,pass,../../model/icons/symbol/arrow_left_arrows_sub32_v2_symbol_583713b2_971b_4291_9cf1_6d5603710ebd.py,arrow-left-arrows-sub32-v2
arrow-left-button-sub32,symbol,arrow-left-button-sub32,False,1,fail,../../model/icons/symbol/arrow_left_button_sub32_a74099d0_c11f_40f0_b7ad_8f5a80bb9351.py,
arrow-left-curved-sub32-v2,side,arrow-left-curved-sub32-v2,True,1,pass,../../model/icons/sub/arrow_left_curved_sub32_v2_b0d72332_00b5_43ee_8e4c_438269063057.py,arrow-left-curved-sub32-v2-symbol
arrow-left-curved-sub32-v2,symbol,arrow-left-curved-sub32-v2-symbol,True,1,pass,../../model/icons/symbol/arrow_left_curved_sub32_v2_symbol_b0d72332_00b5_43ee_8e4c_438269063057.py,arrow-left-curved-sub32-v2
arrow-left-right-sub32-v2,symbol,arrow-left-right-sub32-v2,False,3,pass,../../model/icons/symbol/arrow_left_right_sub32_v2_67bf7fb1_ed00_461a_9eb2_9b3fb1ab73b4.py,
arrow-left-sub32-v2,symbol,arrow-left-sub32-v2,False,1,pass,../../model/icons/symbol/arrow_left_sub32_v2_6e524b3f_7b92_47ac_8db1_6f2da73b9fd5.py,
arrow-restart-sub32,symbol,arrow-restart-sub32,False,1,pass,../../model/icons/symbol/arrow_restart_sub32_958c6ea9_a7de_42bf_ba04_e08a99041318.py,
arrow-right-1-sub32-v2,symbol,arrow-right-1-sub32-v2,False,1,pass,../../model/icons/symbol/arrow_right_1_sub32_v2_b3c74e2c_a6c3_473f_b8c2_022efe650f8e.py,
arrow-right-2dabd652-sub32,symbol,arrow-right-2dabd652-sub32,False,1,fail,../../model/icons/symbol/arrow_right_2dabd652_sub32_2dabd652_d8dd_4866_92ea_d5ea5b02c1cf.py,
arrow-right-button-sub32,symbol,arrow-right-button-sub32,False,1,fail,../../model/icons/symbol/arrow_right_button_sub32_a7e3c42e_c209_4a3a_8df2_c3afd64e26d8.py,
arrow-right-curved-sub32-v3,side,arrow-right-curved-sub32-v3,False,1,pass,../../model/icons/sub/arrow_right_curved_sub32_v3_41da0587_488f_4ac3_b56e_fe0df61a4fa4.py,
arrow-right-state-49,side,arrow-right-state-49,True,11,pass,../../model/icons/sub/arrow_right_state_49_90afee1d_c8d3_4450_9484_ad9b41908249.py,arrow-right-state-49-symbol
arrow-right-state-49,symbol,arrow-right-state-49-symbol,True,2,pass,../../model/icons/symbol/arrow_right_state_49_symbol_90afee1d_c8d3_4450_9484_ad9b41908249.py,arrow-right-state-49
arrow-right-state-49-v2,side,arrow-right-state-49-v2,False,8,unknown,../../model/icons/sub/arrow_right_state_49_v2_90afee1d_c8d3_4450_9484_ad9b41908249.py,
arrow-right-to-circle,side,arrow-right-to-circle,False,1,pass,../../model/icons/sub/arrow_right_to_circle_2d1785d8_1a19_4e77_94f1_e0bb61c03fde.py,
arrow-thick-left-bottom-sub32,symbol,arrow-thick-left-bottom-sub32,False,1,pass,../../model/icons/symbol/arrow_thick_left_bottom_sub32_a775dedd_1db8_48f1_b439_a15c9436b0d2.py,
arrow-thick-top-symbol-sub32,side,arrow-thick-top-symbol-sub32,False,4,fail,../../model/icons/sub/arrow_thick_top_symbol_sub32_e3d7b5b6_09dd_4914_98aa_6e9e8e9481e4.py,
arrow-to-bottom-line-batch-022-05-sub32-v2,side,arrow-to-bottom-line-batch-022-05-sub32-v2,False,2,pass,../../model/icons/sub/arrow_to_bottom_line_batch_022_05_sub32_v2_a60b36e0_81ea_4843_98fd_8424f5d2cd61.py,
arrow-top-button-sub32-v2,symbol,arrow-top-button-sub32-v2,False,1,pass,../../model/icons/symbol/arrow_top_button_sub32_v2_aa7a027e_2b60_4f40_9164_c2f300152780.py,
arrow-trend-down,side,arrow-trend-down,False,3,pass,../../model/icons/sub/arrow_trend_down_8f851035_a23c_4987_b4d5_c04e4caed827.py,
arrow-trend-up-left,side,arrow-trend-up-left,False,2,pass,../../model/icons/sub/arrow_trend_up_left_a10ca9c7_11ee_4f85_a018_73f458ce70c0.py,
arrow-trend-up-left-v2,side,arrow-trend-up-left-v2,False,2,unknown,../../model/icons/sub/arrow_trend_up_left_v2_a10ca9c7_11ee_4f85_a018_73f458ce70c0.py,
arrow-trend-up-sub32-v2,side,arrow-trend-up-sub32-v2,True,8,pass,../../model/icons/sub/arrow_trend_up_sub32_v2_3d84de66_b548_49ba_a6cb_614bce76c814.py,arrow-trend-up-sub32-v2-symbol
arrow-trend-up-sub32-v2,symbol,arrow-trend-up-sub32-v2-symbol,True,3,pass,../../model/icons/symbol/arrow_trend_up_sub32_v2_symbol_3d84de66_b548_49ba_a6cb_614bce76c814.py,arrow-trend-up-sub32-v2
arrow-undo,side,arrow-undo,False,6,pass,../../model/icons/sub/arrow_undo_53227aaa_0ab2_4f90_8901_7c384959220c.py,
arrow-up-down-sub32-v2,side,arrow-up-down-sub32-v2,True,4,pass,../../model/icons/sub/arrow_up_down_sub32_v2_21dd4ec9_3d12_4039_88ab_b49577388c2d.py,arrow-up-down-sub32-v2-symbol
arrow-up-down-sub32-v2,symbol,arrow-up-down-sub32-v2-symbol,True,5,pass,../../model/icons/symbol/arrow_up_down_sub32_v2_symbol_21dd4ec9_3d12_4039_88ab_b49577388c2d.py,arrow-up-down-sub32-v2
arrow-up-from-ring-sub32,symbol,arrow-up-from-ring-sub32,False,1,fail,../../model/icons/symbol/arrow_up_from_ring_sub32_881c5fe6_40eb_4d1d_a3ac_917193736675.py,
arrow-up-right-state-22,side,arrow-up-right-state-22,True,5,pass,../../model/icons/sub/arrow_up_right_state_22_6b49904d_2165_4f3c_a82b_b3b494765c4f.py,arrow-up-right-state-22-symbol
arrow-up-right-state-22,symbol,arrow-up-right-state-22-symbol,True,1,pass,../../model/icons/symbol/arrow_up_right_state_22_symbol_6b49904d_2165_4f3c_a82b_b3b494765c4f.py,arrow-up-right-state-22
arrow-up-right-state-50,side,arrow-up-right-state-50,False,3,pass,../../model/icons/sub/arrow_up_right_state_50_f35c40a1_2a9b_41b1_ba7e_ae279617c979.py,
arrow-up-right-state-50-v2,side,arrow-up-right-state-50-v2,False,3,unknown,../../model/icons/sub/arrow_up_right_state_50_v2_f35c40a1_2a9b_41b1_ba7e_ae279617c979.py,
arrow-up-state-270,side,arrow-up-state-270,True,5,pass,../../model/icons/sub/arrow_up_state_270_e4631868_0084_4122_843e_7c08bc60fa13.py,arrow-up-state-270-symbol
arrow-up-state-270,symbol,arrow-up-state-270-symbol,True,9,pass,../../model/icons/symbol/arrow_up_state_270_symbol_e4631868_0084_4122_843e_7c08bc60fa13.py,arrow-up-state-270
arrow-up-state-270-v2,side,arrow-up-state-270-v2,False,1,unknown,../../model/icons/sub/arrow_up_state_270_v2_e4631868_0084_4122_843e_7c08bc60fa13.py,
arrow-up-with-dashed-tail-sub32,symbol,arrow-up-with-dashed-tail-sub32,False,1,fail,../../model/icons/symbol/arrow_up_with_dashed_tail_sub32_042844f7_9e69_44c7_91bb_6be3830d4b9b.py,
arrow-wayfinding-sub32-v2,side,arrow-wayfinding-sub32-v2,False,1,pass,../../model/icons/sub/arrow_wayfinding_sub32_v2_5762ca4d_99c2_4016_910c_36aa0e18889f.py,
arrows-circular-chevron-sub32,symbol,arrows-circular-chevron-sub32,False,1,pass,../../model/icons/symbol/arrows_circular_chevron_sub32_05c80477_9896_4d21_a898_62918b362b22.py,
arrows-diagonal-resize-sub32,symbol,arrows-diagonal-resize-sub32,False,1,fail,../../model/icons/symbol/arrows_diagonal_resize_sub32_eab2ea44_17e8_4abd_a74b_7e5c171a7bae.py,
arrows-inward-four-sub32,symbol,arrows-inward-four-sub32,False,1,pass,../../model/icons/symbol/arrows_inward_four_sub32_b70ed0a4_9193_4eb1_aa64_53f88bcf4fe3.py,
arrows-left-right-sub32-v2,symbol,arrows-left-right-sub32-v2,False,2,pass,../../model/icons/symbol/arrows_left_right_sub32_v2_4fae0335_97b9_4e1b_8d78_a1150a192b9f.py,
arrows-pointing-to-center-sub32,symbol,arrows-pointing-to-center-sub32,False,1,pass,../../model/icons/symbol/arrows_pointing_to_center_sub32_fcb9a9f7_cbcc_4a2d_a0b4_8129e68d2831.py,
artboard-shapes-sub32,symbol,artboard-shapes-sub32,False,2,pass,../../model/icons/symbol/artboard_shapes_sub32_77d39715_5549_4a0b_a81d_1dea6afab7bc.py,
ascending-bar-chart,side,ascending-bar-chart,False,1,pass,../../model/icons/sub/ascending_bar_chart_e4d7986d_cfb8_4c53_bf8a_4f0068eb73e4.py,
at-sign,side,at-sign,True,10,pass,../../model/icons/sub/at_sign_adcef252_cf2f_4382_847d_fa142d13d1f0.py,at-sign-symbol
at-sign,symbol,at-sign-symbol,True,2,pass,../../model/icons/symbol/at_sign_symbol_adcef252_cf2f_4382_847d_fa142d13d1f0.py,at-sign
atom-sub32,side,atom-sub32,True,3,pass,../../model/icons/sub/atom_sub32_050a6fe7_76bf_492a_82d8_877ce640f913.py,atom-sub32-symbol
atom-sub32,symbol,atom-sub32-symbol,True,1,pass,../../model/icons/symbol/atom_sub32_symbol_050a6fe7_76bf_492a_82d8_877ce640f913.py,atom-sub32
audio-waveform,side,audio-waveform,False,2,pass,../../model/icons/sub/audio_waveform_f991ef0f_2aa9_4924_9670_c07e3215f3a9.py,
baby-head-sub32-v2,side,baby-head-sub32-v2,True,4,review,../../model/icons/sub/baby_head_sub32_v2_454b702c_a035_5fa0_a3ec_ac065587fca8.py,baby-head-sub32-v2-symbol
baby-head-sub32-v2,symbol,baby-head-sub32-v2-symbol,True,1,review,../../model/icons/symbol/baby_head_sub32_v2_symbol_454b702c_a035_5fa0_a3ec_ac065587fca8.py,baby-head-sub32-v2
backspace-key-content-sub32,symbol,backspace-key-content-sub32,False,1,pass,../../model/icons/symbol/backspace_key_content_sub32_f52af45c_34ba_4c0c_a151_62677a3ff4ab.py,
badminton-shuttlecock-sub32,side,badminton-shuttlecock-sub32,True,3,pass,../../model/icons/sub/badminton_shuttlecock_sub32_830efce8_4d56_4dec_b303_e983ea0fe715.py,badminton-shuttlecock-sub32-symbol
badminton-shuttlecock-sub32,symbol,badminton-shuttlecock-sub32-symbol,True,3,pass,../../model/icons/symbol/badminton_shuttlecock_sub32_symbol_830efce8_4d56_4dec_b303_e983ea0fe715.py,badminton-shuttlecock-sub32
bag-bf5296da-sub32-v2,side,bag-bf5296da-sub32-v2,True,3,pass,../../model/icons/sub/bag_bf5296da_sub32_v2_bf5296da_9358_4863_98b8_b6dd1fe60594.py,bag-bf5296da-sub32-v2-symbol
bag-bf5296da-sub32-v2,symbol,bag-bf5296da-sub32-v2-symbol,True,4,pass,../../model/icons/symbol/bag_bf5296da_sub32_v2_symbol_bf5296da_9358_4863_98b8_b6dd1fe60594.py,bag-bf5296da-sub32-v2
bag-d97bc915-sub32,side,bag-d97bc915-sub32,False,1,fail,../../model/icons/sub/bag_d97bc915_sub32_d97bc915_f562_41fc_b461_efec3c624c1c.py,
bag-photography-sub32,side,bag-photography-sub32,False,1,fail,../../model/icons/sub/bag_photography_sub32_1342f536_c927_4566_8887_d52e83745630.py,
bag-sub32,symbol,bag-sub32,False,4,pass,../../model/icons/symbol/bag_sub32_0f5b2ebf_9ca8_4f74_bcf3_e9448134158b.py,
baggage-sub32,side,baggage-sub32,False,5,pass,../../model/icons/sub/baggage_sub32_b77cece9_c086_4a13_b1b9_cef4e798e9a6.py,
balaclava-mask-batch-025-12-sub32,side,balaclava-mask-batch-025-12-sub32,False,1,fail,../../model/icons/sub/balaclava_mask_batch_025_12_sub32_484cb3fb_0065_4ca7_ac5f_156d807d114c.py,
balanced-scale-with-hanging-pans-sub32,symbol,balanced-scale-with-hanging-pans-sub32,False,1,fail,../../model/icons/symbol/balanced_scale_with_hanging_pans_sub32_098c5b62_8287_467b_95c6_c1b202763219.py,
ball-sub32,side,ball-sub32,True,3,pass,../../model/icons/sub/ball_sub32_4be75ff3_2cc9_4492_a406_ef7c11b29925.py,ball-sub32-symbol
ball-sub32,symbol,ball-sub32-symbol,True,2,pass,../../model/icons/symbol/ball_sub32_symbol_4be75ff3_2cc9_4492_a406_ef7c11b29925.py,ball-sub32
ball-with-lines-sub32,symbol,ball-with-lines-sub32,False,1,pass,../../model/icons/symbol/ball_with_lines_sub32_02c70f52_9dee_4f13_8c03_a5f8a38f8a84.py,
ballot-box-vote-sub32,symbol,ballot-box-vote-sub32,False,1,pass,../../model/icons/symbol/ballot_box_vote_sub32_5ca61ae4_1cec_4ea5_8502_86356d125601.py,
bank-columns-sub32,side,bank-columns-sub32,True,3,pass,../../model/icons/sub/bank_columns_sub32_71fea618_8aac_45ba_aab5_f6dc58ab93f0.py,bank-columns-sub32-symbol
bank-columns-sub32,symbol,bank-columns-sub32-symbol,True,2,pass,../../model/icons/symbol/bank_columns_sub32_symbol_71fea618_8aac_45ba_aab5_f6dc58ab93f0.py,bank-columns-sub32
banknote-simple-sub32-v2,side,banknote-simple-sub32-v2,True,2,pass,../../model/icons/sub/banknote_simple_sub32_v2_0fbf0403_23f4_42d8_a096_400dbd664512.py,banknote-simple-sub32-v2-symbol
banknote-simple-sub32-v2,symbol,banknote-simple-sub32-v2-symbol,True,1,pass,../../model/icons/symbol/banknote_simple_sub32_v2_symbol_0fbf0403_23f4_42d8_a096_400dbd664512.py,banknote-simple-sub32-v2
bar-chart-lines-sub32,side,bar-chart-lines-sub32,True,1,pass,../../model/icons/sub/bar_chart_lines_sub32_3bb45fbb_182b_4dcd_92bf_ebd5c20fa96c.py,bar-chart-lines-sub32-symbol
bar-chart-lines-sub32,symbol,bar-chart-lines-sub32-symbol,True,5,pass,../../model/icons/symbol/bar_chart_lines_sub32_symbol_3bb45fbb_182b_4dcd_92bf_ebd5c20fa96c.py,bar-chart-lines-sub32
bar-graph-rising-sub32,symbol,bar-graph-rising-sub32,False,5,fail,../../model/icons/symbol/bar_graph_rising_sub32_9eac7172_d6a3_4992_aaad_dd1cdbd21c70.py,
barcode-7283882e-sub32-v2,symbol,barcode-7283882e-sub32-v2,False,9,pass,../../model/icons/symbol/barcode_7283882e_sub32_v2_7283882e_90f2_40c7_9b79_4b6a6ff8d3b2.py,
barcode-shopping-sub32,side,barcode-shopping-sub32,False,1,fail,../../model/icons/sub/barcode_shopping_sub32_489f79de_538e_42b6_b17b_4132665a5a1b.py,
barrier-sub32,symbol,barrier-sub32,False,1,fail,../../model/icons/symbol/barrier_sub32_80d907cf_11f8_4104_a791_525bc0837b34.py,
bars-chart-sub32-v2,symbol,bars-chart-sub32-v2,False,1,pass,../../model/icons/symbol/bars_chart_sub32_v2_c4684d55_3c14_4506_a1f7_229b8c33ab85.py,
basket-shopping-sub32,side,basket-shopping-sub32,True,1,pass,../../model/icons/sub/basket_shopping_sub32_37404b45_6940_44fc_b7c8_3c963f7c35dd.py,basket-shopping-sub32-symbol
basket-shopping-sub32,symbol,basket-shopping-sub32-symbol,True,7,pass,../../model/icons/symbol/basket_shopping_sub32_symbol_37404b45_6940_44fc_b7c8_3c963f7c35dd.py,basket-shopping-sub32
basket-sub32-v2,side,basket-sub32-v2,True,1,pass,../../model/icons/sub/basket_sub32_v2_aa83e1c0_9fa1_4d19_a918_3bd5f9af838a.py,basket-sub32-v2-symbol
basket-sub32-v2,symbol,basket-sub32-v2-symbol,True,17,pass,../../model/icons/symbol/basket_sub32_v2_symbol_aa83e1c0_9fa1_4d19_a918_3bd5f9af838a.py,basket-sub32-v2
batch-01-laptop-sub32,side,batch-01-laptop-sub32,False,11,fail,../../model/icons/sub/batch_01_laptop_sub32_0eca8bb8_75fe_4501_aa58_53ce337798cc.py,
batch-01-monitor-sub32,symbol,batch-01-monitor-sub32,False,1,fail,../../model/icons/symbol/batch_01_monitor_sub32_181755f1_a8ab_4d25_8475_ebcf6885f0c8.py,
battery-1-sub32,side,battery-1-sub32,False,1,fail,../../model/icons/sub/battery_1_sub32_d59453b3_a555_48ec_9434_865bcda7a62f.py,
battery-charging-vertical-sub32,side,battery-charging-vertical-sub32,False,1,fail,../../model/icons/sub/battery_charging_vertical_sub32_4eb92da5_29c0_4d92_ae40_851bdeae1749.py,
battery-sub-state-26,side,battery-sub-state-26,False,1,pass,../../model/icons/sub/battery_sub_state_26_d59453b3_a555_48ec_9434_865bcda7a62f.py,
battery-sub32,side,battery-sub32,False,5,fail,../../model/icons/sub/battery_sub32_9ad9cd5c_98cd_452e_ad18_784b9bd66c4d.py,
