id,old_concept,concept,categories,folder,file
"069bf6b4-e362-4e8f-8bb3-41d6a1fb33cf","tv flat screen disable","Disabled Television Monitor","hotels container-combination","container-combination","tv flat screen disable_069bf6b4-e362-4e8f-8bb3-41d6a1fb33cf.svg"
"069bf6b4-e362-4e8f-8be7-c7d7312f7f7a","shopping broadcast advertising television","Television Advertising Screen","business container-combination","container-combination","shopping broadcast advertising television_069bf6b4-e362-4e8f-8be7-c7d7312f7f7a.svg"
"069bf6b4-e362-4e8f-901f-ee15d4d77042","modern tv 8 k","8K Ultra High Definition Screen","tv container-combination","container-combination","modern tv 8 k_069bf6b4-e362-4e8f-901f-ee15d4d77042.svg"
"069bf6b4-e362-4e8f-96c0-ea7609b88a8e","smart tv unlock","Unlocked Smart TV Screen","tv container-combination","container-combination","smart tv unlock_069bf6b4-e362-4e8f-96c0-ea7609b88a8e.svg"
"069bf6b4-e362-4e8f-9b53-69083f3313cb","smart tv lock","Padlock on Television Screen","tv container-combination","container-combination","smart tv lock_069bf6b4-e362-4e8f-9b53-69083f3313cb.svg"
"069bf6b4-e362-4e8f-a019-e3c81b35c5a7","single man news","Television News Presenter Screen","users container-combination","container-combination","single man news_069bf6b4-e362-4e8f-a019-e3c81b35c5a7.svg"
"069bf6b4-e362-4e8f-a54b-ab36b6f8efb7","smart tv lock","Locked Television Screen","tv container-combination","container-combination","smart tv lock_069bf6b4-e362-4e8f-a54b-ab36b6f8efb7.svg"
"069bf6b4-e362-4e8f-a664-4ae3e56c8366","smart tv payment","Television with Dollar Sign","tv container-combination","container-combination","smart tv payment_069bf6b4-e362-4e8f-a664-4ae3e56c8366.svg"
"069bf6b4-e362-4e8f-aacf-23318a701c51","smart tv game","Television with Game Controller","tv container-combination","container-combination","smart tv game_069bf6b4-e362-4e8f-aacf-23318a701c51.svg"
"069bf6b4-e362-4e8f-ab97-9058803311d6","smart tv lock","Locked Television Display","tv container-combination","container-combination","smart tv lock_069bf6b4-e362-4e8f-ab97-9058803311d6.svg"
"069bf6b4-e362-4e8f-ac32-6ad48db5fac4","modern tv 3 d","Three Dimensional Television Display","tv container-combination","container-combination","modern tv 3 d_069bf6b4-e362-4e8f-ac32-6ad48db5fac4.svg"
"069bf6b4-e362-4e8f-b3ed-a7c76cdfd5tr","smart tv voice control 2","Smart TV with Speech Bubble","tv side-combination top-right","side-combination","smart tv voice control 2_069bf6b4-e362-4e8f-b3ed-a7c76cdfd5tr.svg"
"069bf6b4-e362-4e8f-b588-aacc1c25c397","smart tv unlock","Unlocked Smart TV Screen","tv container-combination","container-combination","smart tv unlock_069bf6b4-e362-4e8f-b588-aacc1c25c397.svg"
"069bf6b4-e362-4e8f-b91c-f4d4d43e6872","smart tv voice control 3","Smart TV Voice Recognition","tv container-combination","container-combination","smart tv voice control 3_069bf6b4-e362-4e8f-b91c-f4d4d43e6872.svg"
"069bf6b4-e362-4e8f-b9a3-c76fa02c860a","modern tv hd","High Definition Television Screen","tv container-combination","container-combination","modern tv hd_069bf6b4-e362-4e8f-b9a3-c76fa02c860a.svg"
"069bf6b4-e362-4e8f-be21-8572894c8a90","smart tv voice control 1","Voice Activated Smart TV","tv container-combination","container-combination","smart tv voice control 1_069bf6b4-e362-4e8f-be21-8572894c8a90.svg"
"073ed87e-3bfe-406c-a0cc-64e16e8ecf0b","refresh token authentication pentagon loading","Pentagon Refresh Arrow","programing container-combination","container-combination","refresh token authentication pentagon loading_073ed87e-3bfe-406c-a0cc-64e16e8ecf0b.svg"
"07459f9b-1db4-4f1f-91d5-9bd53083e0br","drugs dealer syringe","Money Briefcase and Syringe","crime side-combination bottom-right","side-combination","drugs dealer syringe_07459f9b-1db4-4f1f-91d5-9bd53083e0br.svg"
"07459f9b-1db4-4f1f-96ed-39a556fbf8br","drugs dealer syringe","Money Briefcase and Syringe","crime side-combination bottom-right","side-combination","drugs dealer syringe_07459f9b-1db4-4f1f-96ed-39a556fbf8br.svg"
"07459f9b-1db4-4f1f-a4ad-c70db66b24br","drugs dealer money bag","Pharmaceutical Money Briefcase","money side-combination bottom-right","side-combination","drugs dealer money bag_07459f9b-1db4-4f1f-a4ad-c70db66b24br.svg"
"078c527e-7fad-4791-8ed4-ef18efdf1bbr","school test art 1","Art School Graduation Icon","school-learning side-combination bottom-right","side-combination","school test art 1_078c527e-7fad-4791-8ed4-ef18efdf1bbr.svg"
"079086c7-cfbe-4c2b-8a1f-c6e7b61b22br","eavesdrop record","Smartphone Malware Record","crime side-combination bottom-right","side-combination","eavesdrop record_079086c7-cfbe-4c2b-8a1f-c6e7b61b22br.svg"
"07b8f9ac-0a75-41a3-8410-7cd5b4fdafbr","technology privacy consent profile smartphone lock","Secure Smartphone User Profile","technology side-combination bottom-right","side-combination","technology privacy consent profile smartphone lock_07b8f9ac-0a75-41a3-8410-7cd5b4fdafbr.svg"
"07b8f9ac-0a75-41a3-858e-9eff669a98tr","meeting smartphone","Smartphone Video Call","work side-combination top-right","side-combination","meeting smartphone_07b8f9ac-0a75-41a3-858e-9eff669a98tr.svg"
"07b8f9ac-0a75-41a3-8a1f-c6e7b61b22br","technology privacy photo access selfie record","Mobile Selfie Recording","technology side-combination bottom-right","side-combination","technology privacy photo access selfie record_07b8f9ac-0a75-41a3-8a1f-c6e7b61b22br.svg"
"07b8f9ac-0a75-41a3-8a28-7672b73847tr","identity stolen phone","Smartphone Phishing Hook","crime side-combination top-right","side-combination","identity stolen phone_07b8f9ac-0a75-41a3-8a28-7672b73847tr.svg"
"07b8f9ac-0a75-41a3-8cd9-57af301bbabr","technology privacy location access smartphone user","Verified Smartphone User Location","technology side-combination bottom-right","side-combination","technology privacy location access smartphone user_07b8f9ac-0a75-41a3-8cd9-57af301bbabr.svg"
"07b8f9ac-0a75-41a3-8ce6-03926fbb07tr","alert user","Mobile User Notification Alert","interface-essential side-combination top-right","side-combination","alert user_07b8f9ac-0a75-41a3-8ce6-03926fbb07tr.svg"
"07b8f9ac-0a75-41a3-9d32-5051aadda8tr","mood happy smartphone","Happy User Smartphone Feedback","rating side-combination top-right","side-combination","mood happy smartphone_07b8f9ac-0a75-41a3-9d32-5051aadda8tr.svg"
"07b8f9ac-0a75-41a3-a32c-afa455c4c9tr","love it phone","Smartphone Heart Profile Notification","social side-combination top-right","side-combination","love it phone_07b8f9ac-0a75-41a3-a32c-afa455c4c9tr.svg"
"07b8f9ac-0a75-41a3-a337-c2575e324btr","dating smartphone man","Smartphone Dating Profile","romance side-combination top-right","side-combination","dating smartphone man_07b8f9ac-0a75-41a3-a337-c2575e324btr.svg"
"07b8f9ac-0a75-41a3-a7c1-7d22f0de49tr","online healthcare advice phone","Smartphone Mobile Healthcare Consultation","technology side-combination top-right","side-combination","online healthcare advice phone_07b8f9ac-0a75-41a3-a7c1-7d22f0de49tr.svg"
"07b8f9ac-0a75-41a3-b419-77a7865d4ctr","messages bubble window hi","Mobile Phone Greeting Chat","chat side-combination top-right","side-combination","messages bubble window hi_07b8f9ac-0a75-41a3-b419-77a7865d4ctr.svg"
"07b8f9ac-0a75-41a3-bd26-fef6f9c101tr","browser user help message","Mobile phone user help question","interface-essential side-combination top-right","side-combination","browser user help message_07b8f9ac-0a75-41a3-bd26-fef6f9c101tr.svg"
"07cafd66-efd4-43ca-8833-a4322d4cbdbr","monetization touch browser","Hand Clicking Dollar Sign in Browser","business side-combination bottom-right","side-combination","monetization touch browser_07cafd66-efd4-43ca-8833-a4322d4cbdbr.svg"
"07cafd66-efd4-43ca-8f6a-20cc999de0bl","cashless payment online transfer browser","Digital Payment Browser and Smartphone","payments side-combination bottom-left","side-combination","cashless payment online transfer browser_07cafd66-efd4-43ca-8f6a-20cc999de0bl.svg"
"07cafd66-efd4-43ca-931a-9f1999e263br","credit card online payment","Online Credit Card Payment","payments side-combination bottom-right","side-combination","credit card online payment_07cafd66-efd4-43ca-931a-9f1999e263br.svg"
"07cafd66-efd4-43ca-98b8-b6dd1fe605br","e commerce shopping bag browser","Online Store Browser with Shopping Bag","ecommerce side-combination bottom-right","side-combination","e commerce shopping bag browser_07cafd66-efd4-43ca-98b8-b6dd1fe605br.svg"
"07cafd66-efd4-43ca-a736-e2ba5438dabl","cashless payment online transfer browser","Online Payment Browser and Phone","payments side-combination bottom-left","side-combination","cashless payment online transfer browser_07cafd66-efd4-43ca-a736-e2ba5438dabl.svg"
"07cafd66-efd4-43ca-ae42-c4ce12aafebl","cashless payment online transfer browser","Online and Mobile Payment Browser","payments side-combination bottom-left","side-combination","cashless payment online transfer browser_07cafd66-efd4-43ca-ae42-c4ce12aafebl.svg"
"07cafd66-efd4-43ca-b376-ad91c78c22bl","cashless payment online transfer browser","Web and Mobile Online Payment","payments side-combination bottom-left","side-combination","cashless payment online transfer browser_07cafd66-efd4-43ca-b376-ad91c78c22bl.svg"
"07e1bb79-331c-4f70-85ec-2fd6000447br","single man actions refresh","User Profile Refresh Symbol","users side-combination bottom-right","side-combination","single man actions refresh_07e1bb79-331c-4f70-85ec-2fd6000447br.svg"
"081daeb7-8f45-575c-a50b-2dd50dab7cbr","fashion design 1","Dress and Pencil Fashion Design","clothes side-combination bottom-right","side-combination","fashion design 1_081daeb7-8f45-575c-a50b-2dd50dab7cbr.svg"
"083ccd17-7022-432e-9ac8-8b13a1982cbr","shopping advertising audience target 1","Dual Target Focus Symbols","business side-combination bottom-right","side-combination","shopping advertising audience target 1_083ccd17-7022-432e-9ac8-8b13a1982cbr.svg"
"08463876-5f43-4cd9-9b35-3ae4867115bl","vr play device","Virtual Reality Video Player","technology side-combination bottom-left","side-combination","vr play device_08463876-5f43-4cd9-9b35-3ae4867115bl.svg"
"0872fa36-cb40-4048-a76f-cd368e6bb7br","greek script 1","Document with Quill Pen","culture side-combination bottom-right","side-combination","greek script 1_0872fa36-cb40-4048-a76f-cd368e6bb7br.svg"
"08a24aa4-c28b-421f-8833-a4322d4cbdbr","smart house phone","Mobile Smart Home Control","technology side-combination bottom-right","side-combination","smart house phone_08a24aa4-c28b-421f-8833-a4322d4cbdbr.svg"
"08bd3d5c-e5b7-4c78-bb46-ac683be40cbr","ab testing award","Website Winner Podium","rewards side-combination bottom-right","side-combination","ab testing award_08bd3d5c-e5b7-4c78-bb46-ac683be40cbr.svg"
"08dd2629-5ed4-558d-87eb-16a4c14d3abr","fantasy medieval roleplay game defensive property wind","Wind Defense Shield","video-games side-combination bottom-right","side-combination","fantasy medieval roleplay game defensive property wind_08dd2629-5ed4-558d-87eb-16a4c14d3abr.svg"
"08e6be2e-5fe4-4740-9959-dd04e8c520br","filter text","Text Document Filter","interface-essential side-combination bottom-right","side-combination","filter text_08e6be2e-5fe4-4740-9959-dd04e8c520br.svg"
"08e6be2e-5fe4-4740-b5c6-d02dbeb800br","descending sort filter 1","Filter and Descending Arrow","interface-essential side-combination bottom-right","side-combination","descending sort filter 1_08e6be2e-5fe4-4740-b5c6-d02dbeb800br.svg"
"08e6be2e-5fe4-4740-b851-acf302ef01br","ascending sort filter 1","Filter and Ascending Arrow","interface-essential side-combination bottom-right","side-combination","ascending sort filter 1_08e6be2e-5fe4-4740-b851-acf302ef01br.svg"
"09313b1b-e57f-4498-8ab3-a57ec19e71tr","e learning ai teacher 4","AI Robot with Chat Bubble","school-learning side-combination top-right","side-combination","e learning ai teacher 4_09313b1b-e57f-4498-8ab3-a57ec19e71tr.svg"
"0941fae4-611d-41dd-86cd-d13aceeaf9to","amazon web service marketplace cart","Shopping Cart with Cube","websites side-combination top","side-combination","amazon web service marketplace cart_0941fae4-611d-41dd-86cd-d13aceeaf9to.svg"
"095fe804-eb94-45af-a1ab-06e3fe5239tr","eco house sun","Eco House with Leaf and Sun","ecology side-combination top-right","side-combination","eco house sun_095fe804-eb94-45af-a1ab-06e3fe5239tr.svg"
"098c5b62-8287-467b-b9c9-eae240f9d5bo","cannabis legalization 3","Cannabis Justice Scale","cannabis side-combination bottom","side-combination","cannabis legalization 3_098c5b62-8287-467b-b9c9-eae240f9d5bo.svg"
"09afbc31-5487-4884-8bb3-41d6a1fb33br","shopping cart disable","Disabled Shopping Cart","shopping side-combination bottom-right","side-combination","shopping cart disable_09afbc31-5487-4884-8bb3-41d6a1fb33br.svg"
"0a0feef2-02cf-4796-90c1-b19234a4a0bl","cyberterrorism virus","Global Web Virus","crime side-combination bottom-left","side-combination","cyberterrorism virus_0a0feef2-02cf-4796-90c1-b19234a4a0bl.svg"
"0a57fb4c-75fa-5a57-98bb-b90c403098br","breached password authentication lock warning","Security Warning Padlock","apps side-combination bottom-right","side-combination","breached password authentication lock warning_0a57fb4c-75fa-5a57-98bb-b90c403098br.svg"
"0a67da07-eaae-4ea7-ab17-500d6f3b54bl","smart house temperature","Smart Home Temperature Remote Control","technology side-combination bottom-left","side-combination","smart house temperature_0a67da07-eaae-4ea7-ab17-500d6f3b54bl.svg"
"0a6ea07b-96af-593d-861b-a51459770ebr","online certificate art","Art Palette and Award Ribbon","school-learning side-combination bottom-right","side-combination","online certificate art_0a6ea07b-96af-593d-861b-a51459770ebr.svg"
"0a850f90-2953-422f-a347-ed197ce977br","plane boarding pass smartphone check","Verified Mobile Boarding Pass","travel side-combination bottom-right","side-combination","plane boarding pass smartphone check_0a850f90-2953-422f-a347-ed197ce977br.svg"
"0ab8a2ab-823f-461d-b355-6ff5f08795tr","crypto gpu mining","Bitcoin GPU Mining","finance side-combination top-right","side-combination","crypto gpu mining_0ab8a2ab-823f-461d-b355-6ff5f08795tr.svg"
"0acd90ac-afcc-5d28-8202-7d7e9f91f1br","filter eyes look","Filter Visibility Eye","interface-essential side-combination bottom-right","side-combination","filter eyes look_0acd90ac-afcc-5d28-8202-7d7e9f91f1br.svg"
"0b063dc0-3f96-438d-bc8a-40fa2559c98c","cash molecule","Hexagonal Dollar Sign Molecule","business container-combination","container-combination","cash molecule_0b063dc0-3f96-438d-bc8a-40fa2559c98c.svg"
"0b1a364e-6481-4ccd-836a-62b022c551br","piracy content music file","Pirated Music File","crime side-combination bottom-right","side-combination","piracy content music file_0b1a364e-6481-4ccd-836a-62b022c551br.svg"
"0b1a364e-6481-4ccd-879a-5477d3e84ebr","playlist question","Music Playlist Question Mark","music side-combination bottom-right","side-combination","playlist question_0b1a364e-6481-4ccd-879a-5477d3e84ebr.svg"
"0b1a364e-6481-4ccd-8a9c-a2c5b97155br","playlist shuffle","Music Playlist Shuffle","music side-combination bottom-right","side-combination","playlist shuffle_0b1a364e-6481-4ccd-8a9c-a2c5b97155br.svg"
"0b1a364e-6481-4ccd-8bb3-41d6a1fb33br","playlist disable","Disabled Music Playlist","music side-combination bottom-right","side-combination","playlist disable_0b1a364e-6481-4ccd-8bb3-41d6a1fb33br.svg"
"0b1a364e-6481-4ccd-8db2-c377d1b6efbr","playlist search","Music Search Magnifying Glass","music side-combination bottom-right","side-combination","playlist search_0b1a364e-6481-4ccd-8db2-c377d1b6efbr.svg"
"0b1a364e-6481-4ccd-8dfb-01e3bb127cbr","playlist subtract","Remove Music Playlist","music side-combination bottom-right","side-combination","playlist subtract_0b1a364e-6481-4ccd-8dfb-01e3bb127cbr.svg"
"0b1a364e-6481-4ccd-9217-7031427f5fbr","playlist settings","Music note and gear","music side-combination bottom-right","side-combination","playlist settings_0b1a364e-6481-4ccd-9217-7031427f5fbr.svg"
"0b1a364e-6481-4ccd-931b-0d558dad49br","playlist add","Add Song to Playlist","music side-combination bottom-right","side-combination","playlist add_0b1a364e-6481-4ccd-931b-0d558dad49br.svg"
"0b1a364e-6481-4ccd-98bb-b90c403098br","playlist warning","Music Note Warning Sign","music side-combination bottom-right","side-combination","playlist warning_0b1a364e-6481-4ccd-98bb-b90c403098br.svg"
"0b1a364e-6481-4ccd-98f2-4b8115e447br","playlist information","Music Track Information","music side-combination bottom-right","side-combination","playlist information_0b1a364e-6481-4ccd-98f2-4b8115e447br.svg"
"0b1a364e-6481-4ccd-9c62-9622160ecabr","playlist star favorite","Favorite Music Playlist","music side-combination bottom-right","side-combination","playlist star favorite_0b1a364e-6481-4ccd-9c62-9622160ecabr.svg"
"0b1a364e-6481-4ccd-9f87-f3b69a27f2br","playlist clock","Music Playlist Timer","music side-combination bottom-right","side-combination","playlist clock_0b1a364e-6481-4ccd-9f87-f3b69a27f2br.svg"
"0b1a364e-6481-4ccd-a0b8-bb7f432054br","playlist lock","Locked Music Playlist","music side-combination bottom-right","side-combination","playlist lock_0b1a364e-6481-4ccd-a0b8-bb7f432054br.svg"
"0b1a364e-6481-4ccd-a337-c2575e324bbr","playlist heart","Favorite Music Playlist","music side-combination bottom-right","side-combination","playlist heart_0b1a364e-6481-4ccd-a337-c2575e324bbr.svg"
"0b1a364e-6481-4ccd-a3cb-caa71cc3b5br","playlist check","Verified Music Playlist","music side-combination bottom-right","side-combination","playlist check_0b1a364e-6481-4ccd-a3cb-caa71cc3b5br.svg"
"0b1a364e-6481-4ccd-a50b-2dd50dab7cbr","playlist edit","Edit Music Playlist","music side-combination bottom-right","side-combination","playlist edit_0b1a364e-6481-4ccd-a50b-2dd50dab7cbr.svg"
"0b1a364e-6481-4ccd-a664-4ae3e56c83br","playlist buy","Music Playlist Purchase","music side-combination bottom-right","side-combination","playlist buy_0b1a364e-6481-4ccd-a664-4ae3e56c83br.svg"
"0b1a364e-6481-4ccd-aa87-6963634386br","playlist download","Music Note Playlist Download","music side-combination bottom-right","side-combination","playlist download_0b1a364e-6481-4ccd-aa87-6963634386br.svg"
"0b1a364e-6481-4ccd-ad50-bf72f2730ebr","playlist repeat","Music Repeat Playlist","music side-combination bottom-right","side-combination","playlist repeat_0b1a364e-6481-4ccd-ad50-bf72f2730ebr.svg"
