kind,id,old_concept,categories,position,main_prefix,main_ids,main_concepts,sub_tail,sub_ids,sub_concepts
side,07459f9b-1db4-4f1f-91d5-9bd53083e0br,drugs dealer syringe,crime side-combination bottom-right,br,07459f9b-1db4-4f1f-,07459f9b-1db4-4f1f-aeee-4e5113b2f2f4,briefcase dollar,91d5-9bd53083e0,61c17587-0f1d-4e91-91d5-9bd53083e084,syringe
side,07459f9b-1db4-4f1f-96ed-39a556fbf8br,drugs dealer syringe,crime side-combination bottom-right,br,07459f9b-1db4-4f1f-,07459f9b-1db4-4f1f-aeee-4e5113b2f2f4,briefcase dollar,96ed-39a556fbf8,e8bd0685-39d5-42cb-96ed-39a556fbf8e3,syringe
side,07459f9b-1db4-4f1f-a4ad-c70db66b24br,drugs dealer money bag,money side-combination bottom-right,br,07459f9b-1db4-4f1f-,07459f9b-1db4-4f1f-aeee-4e5113b2f2f4,briefcase dollar,a4ad-c70db66b24,6cb102ae-38d0-4d2c-a4ad-c70db66b2436,pill
side,078c527e-7fad-4791-8ed4-ef18efdf1bbr,school test art 1,school-learning side-combination bottom-right,br,078c527e-7fad-4791-,078c527e-7fad-4791-9242-4409c4f071d0,Academic Graduation Cap,8ed4-ef18efdf1b,dc5549d8-9b05-4532-8ed4-ef18efdf1b0f,brush
side,079086c7-cfbe-4c2b-8a1f-c6e7b61b22br,eavesdrop record,crime side-combination bottom-right,br,079086c7-cfbe-4c2b-,079086c7-cfbe-4c2b-a1d3-438ec4146466,mobile phone skull,8a1f-c6e7b61b22,744c7e1b-34d9-430c-8a1f-c6e7b61b226c,record
side,07b8f9ac-0a75-41a3-8410-7cd5b4fdafbr,technology privacy consent profile smartphone lock,technology side-combination bottom-right,br,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,8410-7cd5b4fdaf,ed0c948e-0d83-4215-8410-7cd5b4fdaf4d,check lock
side,07b8f9ac-0a75-41a3-858e-9eff669a98tr,meeting smartphone,work side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,858e-9eff669a98,6d29f24a-3e64-4196-858e-9eff669a98f5,video
side,07b8f9ac-0a75-41a3-8a1f-c6e7b61b22br,technology privacy photo access selfie record,technology side-combination bottom-right,br,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,8a1f-c6e7b61b22,744c7e1b-34d9-430c-8a1f-c6e7b61b226c,record
side,07b8f9ac-0a75-41a3-8a28-7672b73847tr,identity stolen phone,crime side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,8a28-7672b73847,fd80bcd7-73ab-4b8e-8a28-7672b7384731,hook
side,07b8f9ac-0a75-41a3-8cd9-57af301bbabr,technology privacy location access smartphone user,technology side-combination bottom-right,br,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,8cd9-57af301bba,4435680b-318b-4218-8cd9-57af301bba08,pin check mark
side,07b8f9ac-0a75-41a3-8ce6-03926fbb07tr,alert user,interface-essential side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,8ce6-03926fbb07,179dc2f8-89c2-456f-8ce6-03926fbb072a,speech bubble with exclamation mark
side,07b8f9ac-0a75-41a3-9d32-5051aadda8tr,mood happy smartphone,rating side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,9d32-5051aadda8,d0333cae-aa48-4180-9d32-5051aadda8fa,messages bubble round smile
side,07b8f9ac-0a75-41a3-a32c-afa455c4c9tr,love it phone,social side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,a32c-afa455c4c9,29604065-1175-4732-a32c-afa455c4c9ab,circle heart
side,07b8f9ac-0a75-41a3-a337-c2575e324btr,dating smartphone man,romance side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,a337-c2575e324b,0104273d-3559-4788-a337-c2575e324bb8,heart
side,07b8f9ac-0a75-41a3-a7c1-7d22f0de49tr,online healthcare advice phone,technology side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,a7c1-7d22f0de49,4e6c72ac-9782-4bd5-a7c1-7d22f0de49cc,medical cross
side,07b8f9ac-0a75-41a3-b419-77a7865d4ctr,messages bubble window hi,chat side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,b419-77a7865d4c,0cb3967a-bb52-468d-b419-77a7865d4cd3,messages bubble round hi
side,07b8f9ac-0a75-41a3-bd26-fef6f9c101tr,browser user help message,interface-essential side-combination top-right,tr,07b8f9ac-0a75-41a3-,07b8f9ac-0a75-41a3-8bc5-9d1b8abe6e74,mobile phone user,bd26-fef6f9c101,1af2cc96-98e1-4c11-bd26-fef6f9c101b4,question mark in chat bubble
side,07cafd66-efd4-43ca-8833-a4322d4cbdbr,monetization touch browser,business side-combination bottom-right,br,07cafd66-efd4-43ca-,07cafd66-efd4-43ca-978e-239ccb6dfed3,browser dollar sign,8833-a4322d4cbd,82734f7a-f16b-4ab7-8833-a4322d4cbd4b,hand point
side,07cafd66-efd4-43ca-8f6a-20cc999de0bl,cashless payment online transfer browser,payments side-combination bottom-left,bl,07cafd66-efd4-43ca-,07cafd66-efd4-43ca-978e-239ccb6dfed3,browser dollar sign,8f6a-20cc999de0,2bde9c42-ab23-4516-8f6a-20cc999de0e3,mobile phone
side,07cafd66-efd4-43ca-931a-9f1999e263br,credit card online payment,payments side-combination bottom-right,br,07cafd66-efd4-43ca-,07cafd66-efd4-43ca-978e-239ccb6dfed3,browser dollar sign,931a-9f1999e263,a525cc8f-6e57-4f1c-931a-9f1999e26316,card
side,07cafd66-efd4-43ca-98b8-b6dd1fe605br,e commerce shopping bag browser,ecommerce side-combination bottom-right,br,07cafd66-efd4-43ca-,07cafd66-efd4-43ca-978e-239ccb6dfed3,browser dollar sign,98b8-b6dd1fe605,bf5296da-9358-4863-98b8-b6dd1fe60594,bag
side,07cafd66-efd4-43ca-a736-e2ba5438dabl,cashless payment online transfer browser,payments side-combination bottom-left,bl,07cafd66-efd4-43ca-,07cafd66-efd4-43ca-978e-239ccb6dfed3,browser dollar sign,a736-e2ba5438da,0ccd2887-dbd0-4ab5-a736-e2ba5438da4d,mobile phone
side,07cafd66-efd4-43ca-ae42-c4ce12aafebl,cashless payment online transfer browser,payments side-combination bottom-left,bl,07cafd66-efd4-43ca-,07cafd66-efd4-43ca-978e-239ccb6dfed3,browser dollar sign,ae42-c4ce12aafe,c4f9e2f1-641c-4dbb-ae42-c4ce12aafedf,mobile phone
side,07cafd66-efd4-43ca-b376-ad91c78c22bl,cashless payment online transfer browser,payments side-combination bottom-left,bl,07cafd66-efd4-43ca-,07cafd66-efd4-43ca-978e-239ccb6dfed3,browser dollar sign,b376-ad91c78c22,70454eff-c88b-47e2-b376-ad91c78c22f0,mobile phone
side,07e1bb79-331c-4f70-85ec-2fd6000447br,single man actions refresh,users side-combination bottom-right,br,07e1bb79-331c-4f70-,07e1bb79-331c-4f70-8f6d-2c162b0b2d9a,person 1,85ec-2fd6000447,6f318fe0-f892-436c-85ec-2fd600044785,sync arrow
side,081daeb7-8f45-575c-a50b-2dd50dab7cbr,fashion design 1,clothes side-combination bottom-right,br,081daeb7-8f45-575c-,081daeb7-8f45-575c-b7cd-63c6bebbac05,dress,a50b-2dd50dab7c,4c398c0b-71ae-4681-a50b-2dd50dab7c0f,pencil
side,083ccd17-7022-432e-9ac8-8b13a1982cbr,shopping advertising audience target 1,business side-combination bottom-right,br,083ccd17-7022-432e-,083ccd17-7022-432e-b631-a8f5609aa943,target,9ac8-8b13a1982c,2d7f6568-79d6-46e9-9ac8-8b13a1982cb3,target
side,08463876-5f43-4cd9-9b35-3ae4867115bl,vr play device,technology side-combination bottom-left,bl,08463876-5f43-4cd9-,08463876-5f43-4cd9-869b-34fbb81d9519,square play button,9b35-3ae4867115,8a515529-35b3-4547-9b35-3ae486711582,device wearable vr goggles
side,0872fa36-cb40-4048-a76f-cd368e6bb7br,greek script 1,culture side-combination bottom-right,br,0872fa36-cb40-4048-,0872fa36-cb40-4048-bfff-5fa6453c601b,greek script,a76f-cd368e6bb7,d0a41162-1854-443c-a76f-cd368e6bb727,quill
side,08a24aa4-c28b-421f-8833-a4322d4cbdbr,smart house phone,technology side-combination bottom-right,br,08a24aa4-c28b-421f-,08a24aa4-c28b-421f-94e2-f810a7a98af1,mobile phone house,8833-a4322d4cbd,82734f7a-f16b-4ab7-8833-a4322d4cbd4b,hand point
side,08bd3d5c-e5b7-4c78-bb46-ac683be40cbr,ab testing award,rewards side-combination bottom-right,br,08bd3d5c-e5b7-4c78-,08bd3d5c-e5b7-4c78-8a77-0c6da1cdfbfb,ui webpage template,bb46-ac683be40c,537f61ca-8ecd-4e15-bb46-ac683be40ccd,ranking first
side,08dd2629-5ed4-558d-87eb-16a4c14d3abr,fantasy medieval roleplay game defensive property wind,video-games side-combination bottom-right,br,08dd2629-5ed4-558d-,08dd2629-5ed4-558d-aa0f-871684fb90a2,protection shield,87eb-16a4c14d3a,bfffa211-4688-49bd-87eb-16a4c14d3a9b,wind
side,08e6be2e-5fe4-4740-9959-dd04e8c520br,filter text,interface-essential side-combination bottom-right,br,08e6be2e-5fe4-4740-,08e6be2e-5fe4-4740-94ab-49f66b70e380,funnel,9959-dd04e8c520,9c3cb75e-d776-4efc-9959-dd04e8c52052,text file
side,08e6be2e-5fe4-4740-b5c6-d02dbeb800br,descending sort filter 1,interface-essential side-combination bottom-right,br,08e6be2e-5fe4-4740-,08e6be2e-5fe4-4740-94ab-49f66b70e380,funnel,b5c6-d02dbeb800,58727bf7-a897-4f91-b5c6-d02dbeb80019,down arrow
side,08e6be2e-5fe4-4740-b851-acf302ef01br,ascending sort filter 1,interface-essential side-combination bottom-right,br,08e6be2e-5fe4-4740-,08e6be2e-5fe4-4740-94ab-49f66b70e380,funnel,b851-acf302ef01,7bd3a2bd-439f-4018-b851-acf302ef01a5,circle arrow up
side,09313b1b-e57f-4498-8ab3-a57ec19e71tr,e learning ai teacher 4,school-learning side-combination top-right,tr,09313b1b-e57f-4498-,09313b1b-e57f-4498-907c-4a7b5fb8b7ae,robot,8ab3-a57ec19e71,6ac85b7f-c36b-4135-8ab3-a57ec19e7123,comment
side,0941fae4-611d-41dd-86cd-d13aceeaf9to,amazon web service marketplace cart,websites side-combination top,to,0941fae4-611d-41dd-,0941fae4-611d-41dd-8f02-a68399a41448,cart,86cd-d13aceeaf9,802601c0-689d-481d-86cd-d13aceeaf9a1,cube
side,095fe804-eb94-45af-a1ab-06e3fe5239tr,eco house sun,ecology side-combination top-right,tr,095fe804-eb94-45af-,095fe804-eb94-45af-aa66-9fa427a386a8,house leaf,a1ab-06e3fe5239,e1640603-3ce9-5ec9-a1ab-06e3fe5239a4,weather sun
side,098c5b62-8287-467b-b9c9-eae240f9d5bo,cannabis legalization 3,cannabis side-combination bottom,bo,098c5b62-8287-467b-,098c5b62-8287-467b-95c6-c1b202763219,scale,b9c9-eae240f9d5,219ceabe-349a-4492-b9c9-eae240f9d5c9,cannabis
side,09afbc31-5487-4884-8bb3-41d6a1fb33br,shopping cart disable,shopping side-combination bottom-right,br,09afbc31-5487-4884-,09afbc31-5487-4884-b5bb-9534c9f636f2,cart 1,8bb3-41d6a1fb33,ea16df49-fc08-4bf0-8bb3-41d6a1fb33cf,prohitbition
side,0a0feef2-02cf-4796-90c1-b19234a4a0bl,cyberterrorism virus,crime side-combination bottom-left,bl,0a0feef2-02cf-4796-,0a0feef2-02cf-4796-98f1-93d8a372ce93,ui webpage bug,90c1-b19234a4a0,076f94bc-9c1a-413b-90c1-b19234a4a013,globe
side,0a57fb4c-75fa-5a57-98bb-b90c403098br,breached password authentication lock warning,apps side-combination bottom-right,br,0a57fb4c-75fa-5a57-,0a57fb4c-75fa-5a57-9b52-61e208894f47,lock,98bb-b90c403098,42f29bd3-1507-484e-98bb-b90c40309892,warning triangle
side,0a67da07-eaae-4ea7-ab17-500d6f3b54bl,smart house temperature,technology side-combination bottom-left,bl,0a67da07-eaae-4ea7-,0a67da07-eaae-4ea7-8bbf-655ed643b997,house thermometer,ab17-500d6f3b54,ab133c84-c166-439c-ab17-500d6f3b5471,remote control
side,0a6ea07b-96af-593d-861b-a51459770ebr,online certificate art,school-learning side-combination bottom-right,br,0a6ea07b-96af-593d-,0a6ea07b-96af-593d-a5c6-dbc342111877,color palette sample,861b-a51459770e,4e2ed51b-8309-4e10-861b-a51459770e84,badge
side,0a850f90-2953-422f-a347-ed197ce977br,plane boarding pass smartphone check,travel side-combination bottom-right,br,0a850f90-2953-422f-,0a850f90-2953-422f-b95d-65062508b5a1,mobile phone plane,a347-ed197ce977,e827e098-b2c1-4c9d-a347-ed197ce977ef,circle check 1
side,0ab8a2ab-823f-461d-b355-6ff5f08795tr,crypto gpu mining,finance side-combination top-right,tr,0ab8a2ab-823f-461d-,0ab8a2ab-823f-461d-bcbb-b0e7e1e5af20,gpu mining,b355-6ff5f08795,056563c8-a6c4-4201-b355-6ff5f08795ea,circle bitcoin
side,0acd90ac-afcc-5d28-8202-7d7e9f91f1br,filter eyes look,interface-essential side-combination bottom-right,br,0acd90ac-afcc-5d28-,0acd90ac-afcc-5d28-b1f1-9561353dd61d,filter,8202-7d7e9f91f1,160ed52a-22e5-47c1-8202-7d7e9f91f1ec,eye
side,0b1a364e-6481-4ccd-836a-62b022c551br,piracy content music file,crime side-combination bottom-right,br,0b1a364e-6481-4ccd-,0b1a364e-6481-4ccd-b8ea-1616ed761c6c,music note square,836a-62b022c551,cb2b2f08-6efa-4f5e-836a-62b022c55138,skull
side,0b1a364e-6481-4ccd-879a-5477d3e84ebr,playlist question,music side-combination bottom-right,br,0b1a364e-6481-4ccd-,0b1a364e-6481-4ccd-b8ea-1616ed761c6c,music note square,879a-5477d3e84e,c356687a-8779-4296-879a-5477d3e84e2f,circle question
side,0b1a364e-6481-4ccd-8a9c-a2c5b97155br,playlist shuffle,music side-combination bottom-right,br,0b1a364e-6481-4ccd-,0b1a364e-6481-4ccd-b8ea-1616ed761c6c,music note square,8a9c-a2c5b97155,5d51dd05-eb69-498a-8a9c-a2c5b97155a3,shuffle
