uuid,reference,concept,pages,primary,all_categories,previous_runs,newest_run,errors,reviewer
4d157948-bac0-4b3b-b00b-4b00b21719a6,pictographic-primitives/_uncategorized_16/emoji smiling face open hands_4d157948-bac0-4b3b-b00b-4b00b21719a6.svg,Smiling Hugging Face,primitives-drawn,bounds,bounds spacing holes,0,,"canvas/keyshape bounds: visible ink (4, 4, 44, 44.4081) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 0.0, 0.0, 0.4081], tolerance 0.0) || mic [head]: head and left-hand are 3 apart on centerlines nearest (10, 22)<->(10, 25); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [head]: head and right-hand are 3 apart on centerlines nearest (38, 22)<->(38, 25); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [left-hand]: left-hand and right-hand are 0.90332 apart on centerlines nearest (23.5483, 31.9966)<->(24.4517, 31.9966); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [left-hand]: left-hand and smile are 3.09912 apart on centerlines nearest (21.519, 26.3861)<->(22.6102, 23.4854); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [right-hand]: right-hand and smile are 3.09912 apart on centerlines nearest (26.481, 26.3861)<->(25.3898, 23.4854); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || holes/pinches: 1 undersized holes; 0 pinches",
b020e38b-16c9-41eb-9970-ec2702be1b3c,pictographic-primitives/_uncategorized_17/face kiss beam_b020e38b-16c9-41eb-9970-ec2702be1b3c.svg,Kissing Face with Heart,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink reaches radius 22.1478 about (24, 24), outside the CIRCLE radius 22.0 || mic [face]: face and eye-left are 7.63051 apart on centerlines nearest (4.58693, 19.1914)<->(12, 21); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [face]: face and eye-right are 7.63051 apart on centerlines nearest (43.4131, 19.1914)<->(36, 21); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [eye-right]: eye-right and heart are 2.7261 apart on centerlines nearest (32.1132, 22.5987)<->(32.1448, 25.3246); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [kiss]: kiss and heart are 1.98963 apart on centerlines nearest (27, 31)<->(28.8808, 30.351); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
465fa6c6-5f8b-4335-a186-c938fe764751,pictographic-primitives/_uncategorized_17/face kiss wink heart_465fa6c6-5f8b-4335-a186-c938fe764751.svg,Kissing Face with Heart,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink reaches radius 22.1478 about (24, 24), outside the CIRCLE radius 22.0 || mic [face]: face and wink are 6.65796 apart on centerlines nearest (4.51289, 19.5014)<->(11, 21); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [wink]: wink and eye are 7 apart on centerlines nearest (19, 21)<->(26, 21); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [eye]: eye and heart are 4.51088 apart on centerlines nearest (34, 21)<->(33.0506, 25.4098); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [kiss]: kiss and heart are 3.2915 apart on centerlines nearest (26, 32)<->(29, 30.6458); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
08de5c3e-418d-4732-b0b0-0789943abce3,pictographic-primitives/_uncategorized_17/face kiss_08de5c3e-418d-4732-b0b0-0789943abce3.svg,Kissing Face with Heart,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink reaches radius 22.1478 about (24, 24), outside the CIRCLE radius 22.0 || mic [face]: face and eye-left are 7.35059 apart on centerlines nearest (5.03469, 17.6515)<->(12, 20); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [face]: face and eye-right are 7.35059 apart on centerlines nearest (42.9653, 17.6515)<->(36, 20); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [eye-right]: eye-right and heart are 3.72603 apart on centerlines nearest (32.1016, 21.5988)<->(32.1448, 25.3246); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [kiss]: kiss and heart are 1.98963 apart on centerlines nearest (27, 31)<->(28.8808, 30.351); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
db4dd436-0c1b-4e44-a5c2-fb12637a6682,pictographic-primitives/_uncategorized_17/face party_db4dd436-0c1b-4e44-a5c2-fb12637a6682.svg,Smiling Celebration Face with Party Horn,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink reaches radius 23.2603 about (24, 24), outside the CIRCLE radius 22.0 || mic [face]: face and horn are 3.23661 apart on centerlines nearest (43.0914, 29.9585)<->(40, 29); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
fe974dc7-4d81-41d1-9dba-73ed68ac785f,pictographic-primitives/_uncategorized_18/face woozy_fe974dc7-4d81-41d1-9dba-73ed68ac785f.svg,Woozy Face with Floating Star,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink reaches radius 25.4307 about (24, 24), outside the CIRCLE radius 22.0 || mic [eye-left]: eye-left and star are 1.41421 apart on centerlines nearest (14, 22)<->(13, 21); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
f782aaea-ece3-4563-802f-f0a5558305f6,pictographic-primitives/_uncategorized_18/factory building eco friendly 3_f782aaea-ece3-4563-802f-f0a5558305f6.svg,Eco Friendly Building with Plant,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (2, 3, 46, 42) does not match the HRECT_L envelope (2, 6, 46, 42) (deltas [0.0, 3.0, 0.0, 0.0], tolerance 0.0) || mic [stem]: stem and leaf-right are 0.784485 apart on centerlines nearest (29.2986, 11.9098)<->(30.0752, 12.0207); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [leaf-left]: leaf-left and leaf-right are 1.21968 apart on centerlines nearest (28.8068, 13.2526)<->(30, 13); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
1123c19a-08d6-416a-bfa1-beb497d65c19,pictographic-primitives/_uncategorized_18/family hold_1123c19a-08d6-416a-bfa1-beb497d65c19.svg,Hand Supporting Family,primitives-drawn,bounds,bounds spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (2, 6, 45, 43) does not match the HRECT_L envelope (2, 6, 46, 42) (deltas [0.0, 0.0, 1.0, 1.0], tolerance 0.0) || mic [adult-left]: adult-left and body-left are 7.30601 apart on centerlines nearest (12.5869, 15.9567)<->(13.6987, 23.1776); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [adult-right]: adult-right and body-right are 7.30601 apart on centerlines nearest (35.4131, 15.9567)<->(34.3013, 23.1776); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [child]: child and body-left are 5.06315 apart on centerlines nearest (21.0251, 22.3802)<->(16, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [child]: child and body-right are 5.06315 apart on centerlines nearest (26.9749, 22.3802)<->(32, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [body-left]: body-left and palm are 5 apart on centerlines nearest (5, 31)<->(5, 36); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [body-right]: body-right and palm are 3.16228 apart on centerlines nearest (43, 31)<->(42, 34); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
2e67f3b7-0bac-4846-8d2b-bc6d88672024,pictographic-primitives/_uncategorized_28/nun_2e67f3b7-0bac-4846-8d2b-bc6d88672024.svg,Catholic Nun with Cross,primitives-drawn,bounds,bounds parallel,3,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (4, 4, 44, 45) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 0.0, 0.0, 1.0], tolerance 0.0) || mic [shoulders]: parallel straight edges shoulder-top and cross-l are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [shoulders]: parallel straight edges shoulder-top and cross-r are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [shoulders]: parallel straight edges shoulder-top and veil-sides-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (overlap-fallback) || mic [cross-l]: parallel straight edges cross-l and veil-sides-2 are 2 apart on centerlines (ink gap -2); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [cross-r]: parallel straight edges cross-r and veil-sides-2 are 2 apart on centerlines (ink gap -2); requires at least 8 centerline / 4 ink (midpoint-normal)",
9bf327e4-22cd-4f46-a740-34545d603a6f,pictographic-primitives/_uncategorized_28/ocd disorder symptoms 2_9bf327e4-22cd-4f46-a740-34545d603a6f.svg,Mental Checklist Profile,primitives-drawn,bounds,bounds parallel spacing pinches holes,3,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (6, 2, 42, 46) does not match the VRECT_L envelope (6, 2, 42, 46) (deltas [0.0, 0.0, 0.0, 0.0], tolerance 0.0) || mic [profile-top]: parallel straight edges neck-back and empty-box-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [empty-box]: parallel straight edges empty-box-2 and empty-box-4 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [empty-box]: parallel straight edges empty-box-4 and face-neck-5 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [empty-box]: parallel straight edges empty-box-1 and empty-box-3 are 4 apart on centerlines (ink gap 0); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [profile-top]: profile-top and check-0 are 5.92012 apart on centerlines nearest (13.6233, 12.5223)<->(19, 15); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [profile-top]: profile-top and text-0 are 5.92012 apart on centerlines nearest (38.3767, 12.5223)<->(33, 15); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [profile-top]: profile-top and text-1 are 6.48482 apart on centerlines nearest (39.2631, 25.6812)<->(33, 24); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [face-neck]: face-neck and empty-box are 5 apart on centerlines nearest (20, 34)<->(25, 34); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [check-0]: check-0 and check-1 are 5.83095 apart on centerlines nearest (21, 17)<->(24, 22); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || holes/pinches: 1 undersized holes; 1 pinches",
df632f40-c8e3-4ae9-9986-caca559c4210,pictographic-primitives/_uncategorized_30/passport globe_df632f40-c8e3-4ae9-9986-caca559c4210.svg,Passport with World Globe,primitives-drawn,bounds,bounds parallel spacing holes,3,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (4.41527, 4.25955, 44, 44) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.4153, 0.2595, 0.0, 0.0], tolerance 0.0) || mic [passport]: parallel straight edges passport-6 and continent-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal) || mic [world]: world and globe are 4.44037 apart on centerlines nearest (22, 32)<->(26.2584, 30.7417); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [continent]: continent and passport are 6 apart on centerlines nearest (16, 23)<->(22, 23); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || mic [passport]: passport and globe are 4 apart on centerlines nearest (22, 29)<->(26, 29); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship || holes/pinches: 4 undersized holes; 0 pinches",
1b9c1a21-5633-4aac-a5fa-db87094b0bc1,pictographic-primitives/_uncategorized_30/pepper hot_1b9c1a21-5633-4aac-a5fa-db87094b0bc1.svg,Spicy Chili Pepper with Flame,primitives-drawn,bounds,bounds parallel spacing,1,primitive-make-ray/invalid,"canvas/keyshape bounds: visible ink (4, 4, 44.2076, 44) does not match the SQUARE envelope (4, 4, 44, 44) (deltas [0.0, 0.0, 0.2076, 0.0], tolerance 0.0) || mic [flame]: parallel straight edges flame-2 and flame-4 are 7.07107 apart on centerlines (ink gap 3.07107); requires at least 8 centerline / 4 ink (overlap-fallback) || mic [pepper]: pepper and flame are 5.89309 apart on centerlines nearest (22.0309, 40.2989)<->(18, 36); SOLO48 requires at least 8 (ink clearance 4) unless the contact is declared with a scoped `connect` relationship",
