21|Lidded Dairy Milk Can|lidded-dairy-milk-can|A tall milk can has a rounded rectangular body, sloped shoulders, and a narrow neck beneath a domed lid. Short handles angle upward from both shoulders beside the horizontal upper body seam.|milk,can,dairy,container,farm,metal
22|Four-Sail Windmill|four-sail-windmill|A tapered windmill tower stands on a short baseline with a narrow doorway below. Four broad rectangular sails spread diagonally around the upper crossing, overlapping the pointed top of the tower.|windmill,mill,sails,building,farm,wind
23|Rounded Rice Cake Reference|rice-cake-review|A broad rounded outline encloses a smaller oval curve at the bottom. Both contours open at their lower center, leaving two closely spaced ends that make the depicted object difficult to identify.|mochi,rice,cake,round,food,reference
24|Two Dollar Money Bags|money-bags-dollar-review|Two tied money bags overlap, with a larger round bag in front and a smaller one behind its left side. Both have scalloped gathered tops, and the front bag carries a dollar sign.|money,bags,dollar,currency,sack,finance
25|Paired Mountain Peaks|paired-mountain-peaks|Two triangular mountain peaks share a flat baseline, with the taller mountain on the left. A zigzag snow boundary crosses its upper slope, and a diagonal ridge descends toward the foreground.|mountains,peaks,snow,landscape,terrain,range
26|Overlapping User Busts|overlapping-user-busts|Two rounded bust silhouettes overlap, with the larger figure in front on the right. Each has a circular head flowing into sloping shoulders and a broad curved lower edge without facial marks.|users,people,busts,profiles,group,avatar
27|Up Arrow in Rounded Square|arrow-square-review|A rounded square encloses a centered upward arrow made from a long vertical shaft and two diagonal branches. The arrow remains separate from the border with open space on every side.|arrow,up,square,frame,direction,symbol
28|Inward Vertical Chevrons|chevron-inward-vertical|Two wide open chevrons face one another along a vertical axis. The upper chevron points downward and the lower one upward, with a clear gap between their tips and no shafts.|chevrons,inward,vertical,collapse,direction,arrows
29|Vertical Collapse Chevrons|chevron-vertical-collapse|An upper downward chevron and a lower upward chevron mirror one another around an open central gap. Each consists of two long diagonal arms, with the outer ends spread widely apart.|chevrons,collapse,inward,vertical,arrows,compress
30|Standing Studio Microphone|standing-studio-microphone|A rounded capsule microphone stands upright on a thin vertical stem and short horizontal foot. Three pairs of grille lines extend inward from the sides, leaving an open strip through the center.|microphone,studio,audio,recording,sound,stand
31|Watermelon Wedge with Rind|watermelon-wedge-rind|A semicircular watermelon slice tilts diagonally upward to the right. A curved inner line separates the broad rind from the flesh, where three small seed marks sit near the straight cut edge.|watermelon,fruit,slice,rind,seeds,food
32|Waving Dollar Note|waving-dollar-note-review|A wide banknote has straight vertical ends and gently waving upper and lower edges. A large dollar sign floats at its center, with no other markings inside the broad paper outline.|banknote,dollar,money,currency,bill,wave
33|Wavy Membrane Partition|wavy-membrane-partition|A broad rounded rectangle is divided by one vertical wavy line running from its top edge to its bottom. The alternating curves leave two blank compartments on either side of the membrane.|membrane,partition,diagram,division,wave,barrier
34|Whipped Cream Swirl|whipped-cream-swirl|A mound of whipped cream rises from a broad rounded base through several bulging tiers. The outline narrows unevenly upward into a tall curved point that bends slightly to the left.|cream,whipped,dessert,swirl,topping,food
35|Single-Antenna Modem|single-antenna-modem|A low modem has a long horizontal body with rounded ends and no visible controls. One slim vertical antenna rises from its top near the right side, extending well above the base.|modem,router,antenna,network,wireless,device
36|Left Object Alignment|left-object-alignment|Three horizontal rounded bars share a common left edge beside a separate vertical guide. The upper bar is longest, the middle shorter, and the lower shortest, with even spaces between them.|alignment,left,objects,bars,layout,guide
37|Domed Observatory|domed-observatory|An observatory has a rectangular base beneath a broad horizontal band and a large domed roof. A short telescope tube projects diagonally upward to the right, ending in a rounded outer collar.|observatory,telescope,astronomy,dome,building,science
38|Single-Drawer Nightstand|single-drawer-nightstand|A nightstand has a broad rounded tabletop above a rectangular cabinet and two short legs. A circular knob marks the upper drawer, with a horizontal division above the plain lower compartment.|nightstand,bedside,table,drawer,furniture,cabinet
39|Branching Neuron|branching-neuron|A round nerve cell sits above a long descending axon that branches into curved terminals. Short straight dendrites radiate around the cell body, spreading upward and outward in several directions.|neuron,nerve,cell,biology,axon,science
40|Bird Resting in Nest|bird-resting-in-nest|A bird faces left while sitting inside a deep curved nest. Its small pointed beak, dot eye, rounded head, and raised tail stand above the rim, while layered arcs cross the nest below.|bird,nest,nesting,wildlife,animal,nature
41|Bitten Chip Cookie|bitten-chip-cookie|A round cookie has a large scalloped bite missing from its upper right edge. Three small circular chips are spaced across the remaining face, surrounded by a broad unmarked curved rim.|cookie,biscuit,bite,chips,snack,food
42|Blank Folded-Corner Page|blank-folded-corner-page|An upright blank sheet has softly rounded lower corners and a folded upper right corner. The triangular fold turns inward above the open face, with a short curved join at its inner corner.|page,paper,document,blank,fold,sheet
43|Cheese Block with Open Holes|cheese-block-open-holes|A broad cheese block has rounded corners and three circular holes of different sizes. Two cutouts open through its right edge, one long and rounded above a smaller curved notch near the base.|cheese,block,holes,dairy,food,swiss
44|Oatmeal Bowl and Spoon|oatmeal-bowl-spoon|A deep bowl on a short foot holds a rounded heap of oatmeal rising above its straight rim. A long spoon handle tilts upward to the right from behind the food.|oatmeal,bowl,spoon,breakfast,porridge,food
45|Grape Bunch with Leaf|grape-bunch-leaf|Six rounded grapes form a tapering bunch, with three across the top and one at the bottom. A short curved stem rises from the center and carries one pointed leaf leaning right.|grapes,fruit,bunch,leaf,vine,food
46|Nun with Chest Cross|nun-cross-review|A front-facing bust wears a long veil framing a rounded face and a curved forehead band. The shoulders spread below a short neck, with a small cross centered on the chest.|nun,veil,cross,habit,person,bust
47|Crossed Circle|crossed-circle-review|A large circle contains two diagonal lines crossing at its center. Both diagonals reach the round border at opposite sides, dividing the interior into four broad wedge-shaped open areas.|circle,cross,diagonal,geometry,symbol,shape
48|Curled Handlebar Mustache|curled-handlebar-mustache|A broad mustache has two rounded lobes meeting at a shallow upper notch. Its lower curves rise into a central point, while both outer tips curl upward into small pointed ends.|mustache,facial,hair,handlebar,grooming,face
49|Four-Node Network Hub|four-node-network-hub|A central circular node connects to three surrounding circles with straight spokes. One node sits directly above it, while the other two spread diagonally down and outward on either side.|network,nodes,hub,connections,diagram,links
50|Upturned Narwhal|upturned-narwhal|A narwhal swims diagonally upward to the right with a rounded body and a long pointed tusk. A small dot eye sits above its curved flipper, and two tail lobes spread behind it.|narwhal,whale,tusk,marine,animal,swimming
51|House with Roof Crack|house-roof-crack|A simple house has a steep pitched roof, straight side walls, and a rounded doorway. A jagged crack descends from the right roof slope into the otherwise blank upper wall.|house,crack,damage,roof,building,home
52|Arched Speedometer|arched-speedometer|A speedometer has a broad arched dial above a flat base with rounded corners. Short ticks follow the upper curve, and a needle extends diagonally right from a small circular central hub.|speedometer,gauge,dial,needle,speed,dashboard
53|Stacked Downward Arrowheads|arrowhead-stacked-down|Two large downward arrowheads stack vertically, with the upper triangle overlapping the top of the lower one. Their broad horizontal shoulders narrow into slightly rounded tips along a shared central axis.|arrowheads,down,stacked,arrows,direction,symbol
54|Single Egg in Nest|single-egg-in-nest|One upright egg rises from a deep nest with a curved oval opening. The nest wraps around its lower half, with a horizontal rim band and a broad rounded underside.|egg,nest,bird,nature,nesting,wildlife
55|Faceted Obsidian Crystal|faceted-obsidian-crystal|An irregular upright crystal tapers into sharp points at its top and bottom. Angular internal seams divide the mineral into several long facets, with an interrupted contour along the upper right edge.|crystal,obsidian,mineral,facets,stone,geology
56|Crank Music Box and Notes|music-box-notes-review|A low rounded music box has a horizontal lid seam and a bent crank projecting from its right side. A pair of connected musical notes floats separately above the box.|music,box,crank,notes,instrument,sound
57|Smiling Striped Cat Head|smiling-striped-cat-head|A cat head has two tall pointed ears, rounded cheeks, and two forehead stripes. Curved closed eyes sit above a small triangular nose, with a smiling muzzle and an open curved mouth below.|cat,head,smile,stripes,animal,face
58|Hooded Skull Figure|hooded-skull-figure|A front-facing hooded figure has a blank skull-shaped face enclosed by a broad rounded hood. The hood narrows into a point above sloping shoulders, with a vertical garment opening descending below.|hood,skull,figure,robe,person,face
59|Horizontal Center Guide|horizontal-center-guide|Two wide horizontal rectangular bars sit one above the other with an open gap between them. A vertical guide passes through their shared center and extends beyond both outer edges.|alignment,center,guide,bars,layout,diagram
60|Crossed Rounded Blocks|crossed-rounded-blocks|A broad horizontal rounded block overlaps the middle of a tall vertical rounded block. The upright block remains visible above and below, creating a balanced cross-shaped silhouette with a clear foreground band.|blocks,cross,overlap,obstruction,geometry,shape
61|Figure with Looped Torso|looped-torso-review|A circular head rests above broad rounded shoulders and a flat lower body. An interior line curls into a closed loop near the chest, then sweeps diagonally toward the lower left edge.|figure,loop,torso,person,outline,reference
62|Left Profile with Brain|left-profile-brain|A human head faces left with a short projecting nose, flat chin, and long neck. A rounded lobed brain sits within the upper skull, with a small downward extension at its rear.|head,brain,anatomy,profile,neurology,human
63|Right Profile with Folded Brain|right-profile-folded-brain|A head faces right with a rounded skull, a projecting forehead, and an angular lower face. The upper interior contains a lobed brain with curved folds and a narrow descending stem.|head,brain,anatomy,profile,neurology,folds
64|Neck and Shoulder Outline|neck-shoulder-outline|The rounded lower half of a blank face sits above a long narrow neck. Both neck edges curve outward into sloping shoulders, while the upper face and lower torso remain open.|neck,shoulders,anatomy,chin,body,human
65|Asymmetric Nose Outline|asymmetric-nose-outline|A long curved bridge descends from the upper left into a rounded nose tip. A shorter curve outlines the right nostril, and a separate shallow central curve joins the lower nasal contours.|nose,nostrils,anatomy,face,smell,outline
66|Frontal Rounded Nose|frontal-rounded-nose|A front-facing nose has a tall rounded bridge that widens into two bulbous nostrils. Short inward curves define the nostril openings around a rounded central tip along the lower edge.|nose,frontal,nostrils,anatomy,face,smell
67|Skull Below Crossed Lines|skull-crossed-lines-review|A rounded skull has two circular eye sockets and a squared lower jaw divided by two short tooth lines. Two long diagonal strokes cross above the head without touching the skull.|skull,crossed,lines,bones,head,reference
68|Storm Spiral above House|storm-spiral-house|A large spiral curves downward toward a small house at the lower right. The house has a peaked roof and rounded doorway, with the sweeping outer storm curve reaching left above it.|storm,hurricane,house,weather,wind,disaster
69|Intersecting Circle and Square|intersecting-circle-square|A large circle overlaps the upper left portion of a smaller rounded square. Both outlines remain visible through the shared region, creating curved and straight boundaries inside the lower right overlap.|circle,square,intersect,overlap,geometry,shapes
70|Descending Menu Bars|descending-menu-bars|Three rounded horizontal bars are stacked with even vertical gaps and a common left edge. Each bar is shorter than the one above it, creating a stepped outline on the right.|menu,bars,navigation,list,interface,alignment
71|Curved Left Reply Arrow|arrow-curved-left-reply|A broad outlined arrow bends from the lower right into a horizontal shaft pointing left. Its angular arrowhead opens around the shaft, while the trailing curve narrows toward the lower right tip.|arrow,reply,left,curve,direction,return
72|Circled Capital N|circled-n-review|A large circular border encloses a thin capital N formed by two uprights and a descending diagonal. The diagonal continues beyond the right upright until it meets the lower right circle.|letter,n,circle,typeface,logo,alphabet
73|Reader Holding Open Book|reader-holding-open-book|A reader peers over an open book with two broad pages meeting at a central spine. Round hands grip the outer edges, beneath short eyes and curved hair lines across the forehead.|reader,book,reading,person,hands,pages
74|Head Containing Checklist|head-checklist-review|A left-facing head outline contains three horizontal checklist rows. Two check marks occupy the upper left positions, an empty square sits below them, and short text lines align to their right.|head,checklist,checks,list,profile,planning
75|Music Venue and Notes|music-venue-notes-review|A rectangular venue has a broad flat roof band and a rounded central doorway. Two pairs of joined musical notes sit above the roof, with one lower note touching its upper edge.|venue,music,building,notes,door,concert
76|Capped Reader with Open Book|capped-reader-open-book|A front-facing reader wears a rounded cap and a plain garment with a short central neckline. An open book spreads across the chest, its curved upper edges meeting at a central fold.|reader,cap,book,person,reading,garment
77|Figure Wearing Headscarf|figure-wearing-headscarf|A front-facing figure wears a broad headscarf framing an oval blank face. The scarf rounds beneath the chin above sloping shoulders, while two long interior lines mark the sides of the torso.|headscarf,hijab,figure,person,clothing,portrait
78|Mustard Squeeze Bottle|mustard-squeeze-bottle|A tall squeeze bottle has a rounded rectangular body and a short cylindrical collar. A narrow tapered nozzle rises from the center of the collar, ending in a small rounded tip.|mustard,bottle,condiment,nozzle,squeeze,food
79|Twin-Tower Mosque Facade|twin-tower-mosque-facade|A mosque facade has two tall rounded towers flanking a lower central wall. Slim spires rise from both towers, horizontal bands cross their upper sections, and a pointed arched entrance opens below.|mosque,towers,facade,architecture,building,entrance
80|Three-Line Navigation Menu|three-line-navigation-menu|Three straight horizontal lines stack vertically with equal spacing and matching lengths. The upper, middle, and lower strokes form an open menu symbol without an enclosing border or additional marks.|menu,navigation,lines,hamburger,interface,list
81|Bottle with Side Flower|bottle-flower-review|A capped bottle has a tall rounded body and a narrow neck beneath a broad lid. A five-petaled flower overlaps the right shoulder, with its small central disk outside the bottle outline.|bottle,flower,nectar,petals,container,plant
82|Newspaper Kiosk Facade|newspaper-kiosk-facade|A kiosk has a broad signboard above a rectangular booth and small lower door. A wide inset display occupies the upper half, divided into panes with short horizontal marks inside.|kiosk,newspaper,booth,shop,newsstand,building
83|Newspaper with Picture Panel|newspaper-picture-panel|An upright newspaper has a large rectangular picture panel above two columns of short text lines. A narrow folded layer runs down the right edge and curls into the rounded lower corner.|newspaper,paper,news,picture,columns,print
84|Nike Swoosh Outline|nike-swoosh-outline|A sweeping outlined swoosh curves around a broad hooked left end and narrows into a long point at the upper right. The inner curve rises smoothly toward the shallow angled upper edge.|nike,swoosh,logo,brand,curve,symbol
85|Masked Ninja Head|masked-ninja-head|A rounded ninja head wears a broad mask with a horizontal eye opening containing two short slanted eyes. A band crosses the forehead, and two pointed tie ends project to the right.|ninja,mask,head,eyes,band,face
86|Mushroom Explosion Cloud|mushroom-explosion-cloud|A large lobed cloud cap spreads above a narrow vertical column with gently curved sides. The column widens toward a low rounded base, forming a tall mushroom-shaped explosion silhouette.|explosion,mushroom,cloud,nuclear,smoke,blast
87|Oat Leaf Sprig|oat-leaf-sprig|A slender upright stem carries four long pointed leaves alternating to either side and at the top. Each leaf has a broad curved body tapering into a sharp tip without interior veins.|oat,plant,leaves,sprig,botanical,stem
88|Diagonal Oboe|diagonal-oboe|A long oboe runs diagonally from a flared lower left bell toward a narrow upper right mouthpiece. Three small tone-hole marks follow the slim body, which ends in a short projecting reed.|oboe,instrument,woodwind,reed,music,bell
89|Blank Open Laptop|blank-open-laptop|An open laptop has a broad blank screen with rounded upper corners. Its lower edge joins a shallow base that slopes outward toward two rounded front corners and a straight horizontal front edge.|laptop,computer,screen,device,keyboard,notebook
90|Oval Zero|oval-zero-review|A tall oval outline forms a single zero with an open center. Its sides bow smoothly outward and join rounded top and bottom curves, with no slash or other interior mark.|zero,number,digit,oval,typeface,numeral
91|Overlapping Circle and Rounded Square|overlapping-circle-rounded-square|A circle at the upper left overlaps a rounded square shifted down and right. The circle and square have similar overall widths, and both continuous outlines remain visible across their shared interior.|circle,square,overlap,union,geometry,shapes
92|Peach with Single Leaf|peach-single-leaf|A rounded peach narrows into a small point at its base beneath a short curved stem. One pointed leaf extends left, and a long curved crease descends from the top into the fruit.|peach,fruit,leaf,stem,food,orchard
93|Person Offering Open Newspaper|person-offering-open-newspaper|A cropped person has a circular head and one arm extending diagonally toward an open newspaper. The elbow bends into a rounded hand beneath two tilted pages joined along a central fold.|person,newspaper,offering,reading,pages,arm
94|Person Beside Musical Notes|person-music-notes-review|A circular-headed person extends one bent arm to the right with the forearm held horizontally. A pair of joined musical notes floats above the hand, separate from the figure outline.|person,music,notes,arm,figure,sound
95|Profile Wearing Feathered Headband|profile-feathered-headband|A human head faces right with a rounded crown and an angular nose and chin. A horizontal headband crosses the forehead, with one long pointed feather hanging behind the left side.|profile,headband,feather,head,person,portrait
96|Round-Headed Carpentry Nail|round-headed-carpentry-nail|A long upright nail has a broad rounded horizontal head above a narrow straight shaft. The shaft continues down into an elongated pointed tip, with the head centered across its upper end.|nail,carpentry,hardware,fastener,metal,point
97|Broad Knot Necktie|broad-knot-necktie|An upright necktie has a broad trapezoid knot above a long tapered body. The body widens toward its lower section and then narrows into a centered pointed tip at the bottom.|necktie,tie,clothing,knot,formal,accessory
98|Diagonal Prohibition Sign|diagonal-prohibition-sign|A single circular outline is crossed by one straight diagonal slash rising from the lower left to the upper right. The slash meets the circle at both ends and divides its blank interior.|prohibition,sign,circle,slash,symbol,blocked
99|Right-Aligned Rounded Bars|right-aligned-rounded-bars|Three horizontal rounded bars share a common right edge with wide gaps between them. The top bar is longest, the middle bar starts farther right, and the shortest lower bar completes the stepped arrangement.|alignment,right,bars,objects,layout,diagram
100|Long Right Direction Arrow|arrow-long-right-direction|A long straight horizontal shaft points to the right, ending where two diagonal branches meet. The open arrowhead spreads widely above and below the shaft, without an outline enclosing its interior.|arrow,right,direction,pointing,navigation,symbol
101|Right-Aligned Bars between Guides|right-aligned-bars-between-guides|Two rounded horizontal bars of different lengths align along their right ends. Separate horizontal guide lines frame the arrangement above and below, with the lower bar shorter than the upper one.|alignment,right,bars,guides,layout,diagram
102|Moonrise with Upward Arrow|moonrise-arrow-review|A large crescent moon sits above a thin horizontal horizon line. A separate upward arrow rises through the open lower crescent, with its shaft extending down toward the horizon beneath it.|moon,crescent,rise,arrow,horizon,night
103|Rising Crescent and Arrow|rising-crescent-arrow-review|A crescent opens toward the upper right above a long horizontal baseline. An upward arrow interrupts the lower moon outline, with two diagonal branches and a straight shaft reaching toward the ground line.|moon,rise,crescent,arrow,night,horizon
104|Rising Water and Arrows|rising-water-arrows-review|Three scalloped wave rows fill a broad basin-shaped outline with rounded lower corners. Two separate upward arrows float above the water, their straight shafts pointing away from the top wave crests.|water,waves,rising,arrows,flood,level
105|Curved-Seam Netball|curved-seam-netball|A round sports ball has two tall curving seams sweeping from top to bottom. A third curved seam crosses them diagonally, dividing the circular surface into several broad asymmetric panels.|netball,ball,sports,seams,round,game
106|Blank Rounded Square|blank-rounded-square|A plain square outline has four broad rounded corners and straight horizontal and vertical sides. Its interior is completely open, without an inset border, central mark, or other dividing lines.|square,rounded,shape,outline,geometry,blank
107|Four Hexagonal Nanobots|four-hexagonal-nanobots|Four matching small nanobots form a two-by-two arrangement. Each has a hexagonal body with a circular center, two curved side appendages, and one short straight appendage descending from its lower point.|nanobots,robots,hexagons,technology,science,array
108|Radiant Disco Ball|radiant-disco-ball|A round disco ball has a grid of horizontal lines crossed by two curved vertical seams. Short rays radiate around its perimeter, with a longer vertical stroke rising directly above the top.|disco,ball,mirror,music,party,light
109|Blank Floppy-Eared Dog Head|blank-floppy-eared-dog-head|A dog head faces forward with a broad flat crown and rounded lower face. Two large floppy ears hang from the upper sides, framing a blank interior without eyes or muzzle markings.|dog,head,ears,animal,pet,face
110|Sleeveless Scoop-Neck Nightgown|sleeveless-scoop-neck-nightgown|A sleeveless nightgown has a broad rounded neckline between two short shoulder straps. Its sides curve inward near the chest and flare toward a wide gently curved hem at the bottom.|nightgown,dress,sleeveless,clothing,nightwear,garment
111|Rounded Shade Table Lamp|rounded-shade-table-lamp|A table lamp has a tall shade with a domed top and gently sloping sides ending at a flat rim. A short rectangular stem joins it to a low rounded base.|lamp,table,shade,light,base,furniture
112|Upright Rowing Oar|upright-rowing-oar|A single upright oar has a broad blade with rounded upper corners and sides that taper into a pointed shoulder. A long straight shaft extends downward from the center of the blade.|oar,rowing,paddle,boat,blade,water
113|Lobed Oak Leaf|lobed-oak-leaf|A single upright oak leaf has rounded lobes arranged along both sides of a central vein. The top lobe is tall and domed, while the lower outline tapers into a short straight stem.|oak,leaf,lobes,tree,plant,botanical
114|V-Neck Slip Dress|v-neck-slip-dress|A slip dress hangs from two thin upright straps above a curved V-shaped neckline. Its fitted sides narrow at the waist and then flare outward toward a broad gently curved lower hem.|dress,slip,nightwear,straps,clothing,garment
115|Crouching Muskrat|crouching-muskrat|A muskrat faces left with a rounded hunched body, short muzzle, and small round ear. Bent legs tuck beneath its belly, while a long tail curves around the right side and trails below.|muskrat,rodent,animal,mammal,tail,wildlife
116|Standing Nightingale|standing-nightingale|A small songbird faces right with a rounded head, pointed beak, and broad curved breast. A long tail extends down and left, while a curved wing and two thin bent legs complete the body.|nightingale,bird,songbird,wings,tail,wildlife
117|Phone with Location Message|phone-location-message-review|An upright smartphone has a lower control strip and short home mark. A speech bubble overlaps its upper right side, enclosing a teardrop location pin above the bubble's pointed lower tail.|phone,message,location,pin,bubble,mobile
118|Spiral Notebook with Cover Lines|spiral-notebook-cover-lines|A tall notebook has rounded corners and four short binding strokes crossing its left edge. Three horizontal lines sit on the otherwise blank cover, with the lower line slightly shorter than the others.|notebook,spiral,binding,cover,stationery,paper
119|Right-Facing Woolly Sheep|right-facing-woolly-sheep|A sheep faces right with a long scalloped woolly back and a large rounded muzzle. Two slender legs descend from its body, beneath a small ear and a dot eye on the head.|sheep,wool,livestock,animal,farm,mammal
120|Flexed Arm with Left Elbow|flexed-arm-left-elbow|A muscular arm bends upward from a low left elbow toward a rounded fist above. A curved bicep rises on the right, with short interior curves separating the forearm and upper arm.|arm,bicep,muscle,flex,anatomy,strength
121|Flexed Arm with Right Elbow|flexed-arm-right-elbow|A bent muscular arm raises a rounded fist near the top left, with the elbow bulging at the right. Curved interior lines define the bicep, forearm junction, and lower upper-arm contour.|arm,bicep,muscle,flex,anatomy,strength
122|Circle within Rounded Square|circle-square-review|A large rounded square encloses a smaller circle positioned below and right of center. The two outlines remain separate, with broad blank space above and left of the inner circle.|circle,square,inside,geometry,shape,outline
123|Three-Spoke Node Network|three-spoke-node-network|Three circular nodes sit at the ends of a Y-shaped connector. One node is directly above the central junction, while the other two spread diagonally toward the lower left and lower right.|network,nodes,connections,diagram,links,branches
