kind,icon,width,height,pair_count,status,python_source,source_path
text,text-tiff-image-file-format-02af3840-sub32,93,32,2,pass,icon_set/model/icons/sub/text_tiff_image_file_format_02af3840_sub32.py,icon_set/dist/text32/text-tiff-image-file-format-02af3840.svg
text,text-m4v-video-format-5082511a-sub32,91,32,1,pass,icon_set/model/icons/sub/text_m4v_video_format_5082511a_sub32.py,icon_set/dist/text32/text-m4v-video-format-5082511a.svg
text,text-mp4-video-file-format-52e532d8-sub32,89,32,1,pass,icon_set/model/icons/sub/text_mp4_video_file_format_52e532d8_sub32.py,icon_set/dist/text32/text-mp4-video-file-format-52e532d8.svg
text,text-mov-video-file-format-a126e323-sub32,88,32,1,pass,icon_set/model/icons/sub/text_mov_video_file_format_a126e323_sub32.py,icon_set/dist/text32/text-mov-video-file-format-a126e323.svg
text,text-maximum-value-label-4b12edd2-sub32,87,32,1,pass,icon_set/model/icons/sub/text_maximum_value_label_4b12edd2_sub32.py,icon_set/dist/text32/text-maximum-value-label-4b12edd2.svg
text,text-xml-file-format-label-14e77d0a-sub32-v2,87,32,1,pass,icon_set/model/icons/sub/text_xml_file_format_label_14e77d0a_sub32_v2_14e77d0a_f38d_4468_8003_3403c3e8269c.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/text-xml-file-format-label-14e77d0a.svg
text,text-mpg-file-format-text-51747961-sub32,86,32,1,pass,icon_set/model/icons/sub/text_mpg_file_format_text_51747961_sub32.py,icon_set/dist/text32/text-mpg-file-format-text-51747961.svg
text,side-text-2f9175d4-sub32,85,32,1,pass,icon_set/model/icons/sub/side_text_2f9175d4_sub32.py,icon_set/dist/text32/side-text-2f9175d4.svg
text,text-bmp-file-format-def3f5b4-sub32,84,32,1,pass,icon_set/model/icons/sub/text_bmp_file_format_def3f5b4_sub32.py,icon_set/dist/text32/text-bmp-file-format-def3f5b4.svg
text,text-mp3-audio-file-format-6ce39310-sub32,84,32,1,pass,icon_set/model/icons/sub/text_mp3_audio_file_format_6ce39310_sub32.py,icon_set/dist/text32/text-mp3-audio-file-format-6ce39310.svg
text,text-php-programming-language-logo-272a7439-sub32-v2,83,32,1,pass,icon_set/model/icons/sub/text_php_programming_language_logo_272a7439_sub32_v2_272a7439_f7fd_4eae_b038_1de7018bcbc1.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/text-php-programming-language-logo-272a7439.svg
text,text-txt-text-document-icon-15c48b39-sub32,83,32,1,pass,icon_set/model/icons/sub/text_txt_text_document_icon_15c48b39_sub32.py,icon_set/dist/text32/text-txt-text-document-icon-15c48b39.svg
text,text-dat-file-format-icon-31feea69-sub32,82,32,1,pass,icon_set/model/icons/sub/text_dat_file_format_icon_31feea69_sub32.py,icon_set/dist/text32/text-dat-file-format-icon-31feea69.svg
text,text-csv-document-file-format-ef63f66f-sub32-v2,81,32,1,pass,icon_set/model/icons/sub/text_csv_document_file_format_ef63f66f_sub32_v2_ef63f66f_33e4_4301_872e_21ad3cb601c2.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/text-csv-document-file-format-ef63f66f.svg
text,text-rar-compressed-archive-text-c62d42dd-sub32,81,32,1,pass,icon_set/model/icons/sub/text_rar_compressed_archive_text_c62d42dd_sub32.py,icon_set/dist/text32/text-rar-compressed-archive-text-c62d42dd.svg
text,text-png-image-file-format-e28a22fc-sub32,80,32,1,pass,icon_set/model/icons/sub/text_png_image_file_format_e28a22fc_sub32.py,icon_set/dist/text32/text-png-image-file-format-e28a22fc.svg
text,text-powerpoint-presentation-file-label-495571c4-sub32,80,32,1,pass,icon_set/model/icons/sub/text_powerpoint_presentation_file_label_495571c4_sub32.py,icon_set/dist/text32/text-powerpoint-presentation-file-label-495571c4.svg
text,text-svg-file-format-a5e635a2-sub32,80,32,1,pass,icon_set/model/icons/sub/text_svg_file_format_a5e635a2_sub32.py,icon_set/dist/text32/text-svg-file-format-a5e635a2.svg
text,text-truetype-font-format-c8645b67-sub32,80,32,1,pass,icon_set/model/icons/sub/text_truetype_font_format_c8645b67_sub32.py,icon_set/dist/text32/text-truetype-font-format-c8645b67.svg
text,text-aac-audio-format-text-149b77a8-sub32,79,32,1,pass,icon_set/model/icons/sub/text_aac_audio_format_text_149b77a8_sub32.py,icon_set/dist/text32/text-aac-audio-format-text-149b77a8.svg
text,text-android-package-application-label-23d4a745-sub32,79,32,1,pass,icon_set/model/icons/sub/text_android_package_application_label_23d4a745_sub32.py,icon_set/dist/text32/text-android-package-application-label-23d4a745.svg
text,text-application-text-label-b583b017-sub32,79,32,1,pass,icon_set/model/icons/sub/text_application_text_label_b583b017_sub32.py,icon_set/dist/text32/text-application-text-label-b583b017.svg
text,text-opentype-font-format-symbol-627bd01b-sub32,79,32,1,pass,icon_set/model/icons/sub/text_opentype_font_format_symbol_627bd01b_sub32.py,icon_set/dist/text32/text-opentype-font-format-symbol-627bd01b.svg
text,text-rtf-rich-text-format-091610fa-sub32,79,32,1,pass,icon_set/model/icons/sub/text_rtf_rich_text_format_091610fa_sub32.py,icon_set/dist/text32/text-rtf-rich-text-format-091610fa.svg
text,text-asp-scripting-language-label-309534af-sub32,78,32,1,pass,icon_set/model/icons/sub/text_asp_scripting_language_label_309534af_sub32.py,icon_set/dist/text32/text-asp-scripting-language-label-309534af.svg
text,text-css-web-styling-symbol-4e86ad2e-sub32-v2,78,32,1,pass,icon_set/model/icons/sub/text_css_web_styling_symbol_4e86ad2e_sub32_v2_4e86ad2e_5a24_449c_8379_d7e832726bb6.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/text-css-web-styling-symbol-4e86ad2e.svg
text,text-uppercase-key-text-fa9f251d-sub32,78,32,1,pass,icon_set/model/icons/sub/text_uppercase_key_text_fa9f251d_sub32.py,icon_set/dist/text32/text-uppercase-key-text-fa9f251d.svg
text,side-text-64a2b4af-sub32,77,32,1,pass,icon_set/model/icons/sub/side_text_64a2b4af_sub32.py,icon_set/dist/text32/side-text-64a2b4af.svg
text,text-doc-document-file-type-f27ed688-sub32,77,32,1,pass,icon_set/model/icons/sub/text_doc_document_file_type_f27ed688_sub32.py,icon_set/dist/text32/text-doc-document-file-type-f27ed688.svg
text,text-pps-text-symbol-f5410e0a-sub32,77,32,1,pass,icon_set/model/icons/sub/text_pps_text_symbol_f5410e0a_sub32.py,icon_set/dist/text32/text-pps-text-symbol-f5410e0a.svg
text,text-psd-file-format-type-f7c89911-sub32,77,32,1,pass,icon_set/model/icons/sub/text_psd_file_format_type_f7c89911_sub32.py,icon_set/dist/text32/text-psd-file-format-type-f7c89911.svg
text,text-dxf-file-format-symbol-ef7bb64f-sub32,76,32,1,pass,icon_set/model/icons/sub/text_dxf_file_format_symbol_ef7bb64f_sub32.py,icon_set/dist/text32/text-dxf-file-format-symbol-ef7bb64f.svg
text,text-pdf-document-format-text-69501e04-sub32,76,32,1,pass,icon_set/model/icons/sub/text_pdf_document_format_text_69501e04_sub32.py,icon_set/dist/text32/text-pdf-document-format-text-69501e04.svg
text,text-eps-vector-file-format-006d9246-sub32,75,32,1,pass,icon_set/model/icons/sub/text_eps_vector_file_format_006d9246_sub32.py,icon_set/dist/text32/text-eps-vector-file-format-006d9246.svg
text,text-hqx-capital-letters-e167c65e-sub32-v2,75,32,1,pass,icon_set/model/icons/sub/text_hqx_capital_letters_e167c65e_sub32_v2_e167c65e_bbc2_4b60_8391_90d28768985a.py,icon_set/dist/text32/text-hqx-capital-letters-e167c65e.svg
text,text-jpg-image-file-format-9b773d14-sub32,75,32,1,pass,icon_set/model/icons/sub/text_jpg_image_file_format_9b773d14_sub32.py,icon_set/dist/text32/text-jpg-image-file-format-9b773d14.svg
text,text-mid-frequency-label-5fa35620-sub32,75,32,1,pass,icon_set/model/icons/sub/text_mid_frequency_label_5fa35620_sub32.py,icon_set/dist/text32/text-mid-frequency-label-5fa35620.svg
text,text-xls-spreadsheet-file-format-537c3e64-sub32,75,32,1,pass,icon_set/model/icons/sub/text_xls_spreadsheet_file_format_537c3e64_sub32.py,icon_set/dist/text32/text-xls-spreadsheet-file-format-537c3e64.svg
text,side-text-3f56ca0b-sub32,74,32,1,pass,icon_set/model/icons/sub/side_text_3f56ca0b_sub32.py,icon_set/dist/text32/side-text-3f56ca0b.svg
text,text-executable-file-format-symbol-f31ac6f8-sub32,74,32,1,pass,icon_set/model/icons/sub/text_executable_file_format_symbol_f31ac6f8_sub32.py,icon_set/dist/text32/text-executable-file-format-symbol-f31ac6f8.svg
text,text-flv-video-file-format-e3a73450-sub32,74,32,1,pass,icon_set/model/icons/sub/text_flv_video_file_format_e3a73450_sub32.py,icon_set/dist/text32/text-flv-video-file-format-e3a73450.svg
text,text-sql-database-text-label-605ae118-sub32-v2,70,32,1,pass,icon_set/model/icons/sub/text_sql_database_text_label_605ae118_sub32_v2_605ae118_906d_4c8d_bcbf_5788e09b5a33.py,icon_set/dist/text32/text-sql-database-text-label-605ae118.svg
text,side-text-77375878-sub32,68,32,1,pass,icon_set/model/icons/sub/side_text_77375878_sub32.py,icon_set/dist/text32/side-text-77375878.svg
text,text-camera-iso-sensitivity-icon-dc80c148-sub32,68,32,1,pass,icon_set/model/icons/sub/text_camera_iso_sensitivity_icon_dc80c148_sub32.py,icon_set/dist/text32/text-camera-iso-sensitivity-icon-dc80c148.svg
text,text-waste-bin-text-icon-f0d91ba4-sub32,68,32,1,pass,icon_set/model/icons/sub/text_waste_bin_text_icon_f0d91ba4_sub32.py,icon_set/dist/text32/text-waste-bin-text-icon-f0d91ba4.svg
text,text-aif-text-icon-160d4fd7-sub32,67,32,1,pass,icon_set/model/icons/sub/text_aif_text_icon_160d4fd7_sub32.py,icon_set/dist/text32/text-aif-text-icon-160d4fd7.svg
text,text-gif-file-format-icon-3d3b075e-sub32,66,32,1,pass,icon_set/model/icons/sub/text_gif_file_format_icon_3d3b075e_sub32.py,icon_set/dist/text32/text-gif-file-format-icon-3d3b075e.svg
text,state32-204ecec0-870d-4feb-9da5-e8ed98b8f9c3-v3,65,32,1,pass,icon_set/model/icons/sub/state32_204ecec0_870d_4feb_9da5_e8ed98b8f9c3_v3_204ecec0_870d_4feb_9da5_e8ed98b8f9c3.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/state/circle equal_204ecec0-870d-4feb-9da5-e8ed98b8f9c3.svg
icon,arrow-trend-down-v2,64,64,3,pass,icon_set/model/icons/sub/arrow_trend_down_v2_8f851035_a23c_4987_b4d5_c04e4caed827.py,pictographic-primitives/state/circle downtrend arrow_8f851035-a23c-4987-b4d5-c04e4caed827.svg
icon,house-sub-v2,64,64,3,pass,icon_set/model/icons/sub/house_sub_v2_37b7d84a_3d3a_4e68_9fa0_db3c6d240895.py,pictographic-primitives/state/house circle_37b7d84a-3d3a-4e68-9fa0-db3c6d240895.svg
icon,information-letter-state-141-v2,64,64,1,pass,icon_set/model/icons/sub/information_letter_state_141_v2_3f358614_5fa8_4452_b0ea_706946b19adc.py,pictographic-primitives/state/information_3f358614-5fa8-4452-b0ea-706946b19adc.svg
icon,letter-a-sub-v2,64,64,1,pass,icon_set/model/icons/sub/letter_a_sub_v2_892ef37d_05df_4d38_ac5b_1bfa3f406d52.py,pictographic-primitives/state/a text in circle_892ef37d-05df-4d38-ac5b-1bfa3f406d52.svg
icon,letter-b-sub-v2,64,64,1,pass,icon_set/model/icons/sub/letter_b_sub_v2_bc52ca8a_3c94_4ea2_a571_d56f66bbeff1.py,pictographic-primitives/state/b text in circle_bc52ca8a-3c94-4ea2-a571-d56f66bbeff1.svg
icon,letter-p-sub-v2,64,64,1,pass,icon_set/model/icons/sub/letter_p_sub_v2_bbef2f22_09ba_4680_84c3_fd24ec215e0b.py,pictographic-primitives/state/circle p_bbef2f22-09ba-4680-84c3-fd24ec215e0b.svg
icon,letter-r-sub-v2,64,64,2,pass,icon_set/model/icons/sub/letter_r_sub_v2_bacc3012_d61e_47f0_8068_aba74c1f83c7.py,pictographic-primitives/state/circle R_bacc3012-d61e-47f0-8068-aba74c1f83c7.svg
icon,text-tool-t-v2,64,64,1,pass,icon_set/model/icons/sub/text_tool_t_v2_c50b60b1_2dc6_4030_9b5e_382aaf24bf10.py,pictographic-primitives/state/circle text tool_c50b60b1-2dc6-4030-9b5e-382aaf24bf10.svg
icon,tm-text-v2,64,64,1,pass,icon_set/model/icons/sub/tm_text_v2_0f425c8c_5acb_4425_9800_ca04332f5010.py,pictographic-primitives/state/circle tm_0f425c8c-5acb-4425-9800-ca04332f5010.svg
icon,password-characters-v2,64,32,2,pass,icon_set/model/icons/sub/password_characters_v2_b9ace82f_9c93_4337_ac44_7380ce0657f4.py,pictographic-primitives/state/password_b9ace82f-9c93-4337-ac44-7380ce0657f4.svg
text,text-letters-y-and-m-ec50a81c-sub32,62,32,1,pass,icon_set/model/icons/sub/text_letters_y_and_m_ec50a81c_sub32.py,icon_set/dist/text32/text-letters-y-and-m-ec50a81c.svg
icon,uv-text-state-89-v2,56,56,7,pass,icon_set/model/icons/sub/uv_text_state_89_v2_48a70f65_2f7b_43c5_9745_85276a8b9bff.py,pictographic-primitives/state/circle uv_48a70f65-2f7b-43c5-9745-85276a8b9bff.svg
text,text-number-twenty-four-e3ef1255-sub32,55,32,3,pass,icon_set/model/icons/sub/text_number_twenty_four_e3ef1255_sub32.py,icon_set/dist/text32/text-number-twenty-four-e3ef1255.svg
text,side-text-4fd52187-sub32-v3,53,32,3,pass,icon_set/model/icons/sub/side_text_4fd52187_sub32_v3_4fd52187_1c97_4d8d_8d4a_93db88e7190c.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/side-text-4fd52187.svg
text,text-python-programming-language-symbol-c30fbd34-sub32,53,32,1,pass,icon_set/model/icons/sub/text_python_programming_language_symbol_c30fbd34_sub32.py,icon_set/dist/text32/text-python-programming-language-symbol-c30fbd34.svg
text,text-times-four-multiplier-2aa72adc-sub32,53,32,2,pass,icon_set/model/icons/sub/text_times_four_multiplier_2aa72adc_sub32.py,icon_set/dist/text32/text-times-four-multiplier-2aa72adc.svg
icon,padlock-state-167-v2,48,52,2,pass,icon_set/model/icons/sub/padlock_state_167_v2_ea7c167c_f5f4_4220_ad13_315cf015097a.py,pictographic-primitives/state/message lock_ea7c167c-f5f4-4220-ad13-315cf015097a.svg
text,side-text-ef2194cc-sub32,52,32,1,pass,icon_set/model/icons/sub/side_text_ef2194cc_sub32.py,icon_set/dist/text32/side-text-ef2194cc.svg
text,side-text-0f609222-sub32,51,32,1,pass,icon_set/model/icons/sub/side_text_0f609222_sub32.py,icon_set/dist/text32/side-text-0f609222.svg
text,side-text-259c0878-sub32-v2,51,32,1,pass,icon_set/model/icons/sub/side_text_259c0878_sub32_v2_259c0878_528e_42fb_8d9f_56fe04a84b03.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/side-text-259c0878.svg
text,text-5g-wireless-network-symbol-0440d8eb-sub32,51,32,5,pass,icon_set/model/icons/sub/text_5g_wireless_network_symbol_0440d8eb_sub32.py,icon_set/dist/text32/text-5g-wireless-network-symbol-0440d8eb.svg
text,text-uppercase-letters-q-and-t-08bec648-sub32-v2,51,32,1,pass,icon_set/model/icons/sub/text_uppercase_letters_q_and_t_08bec648_sub32_v2_08bec648_2d52_4612_97b2_467c1570d4eb.py,icon_set/dist/text32/text-uppercase-letters-q-and-t-08bec648.svg
text,text-uppercase-letters-rb-928601b1-sub32,51,32,1,pass,icon_set/model/icons/sub/text_uppercase_letters_rb_928601b1_sub32.py,icon_set/dist/text32/text-uppercase-letters-rb-928601b1.svg
text,side-text-cc92659e-sub32,50,32,1,pass,icon_set/model/icons/sub/side_text_cc92659e_sub32.py,icon_set/dist/text32/side-text-cc92659e.svg
text,text-three-dimensional-view-symbol-bb238e45-sub32,49,32,2,pass,icon_set/model/icons/sub/text_three_dimensional_view_symbol_bb238e45_sub32.py,icon_set/dist/text32/text-three-dimensional-view-symbol-bb238e45.svg
icon,angry-face-sub-v2,48,48,1,pass,icon_set/model/icons/sub/angry_face_sub_v2_9802f3b3_14f1_41fb_954f_f96700d43da8.py,pictographic-primitives/state/face angry_9802f3b3-14f1-41fb-954f-f96700d43da8.svg
icon,ascending-bar-chart-v2,48,48,1,pass,icon_set/model/icons/sub/ascending_bar_chart_v2_e4d7986d_cfb8_4c53_bf8a_4f0068eb73e4.py,pictographic-primitives/state/circle bar_e4d7986d-cfb8-4c53-bf8a-4f0068eb73e4.svg
icon,cube-sub-v2,48,48,1,pass,icon_set/model/icons/sub/cube_sub_v2_76ca25eb_ec7a_4588_b4d3_72d2792ce8ed.py,pictographic-primitives/state/magnifying glass cube_76ca25eb-ec7a-4588-b4d3-72d2792ce8ed.svg
icon,mountain-image-state-206-v3,48,48,1,pass,icon_set/model/icons/sub/mountain_image_state_206_v3_abfa4d34_f0c4_4ef1_8fdf_cc3a1edb6828.py,pictographic-primitives/state/photo_abfa4d34-f0c4-4ef1-8fdf-cc3a1edb6828.svg
icon,nanobot-sub-v2,48,48,1,pass,icon_set/model/icons/sub/nanobot_sub_v2_e98db6d6_6f1e_4606_83b7_893ae0481377.py,pictographic-primitives/state/circle nanobot_e98db6d6-6f1e-4606-83b7-893ae0481377.svg
icon,next-playback-v2,48,48,2,pass,icon_set/model/icons/sub/next_playback_v2_97e55857_e9a6_4c5f_83bf_abfd96b372ad.py,pictographic-primitives/state/circle play forward_97e55857-e9a6-4c5f-83bf-abfd96b372ad.svg
icon,pound-sign-sub-v2,48,48,1,pass,icon_set/model/icons/sub/pound_sign_sub_v2_d00222dd_fe8c_4806_ad6b_9c8ece57b642.py,pictographic-primitives/state/circle pound_d00222dd-fe8c-4806-ad6b-9c8ece57b642.svg
icon,previous-playback-v2,48,48,2,pass,icon_set/model/icons/sub/previous_playback_v2_3294e22b_6050_499d_a5f0_136976417b3b.py,pictographic-primitives/state/circle play backward_3294e22b-6050-499d-a5f0-136976417b3b.svg
icon,reply-all-arrow-v2,48,48,1,pass,icon_set/model/icons/sub/reply_all_arrow_v2_e93efebe_fde8_4d29_bd45_6ac0214da999.py,pictographic-primitives/state/circle reply all_e93efebe-fde8-4d29-bd45-6ac0214da999.svg
icon,sperm-cell-v2,48,48,1,pass,icon_set/model/icons/sub/sperm_cell_v2_ff7e8050_8817_4660_b5a8_3ebce79568b0.py,pictographic-primitives/state/slash sperm_ff7e8050-8817-4660-b5a8-3ebce79568b0.svg
icon,user-bust-sub-v2,48,48,3,pass,icon_set/model/icons/sub/user_bust_sub_v2_9f8da9e5_3911_4d36_a97e_ea83c9dff05a.py,pictographic-primitives/state/circle user minus_9f8da9e5-3911-4d36-a97e-ea83c9dff05a.svg
icon,zero-v3,48,48,1,pass,icon_set/model/icons/sub/zero_v3_e3714f65_499d_4ba7_9ecb_87ecc26acfff.py,pictographic-primitives/state/0 text in circle_e3714f65-499d-4ba7-9ecb-87ecc26acfff.svg
icon,audio-waveform-v2,44,48,2,pass,icon_set/model/icons/sub/audio_waveform_v2_f991ef0f_2aa9_4924_9670_c07e3215f3a9.py,pictographic-primitives/state/microphone sound_f991ef0f-2aa9-4924-9670-c07e3215f3a9.svg
icon,horizontal-sliders-v2,48,42,2,pass,icon_set/model/icons/sub/horizontal_sliders_v2_4642813d_98a5_4ee8_9563_106b13378a4b.py,pictographic-primitives/state/square slider_4642813d-98a5-4ee8-9563-106b13378a4b.svg
icon,divided-capsule-v2,40,48,1,pass,icon_set/model/icons/sub/divided_capsule_v2_63768576_e3c2_41a6_925a_10bbe0f0af14.py,pictographic-primitives/state/rtf format_63768576-e3c2-41a6-925a-10bbe0f0af14.svg
icon,sand-pile-v3,48,40,1,pass,icon_set/model/icons/sub/sand_pile_v3_039d6076_f6f0_4285_9273_7fe0e43d2b2e.py,pictographic-primitives/state/sand_039d6076-f6f0-4285-9273-7fe0e43d2b2e.svg
icon,diagonal-slash-v2,36,48,1,pass,icon_set/model/icons/sub/diagonal_slash_v2_bcec186a_7cb0_4c7c_9e2b_c1241cc798a2.py,pictographic-primitives/state/rectangle slash_bcec186a-7cb0-4c7c-9e2b-c1241cc798a2.svg
icon,bitcoin-speech-bubble-solo-profile32-v4,32,48,14,pass,icon_set/model/icons/sub/bitcoin_speech_bubble_solo_profile32_v4_1b6ce2a0_ce30_49ce_99cf_a772bb04245d.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/symbol/messages bubble round bitcoin_1b6ce2a0-ce30-49ce-99cf-a772bb04245d.svg
icon,key-state-143-v2,48,32,1,pass,icon_set/model/icons/sub/key_state_143_v2_8b4fe16b_01b4_4124_995d_f69a0724af25.py,pictographic-primitives/state/key horizontal rectangle_8b4fe16b-01b4-4124-995d-f69a0724af25.svg
icon,mobile-contactless-payment-solo-profile32-v3,32,48,1,pass,icon_set/model/icons/sub/mobile_contactless_payment_solo_profile32_v3_8d317b81_2d88_4d5c_9090_0c063df565b3.py,pictographic-primitives/other/mobile phone dollar sign wireless_8d317b81-2d88-4d5c-9090-0c063df565b3.svg
icon,mobile-wireless-pound-payment-solo-profile32-v3,32,48,1,pass,icon_set/model/icons/sub/mobile_wireless_pound_payment_solo_profile32_v3_3ebbbe60_66ff_4346_a1c8_9367527d9ea9.py,pictographic-primitives/other/mobile phone pound sign wireless_3ebbbe60-66ff-4346-a1c8-9367527d9ea9.svg
icon,pause-bars-v2,32,48,1,pass,icon_set/model/icons/sub/pause_bars_v2_b4668e9a_a445_4547_ab4c_3cab57aef111.py,pictographic-primitives/state/mobile phone control pause_b4668e9a-a445-4547-ab4c-3cab57aef111.svg
icon,shield-star-sub32-v4,32,48,6,pass,icon_set/model/icons/sub/shield_star_sub32_v4_60d67027_c2f9_4f11_b004_21bd27fe11f2.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/protection/shield star_60d67027-c2f9-4f11-b004-21bd27fe11f2.svg
text,text-capital-letters-p-and-l-e5930783-sub32,48,32,1,pass,icon_set/model/icons/sub/text_capital_letters_p_and_l_e5930783_sub32.py,icon_set/dist/text32/text-capital-letters-p-and-l-e5930783.svg
text,text-closed-captions-icon-90913ece-sub32-v2,48,32,2,pass,icon_set/model/icons/sub/text_closed_captions_icon_90913ece_sub32_v2_90913ece_3e45_4b69_b088_eabf18ccdedd.py,/Applications/Workspaces/pictographic/claude_skills/icon_set/dist/text32/text-closed-captions-icon-90913ece.svg
text,won-sub32-v2,48,32,1,pass,icon_set/model/icons/sub/won_sub32_v2_18f047b9_f81e_571a_a3ea_2c4af962bcb7.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/money/won_18f047b9-f81e-571a-a3ea-2c4af962bcb7.svg
text,text-javascript-programming-logo-8ff6de00-sub32,46,32,1,pass,icon_set/model/icons/sub/text_javascript_programming_logo_8ff6de00_sub32.py,icon_set/dist/text32/text-javascript-programming-logo-8ff6de00.svg
text,text-number-ten-symbol-bb0be6c6-sub32,45,32,1,pass,icon_set/model/icons/sub/text_number_ten_symbol_bb0be6c6_sub32.py,icon_set/dist/text32/text-number-ten-symbol-bb0be6c6.svg
icon,british-pound-invoice-document-solo-profile32-v4,32,44,3,pass,icon_set/model/icons/sub/british_pound_invoice_document_solo_profile32_v4_d540aa9a_0088_4ba3_b31e_9f6965432001.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/other/pound bill_d540aa9a-0088-4ba3-b31e-9f6965432001.svg
icon,money-chat-bubble-solo-profile32-v4,32,42,8,pass,icon_set/model/icons/sub/money_chat_bubble_solo_profile32_v4_e2581dc8_469f_4d41_8bc1_20ad32b80072.py,/Applications/Workspaces/pictographic/claude_skills/pictographic-primitives/symbol/messages bubble square dollar sign_e2581dc8-469f-4d41-8bc1-20ad32b80072.svg
text,side-text-03f5123c-sub32,41,32,1,pass,icon_set/model/icons/sub/side_text_03f5123c_sub32.py,icon_set/dist/text32/side-text-03f5123c.svg
