shopping-basket  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/shopping-basket.svg)
     0.0  arc/quarter-circle   from <path>  d=M17 3A2 2 0 0 1 19 5
     0.1  line/vertical        from <path>  d=M19 5L19 20
     0.2  arc/circular         from <path>  d=M19 20A1 1 0 0 1 17.504 20.868
     0.3  line/diagonal        from <path>  d=M17.504 20.868L12.992 18.29
     0.4  arc/circular         from <path>  d=M12.992 18.29A2 2 0 0 0 11.008 18.29
     0.5  line/diagonal        from <path>  d=M11.008 18.29L6.496 20.868
     0.6  arc/circular         from <path>  d=M6.496 20.868A1 1 0 0 1 5 20
     0.7  line/vertical        from <path>  d=M5 20L5 5
     0.8  arc/quarter-circle   from <path>  d=M5 5A2 2 0 0 1 7 3
     0.9  line/horizontal      from <path>  d=M7 3L17 3
book-open  15 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/book-open.svg)
     0.0  line/vertical        from <path>  d=M12 5L12 21
     1.0  arc/circular         from <path>  d=M20.001 19A2 2 0 0 0 22 17
     1.1  line/vertical        from <path>  d=M22 17L22 5
     1.2  arc/circular         from <path>  d=M22 5A2 2 0 0 0 20.001 3
     1.3  line/diagonal        from <path>  d=M20.001 3L16 3.002
     1.4  arc/circular         from <path>  d=M16 3.002A5 5 0 0 0 12 5
     1.5  arc/circular         from <path>  d=M12 5A5 5 0 0 0 8 3
     1.6  line/horizontal      from <path>  d=M8 3L4 3
     1.7  arc/quarter-circle   from <path>  d=M4 3A2 2 0 0 0 2 5
     1.8  line/vertical        from <path>  d=M2 5L2 17
     1.9  arc/circular         from <path>  d=M2 17A2 2 0 0 0 3.999 19
    1.10  line/horizontal      from <path>  d=M3.999 19L8 19
    1.11  arc/circular         from <path>  d=M8 19A5 5 0 0 1 12 21
    1.12  arc/circular         from <path>  d=M12 21A5 5 0 0 1 16 19
    1.13  line/horizontal      from <path>  d=M16 19L20.001 19
car-front  19 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/car-front.svg)
     0.0  line/diagonal        from <path>  d=M21 8L19 10
     0.1  line/diagonal        from <path>  d=M19 10L17.5 6.3
     0.2  arc/circular         from <path>  d=M17.5 6.3A2 2 0 0 0 15.646 5
     0.3  line/horizontal      from <path>  d=M15.646 5L8.4 5
     0.4  arc/circular         from <path>  d=M8.4 5A2 2 0 0 0 6.497 6.257
     0.5  line/diagonal        from <path>  d=M6.497 6.257L5 10
     0.6  line/diagonal        from <path>  d=M5 10L3 8
     1.0  line/horizontal      from <path>  d=M7 14L7.01 14
     2.0  line/horizontal      from <path>  d=M17 14L17.01 14
     3.0  line/horizontal      from <rect>  d=M5 10L19 10
     3.1  arc/quarter-circle   from <rect>  d=M19 10A2 2 0 0 1 21 12
     3.2  line/vertical        from <rect>  d=M21 12L21 16
     3.3  arc/quarter-circle   from <rect>  d=M21 16A2 2 0 0 1 19 18
     3.4  line/horizontal      from <rect>  d=M19 18L5 18
     3.5  arc/quarter-circle   from <rect>  d=M5 18A2 2 0 0 1 3 16
     3.6  line/vertical        from <rect>  d=M3 16L3 12
     3.7  arc/quarter-circle   from <rect>  d=M3 12A2 2 0 0 1 5 10
     4.0  line/vertical        from <path>  d=M5 18L5 20
     5.0  line/vertical        from <path>  d=M19 18L19 20
droplet  6 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/droplet.svg)
     0.0  arc/quarter-circle   from <path>  d=M12 22A7 7 0 0 0 19 15
     0.1  cubic                from <path>  d=M19 15C19 13 18 11.1 16 9.5
     0.2  cubic                from <path>  d=M16 9.5C14 7.9 12.5 5.5 12 3
     0.3  cubic                from <path>  d=M12 3C11.5 5.5 10 7.9 8 9.5
     0.4  cubic                from <path>  d=M8 9.5C6 11.1 5 13 5 15
     0.5  arc/quarter-circle   from <path>  d=M5 15A7 7 0 0 0 12 22
brain  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/brain.svg)
     0.0  line/vertical        from <path>  d=M12 18L12 5
     1.0  arc/circular         from <path>  d=M15 13A4.17 4.17 0 0 1 12 9
     1.1  arc/circular         from <path>  d=M12 9A4.17 4.17 0 0 1 9 13
     2.0  arc/circular         from <path>  d=M17.598 6.5A3 3 0 1 0 12 5
     2.1  arc/circular         from <path>  d=M12 5A3 3 0 1 0 6.402 6.5
     3.0  arc/circular         from <path>  d=M17.997 5.125A4 4 0 0 1 20.523 10.895
     4.0  arc/circular         from <path>  d=M18 18A4 4 0 0 0 20 10.536
     5.0  arc/circular         from <path>  d=M19.967 17.483A4 4 0 1 1 12 18
     5.1  arc/circular         from <path>  d=M12 18A4 4 0 1 1 4.033 17.483
     6.0  arc/circular         from <path>  d=M6 18A4 4 0 0 1 4 10.536
     7.0  arc/circular         from <path>  d=M6.003 5.125A4 4 0 0 0 3.477 10.895
cog  20 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/cog.svg)
     0.0  line/diagonal        from <path>  d=M11 10.27L7 3.34
     1.0  line/diagonal        from <path>  d=M11 13.73L7 20.66
     2.0  line/vertical        from <path>  d=M12 22L12 20
     3.0  line/vertical        from <path>  d=M12 2L12 4
     4.0  line/horizontal      from <path>  d=M14 12L22 12
     5.0  line/diagonal        from <path>  d=M17 20.66L16 18.93
     6.0  line/diagonal        from <path>  d=M17 3.34L16 5.07
     7.0  line/horizontal      from <path>  d=M2 12L4 12
     8.0  line/diagonal        from <path>  d=M20.66 17L18.93 16
     9.0  line/diagonal        from <path>  d=M20.66 7L18.93 8
    10.0  line/diagonal        from <path>  d=M3.34 17L5.07 16
    11.0  line/diagonal        from <path>  d=M3.34 7L5.07 8
    12.0  arc/quarter-circle   from <circle>  d=M14 12A2 2 0 0 1 12 14
    12.1  arc/quarter-circle   from <circle>  d=M12 14A2 2 0 0 1 10 12
    12.2  arc/quarter-circle   from <circle>  d=M10 12A2 2 0 0 1 12 10
    12.3  arc/quarter-circle   from <circle>  d=M12 10A2 2 0 0 1 14 12
    13.0  arc/quarter-circle   from <circle>  d=M20 12A8 8 0 0 1 12 20
    13.1  arc/quarter-circle   from <circle>  d=M12 20A8 8 0 0 1 4 12
    13.2  arc/quarter-circle   from <circle>  d=M4 12A8 8 0 0 1 12 4
    13.3  arc/quarter-circle   from <circle>  d=M12 4A8 8 0 0 1 20 12
battery-charging  14 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/battery-charging.svg)
     0.0  line/diagonal        from <path>  d=M11 7L8 12
     0.1  line/horizontal      from <path>  d=M8 12L12 12
     0.2  line/diagonal        from <path>  d=M12 12L9 17
     1.0  line/horizontal      from <path>  d=M14.856 6L16 6
     1.1  arc/quarter-circle   from <path>  d=M16 6A2 2 0 0 1 18 8
     1.2  line/vertical        from <path>  d=M18 8L18 16
     1.3  arc/quarter-circle   from <path>  d=M18 16A2 2 0 0 1 16 18
     1.4  line/horizontal      from <path>  d=M16 18L13.065 18
     2.0  line/vertical        from <path>  d=M22 14L22 10
     3.0  line/horizontal      from <path>  d=M5.14 18L4 18
     3.1  arc/quarter-circle   from <path>  d=M4 18A2 2 0 0 1 2 16
     3.2  line/vertical        from <path>  d=M2 16L2 8
     3.3  arc/quarter-circle   from <path>  d=M2 8A2 2 0 0 1 4 6
     3.4  line/horizontal      from <path>  d=M4 6L6.936 6
folder  12 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/folder.svg)
     0.0  arc/quarter-circle   from <path>  d=M20 20A2 2 0 0 0 22 18
     0.1  line/vertical        from <path>  d=M22 18L22 8
     0.2  arc/quarter-circle   from <path>  d=M22 8A2 2 0 0 0 20 6
     0.3  line/horizontal      from <path>  d=M20 6L12.1 6
     0.4  arc/circular         from <path>  d=M12.1 6A2 2 0 0 1 10.41 5.1
     0.5  line/diagonal        from <path>  d=M10.41 5.1L9.6 3.9
     0.6  arc/circular         from <path>  d=M9.6 3.9A2 2 0 0 0 7.93 3
     0.7  line/horizontal      from <path>  d=M7.93 3L4 3
     0.8  arc/quarter-circle   from <path>  d=M4 3A2 2 0 0 0 2 5
     0.9  line/vertical        from <path>  d=M2 5L2 18
    0.10  arc/quarter-circle   from <path>  d=M2 18A2 2 0 0 0 4 20
    0.11  line/horizontal      from <path>  d=M4 20L20 20
lightbulb  7 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/lightbulb.svg)
     0.0  cubic                from <path>  d=M15 14C15.2 13 15.7 12.3 16.5 11.5
     0.1  cubic                from <path>  d=M16.5 11.5C17.5 10.6 18 9.3 18 8
     0.2  arc/circular         from <path>  d=M18 8A6 6 0 0 0 6 8
     0.3  cubic                from <path>  d=M6 8C6 9 6.2 10.2 7.5 11.5
     0.4  cubic                from <path>  d=M7.5 11.5C8.2 12.2 8.8 13 9 14
     1.0  line/horizontal      from <path>  d=M9 18L15 18
     2.0  line/horizontal      from <path>  d=M10 22L14 22
camera  20 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/camera.svg)
     0.0  arc/circular         from <path>  d=M13.997 4A2 2 0 0 1 15.757 5.05
     0.1  line/diagonal        from <path>  d=M15.757 5.05L16.243 5.95
     0.2  arc/circular         from <path>  d=M16.243 5.95A2 2 0 0 0 18.003 7
     0.3  line/horizontal      from <path>  d=M18.003 7L20 7
     0.4  arc/quarter-circle   from <path>  d=M20 7A2 2 0 0 1 22 9
     0.5  line/vertical        from <path>  d=M22 9L22 18
     0.6  arc/quarter-circle   from <path>  d=M22 18A2 2 0 0 1 20 20
     0.7  line/horizontal      from <path>  d=M20 20L4 20
     0.8  arc/quarter-circle   from <path>  d=M4 20A2 2 0 0 1 2 18
     0.9  line/vertical        from <path>  d=M2 18L2 9
    0.10  arc/quarter-circle   from <path>  d=M2 9A2 2 0 0 1 4 7
    0.11  line/horizontal      from <path>  d=M4 7L5.997 7
    0.12  arc/circular         from <path>  d=M5.997 7A2 2 0 0 0 7.756 5.952
    0.13  line/diagonal        from <path>  d=M7.756 5.952L8.245 5.048
    0.14  arc/circular         from <path>  d=M8.245 5.048A2 2 0 0 1 10.004 4
    0.15  line/horizontal      from <path>  d=M10.004 4L13.997 4
     1.0  arc/quarter-circle   from <circle>  d=M15 13A3 3 0 0 1 12 16
     1.1  arc/quarter-circle   from <circle>  d=M12 16A3 3 0 0 1 9 13
     1.2  arc/quarter-circle   from <circle>  d=M9 13A3 3 0 0 1 12 10
     1.3  arc/quarter-circle   from <circle>  d=M12 10A3 3 0 0 1 15 13
heart  8 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/heart.svg)
     0.0  arc/circular         from <path>  d=M2 9.5A5.5 5.5 0 0 1 11.591 5.824
     0.1  arc/circular         from <path>  d=M11.591 5.824A0.56 0.56 0 0 0 12.409 5.824
     0.2  arc/circular         from <path>  d=M12.409 5.824A5.49 5.49 0 0 1 22 9.5
     0.3  cubic                from <path>  d=M22 9.5C22 11.79 20.5 13.5 19 15
     0.4  line/diagonal        from <path>  d=M19 15L13.508 20.313
     0.5  arc/circular         from <path>  d=M13.508 20.313A2 2 0 0 1 10.508 20.332
     0.6  line/diagonal        from <path>  d=M10.508 20.332L5 15
     0.7  cubic                from <path>  d=M5 15C3.5 13.5 2 11.8 2 9.5
package  16 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/package.svg)
     0.0  arc/circular         from <path>  d=M11 21.73A2 2 0 0 0 13 21.73
     0.1  line/diagonal        from <path>  d=M13 21.73L20 17.73
     0.2  arc/circular         from <path>  d=M20 17.73A2 2 0 0 0 21 16
     0.3  line/vertical        from <path>  d=M21 16L21 8
     0.4  arc/circular         from <path>  d=M21 8A2 2 0 0 0 20 6.27
     0.5  line/diagonal        from <path>  d=M20 6.27L13 2.27
     0.6  arc/circular         from <path>  d=M13 2.27A2 2 0 0 0 11 2.27
     0.7  line/diagonal        from <path>  d=M11 2.27L4 6.27
     0.8  arc/circular         from <path>  d=M4 6.27A2 2 0 0 0 3 8
     0.9  line/vertical        from <path>  d=M3 8L3 16
    0.10  arc/circular         from <path>  d=M3 16A2 2 0 0 0 4 17.73
    0.11  line/diagonal        from <path>  d=M4 17.73L11 21.73
     1.0  line/vertical        from <path>  d=M12 22L12 12
     2.0  line/diagonal        from <polyline>  d=M3.29 7L12 12
     2.1  line/diagonal        from <polyline>  d=M12 12L20.71 7
     3.0  line/diagonal        from <path>  d=M7.5 4.27L16.5 9.42
laptop  13 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/laptop.svg)
     0.0  arc/quarter-circle   from <path>  d=M18 5A2 2 0 0 1 20 7
     0.1  line/vertical        from <path>  d=M20 7L20 15.526
     0.2  arc/circular         from <path>  d=M20 15.526A2 2 0 0 0 20.212 16.423
     0.3  line/diagonal        from <path>  d=M20.212 16.423L21.28 18.55
     0.4  arc/circular         from <path>  d=M21.28 18.55A1 1 0 0 1 20.38 20
     0.5  line/horizontal      from <path>  d=M20.38 20L3.62 20
     0.6  arc/circular         from <path>  d=M3.62 20A1 1 0 0 1 2.72 18.55
     0.7  line/diagonal        from <path>  d=M2.72 18.55L3.788 16.423
     0.8  arc/circular         from <path>  d=M3.788 16.423A2 2 0 0 0 4 15.526
     0.9  line/vertical        from <path>  d=M4 15.526L4 7
    0.10  arc/quarter-circle   from <path>  d=M4 7A2 2 0 0 1 6 5
    0.11  line/horizontal      from <path>  d=M6 5L18 5
     1.0  line/horizontal      from <path>  d=M20.054 15.987L3.946 15.987
lock  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/lock.svg)
     0.0  line/horizontal      from <rect>  d=M5 11L19 11
     0.1  arc/quarter-circle   from <rect>  d=M19 11A2 2 0 0 1 21 13
     0.2  line/vertical        from <rect>  d=M21 13L21 20
     0.3  arc/quarter-circle   from <rect>  d=M21 20A2 2 0 0 1 19 22
     0.4  line/horizontal      from <rect>  d=M19 22L5 22
     0.5  arc/quarter-circle   from <rect>  d=M5 22A2 2 0 0 1 3 20
     0.6  line/vertical        from <rect>  d=M3 20L3 13
     0.7  arc/quarter-circle   from <rect>  d=M3 13A2 2 0 0 1 5 11
     1.0  line/vertical        from <path>  d=M7 11L7 7
     1.1  arc/circular         from <path>  d=M7 7A5 5 0 0 1 17 7
     1.2  line/vertical        from <path>  d=M17 7L17 11
trophy  25 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/trophy.svg)
     0.0  line/vertical        from <path>  d=M10 14.66L10 17
     0.1  arc/quarter-circle   from <path>  d=M10 17A1 1 0 0 1 9 18
     0.2  arc/quarter-circle   from <path>  d=M9 18A2 2 0 0 0 7 20
     0.3  line/vertical        from <path>  d=M7 20L7 22
     1.0  line/vertical        from <path>  d=M14 14.66L14 17
     1.1  arc/quarter-circle   from <path>  d=M14 17A1 1 0 0 0 15 18
     1.2  arc/quarter-circle   from <path>  d=M15 18A2 2 0 0 1 17 20
     1.3  line/vertical        from <path>  d=M17 20L17 22
     2.0  line/horizontal      from <path>  d=M17.916 10L19.5 10
     2.1  arc/quarter-circle   from <path>  d=M19.5 10A2.5 2.5 0 0 0 22 7.5
     2.2  line/vertical        from <path>  d=M22 7.5L22 5
     2.3  arc/quarter-circle   from <path>  d=M22 5A1 1 0 0 0 21 4
     2.4  line/horizontal      from <path>  d=M21 4L18 4
     3.0  line/horizontal      from <path>  d=M4 22L20 22
     4.0  arc/circular         from <path>  d=M6 9A6 6 0 0 0 18 9
     4.1  line/vertical        from <path>  d=M18 9L18 3
     4.2  arc/quarter-circle   from <path>  d=M18 3A1 1 0 0 0 17 2
     4.3  line/horizontal      from <path>  d=M17 2L7 2
     4.4  arc/quarter-circle   from <path>  d=M7 2A1 1 0 0 0 6 3
     4.5  line/vertical        from <path>  d=M6 3L6 9
     5.0  line/horizontal      from <path>  d=M6.084 10L4.5 10
     5.1  arc/quarter-circle   from <path>  d=M4.5 10A2.5 2.5 0 0 1 2 7.5
     5.2  line/vertical        from <path>  d=M2 7.5L2 5
     5.3  arc/quarter-circle   from <path>  d=M2 5A1 1 0 0 1 3 4
     5.4  line/horizontal      from <path>  d=M3 4L6 4
headphones  15 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/headphones.svg)
     0.0  line/horizontal      from <path>  d=M3 14L6 14
     0.1  arc/quarter-circle   from <path>  d=M6 14A2 2 0 0 1 8 16
     0.2  line/vertical        from <path>  d=M8 16L8 19
     0.3  arc/quarter-circle   from <path>  d=M8 19A2 2 0 0 1 6 21
     0.4  line/horizontal      from <path>  d=M6 21L5 21
     0.5  arc/quarter-circle   from <path>  d=M5 21A2 2 0 0 1 3 19
     0.6  line/vertical        from <path>  d=M3 19L3 12
     0.7  arc/circular         from <path>  d=M3 12A9 9 0 0 1 21 12
     0.8  line/vertical        from <path>  d=M21 12L21 19
     0.9  arc/quarter-circle   from <path>  d=M21 19A2 2 0 0 1 19 21
    0.10  line/horizontal      from <path>  d=M19 21L18 21
    0.11  arc/quarter-circle   from <path>  d=M18 21A2 2 0 0 1 16 19
    0.12  line/vertical        from <path>  d=M16 19L16 16
    0.13  arc/quarter-circle   from <path>  d=M16 16A2 2 0 0 1 18 14
    0.14  line/horizontal      from <path>  d=M18 14L21 14
receipt  38 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/receipt.svg)
     0.0  line/vertical        from <path>  d=M12 17L12 7
     1.0  line/horizontal      from <path>  d=M16 8L10 8
     1.1  arc/circular         from <path>  d=M10 8A2 2 0 0 0 10 12
     1.2  line/horizontal      from <path>  d=M10 12L14 12
     1.3  arc/circular         from <path>  d=M14 12A2 2 0 0 1 14 16
     1.4  line/horizontal      from <path>  d=M14 16L8 16
     2.0  arc/quarter-circle   from <path>  d=M4 3A1 1 0 0 1 5 2
     2.1  arc/circular         from <path>  d=M5 2A1.3 1.3 0 0 1 5.7 2.2
     2.2  line/diagonal        from <path>  d=M5.7 2.2L6.633 2.8
     2.3  arc/circular         from <path>  d=M6.633 2.8A1.3 1.3 0 0 0 8.033 2.8
     2.4  line/diagonal        from <path>  d=M8.033 2.8L8.967 2.2
     2.5  arc/circular         from <path>  d=M8.967 2.2A1.3 1.3 0 0 1 10.367 2.2
     2.6  line/diagonal        from <path>  d=M10.367 2.2L11.3 2.8
     2.7  arc/circular         from <path>  d=M11.3 2.8A1.3 1.3 0 0 0 12.7 2.8
     2.8  line/diagonal        from <path>  d=M12.7 2.8L13.633 2.2
     2.9  arc/circular         from <path>  d=M13.633 2.2A1.3 1.3 0 0 1 15.033 2.2
    2.10  line/diagonal        from <path>  d=M15.033 2.2L15.967 2.8
    2.11  arc/circular         from <path>  d=M15.967 2.8A1.3 1.3 0 0 0 17.367 2.8
    2.12  line/diagonal        from <path>  d=M17.367 2.8L18.3 2.2
    2.13  arc/circular         from <path>  d=M18.3 2.2A1.3 1.3 0 0 1 19 2
    2.14  arc/quarter-circle   from <path>  d=M19 2A1 1 0 0 1 20 3
    2.15  line/vertical        from <path>  d=M20 3L20 21
    2.16  arc/quarter-circle   from <path>  d=M20 21A1 1 0 0 1 19 22
    2.17  arc/circular         from <path>  d=M19 22A1.3 1.3 0 0 1 18.3 21.8
    2.18  line/diagonal        from <path>  d=M18.3 21.8L17.367 21.2
    2.19  arc/circular         from <path>  d=M17.367 21.2A1.3 1.3 0 0 0 15.967 21.2
    2.20  line/diagonal        from <path>  d=M15.967 21.2L15.033 21.8
    2.21  arc/circular         from <path>  d=M15.033 21.8A1.3 1.3 0 0 1 13.633 21.8
    2.22  line/diagonal        from <path>  d=M13.633 21.8L12.7 21.2
    2.23  arc/circular         from <path>  d=M12.7 21.2A1.3 1.3 0 0 0 11.3 21.2
    2.24  line/diagonal        from <path>  d=M11.3 21.2L10.367 21.8
    2.25  arc/circular         from <path>  d=M10.367 21.8A1.3 1.3 0 0 1 8.967 21.8
    2.26  line/diagonal        from <path>  d=M8.967 21.8L8.033 21.2
    2.27  arc/circular         from <path>  d=M8.033 21.2A1.3 1.3 0 0 0 6.633 21.2
    2.28  line/diagonal        from <path>  d=M6.633 21.2L5.7 21.8
    2.29  arc/circular         from <path>  d=M5.7 21.8A1.3 1.3 0 0 1 5 22
    2.30  arc/quarter-circle   from <path>  d=M5 22A1 1 0 0 1 4 21
